ts, default broker, COLDPower18, EWIIS3, VidyutVanika, Bunnie, total
1627, 3510, 0, 9, 32772, 21209, 57500
1633, 3311, 0, 9, 34711, 19469, 57500
1639, 3457, 0, 9, 33986, 20048, 57500
1645, 3336, 0, 9, 34723, 19432, 57500
1651, 3276, 0, 11, 37146, 17067, 57500
1657, 3394, 0, 10, 33926, 20170, 57500
1663, 3407, 0, 10, 32048, 22035, 57500
1669, 3402, 0, 10, 33648, 20440, 57500
1675, 3368, 0, 10, 35680, 18442, 57500
1681, 3403, 0, 10, 34148, 19939, 57500
1687, 3218, 0, 10, 36192, 18080, 57500
1693, 3265, 0, 10, 37295, 16930, 57500
1699, 3221, 0, 10, 39200, 15069, 57500
1705, 3144, 0, 11, 37241, 17104, 57500
1711, 3199, 0, 11, 38177, 16113, 57500
1717, 3264, 0, 10, 39469, 14757, 57500
1723, 3295, 0, 11, 40849, 13345, 57500
1729, 3444, 0, 11, 40887, 13158, 57500
1735, 3501, 0, 11, 41348, 12640, 57500
1741, 3573, 0, 10, 42178, 11739, 57500
1747, 3529, 0, 10, 42276, 11685, 57500
1753, 3427, 0, 10, 40114, 13949, 57500
1759, 3434, 0, 10, 21597, 32459, 57500
1765, 3363, 0, 9, 24010, 30118, 57500
1771, 3202, 0, 9, 29403, 24886, 57500
1777, 3277, 0, 11, 29676, 24536, 57500
1783, 3332, 0, 41, 16867, 37260, 57500
1789, 3323, 0, 10, 20161, 34006, 57500
1795, 3240, 0, 11, 24136, 30113, 57500
1801, 3002, 0, 11, 29239, 25248, 57500
1807, 3060, 0, 11, 29800, 24629, 57500
1813, 3132, 0, 11, 31185, 23172, 57500
1819, 3099, 0, 10, 33040, 21351, 57500
1825, 3221, 0, 10, 33504, 20765, 57500
1831, 3373, 0, 11, 33215, 20901, 57500
