ts, default broker, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
739, 0, 55, 9781, 5557, 42114, 57507
745, 0, 55, 8950, 8186, 40316, 57507
751, 0, 55, 8640, 9761, 39051, 57507
757, 1, 53, 8110, 12622, 36721, 57507
763, 2, 52, 8070, 12883, 36500, 57507
769, 2, 52, 7700, 16428, 33325, 57507
775, 3, 52, 7627, 18105, 31720, 57507
781, 1, 54, 9727, 16649, 31076, 57507
787, 1, 52, 11217, 19048, 27189, 57507
793, 1, 54, 13939, 22370, 21143, 57507
799, 0, 53, 14997, 22581, 19876, 57507
805, 0, 52, 15936, 23453, 18066, 57507
811, 0, 52, 17064, 22855, 17536, 57507
817, 0, 52, 18111, 22621, 16723, 57507
823, 0, 53, 19131, 8129, 30194, 57507
829, 0, 53, 19057, 8489, 29908, 57507
835, 1, 51, 18960, 9848, 28647, 57507
841, 1, 51, 18907, 11366, 27182, 57507
847, 1, 51, 18778, 12328, 26349, 57507
853, 1, 51, 18097, 14973, 24385, 57507
859, 1, 52, 17306, 16092, 24056, 57507
865, 1, 51, 37981, 485, 18989, 57507
871, 1, 51, 42274, 330, 14851, 57507
877, 2, 50, 46270, 204, 10981, 57507
883, 1, 51, 49096, 272, 8087, 57507
889, 2, 52, 50153, 575, 6725, 57507
895, 3, 51, 51071, 454, 5928, 57507
901, 3, 50, 52704, 302, 4448, 57507
907, 3, 49, 53516, 680, 3259, 57507
913, 3, 48, 52209, 2766, 2481, 57507
919, 3, 49, 51879, 3317, 2259, 57507
925, 3, 43, 51549, 4109, 1803, 57507
931, 3, 43, 50759, 4810, 1892, 57507
937, 3, 45, 49279, 5713, 2467, 57507
943, 3, 45, 49195, 6073, 2191, 57507
949, 2, 43, 14167, 29444, 13851, 57507
955, 0, 46, 15243, 29126, 13092, 57507
961, 0, 37, 18153, 29283, 10034, 57507
967, 0, 36, 20411, 29331, 7729, 57507
973, 0, 36, 22713, 29446, 5312, 57507
979, 0, 25, 25023, 29473, 2986, 57507
985, 0, 25, 25171, 29814, 2497, 57507
991, 0, 25, 49519, 4530, 3433, 57507
997, 0, 24, 50244, 4637, 2602, 57507
1003, 2, 22, 51200, 4177, 2106, 57507
1009, 3, 22, 50292, 5054, 2136, 57507
1015, 4, 21, 14729, 27928, 14825, 57507
1021, 3, 23, 12230, 29586, 15665, 57507
1027, 2, 24, 23174, 23486, 10821, 57507
1033, 1, 25, 43327, 4319, 9835, 57507
1039, 1, 25, 45232, 4461, 7788, 57507
1045, 1, 22, 45673, 5352, 6459, 57507
1051, 0, 23, 47021, 6108, 4355, 57507
1057, 1, 21, 46188, 7594, 3703, 57507
1063, 1, 21, 46062, 7809, 3614, 57507
1069, 1, 22, 46433, 8185, 2866, 57507
1075, 0, 23, 53588, 1464, 2432, 57507
1081, 0, 24, 52705, 2678, 2100, 57507
1087, 0, 24, 52904, 2948, 1631, 57507
1093, 0, 23, 52711, 3147, 1626, 57507
1099, 0, 25, 52142, 3576, 1764, 57507
1105, 0, 24, 51269, 4962, 1252, 57507
1111, 0, 23, 50472, 5422, 1590, 57507
1117, 1, 23, 17922, 23254, 16307, 57507
1123, 1, 23, 18286, 23281, 15916, 57507
1129, 2, 23, 21239, 23467, 12776, 57507
1135, 2, 21, 24246, 23689, 9549, 57507
1141, 2, 20, 25734, 23831, 7920, 57507
1147, 3, 20, 28048, 24037, 5399, 57507
1153, 3, 21, 29297, 24258, 3928, 57507
1159, 3, 12, 43735, 11346, 2411, 57507
1165, 2, 11, 44586, 11950, 958, 57507
1171, 2, 13, 43249, 13545, 698, 57507
1177, 2, 10, 43049, 14068, 378, 57507
1183, 2, 10, 21070, 31700, 4725, 57507
1189, 2, 13, 9244, 40849, 7399, 57507
1195, 5, 9, 12714, 41450, 3329, 57507
1201, 4, 10, 8417, 40976, 8100, 57507
1207, 1, 12, 8357, 41384, 7753, 57507
1213, 1, 12, 8287, 42335, 6872, 57507
1219, 1, 12, 8257, 43455, 5782, 57507
1225, 1, 13, 8107, 44283, 5103, 57507
1231, 1, 11, 7858, 44817, 4820, 57507
1237, 1, 11, 7798, 45255, 4442, 57507
1243, 0, 14, 7948, 33155, 16390, 57507
1249, 0, 14, 7947, 33451, 16095, 57507
1255, 0, 14, 7677, 36843, 12973, 57507
1261, 1, 14, 7677, 37432, 12383, 57507
1267, 3, 12, 7617, 38552, 11323, 57507
1273, 4, 11, 7501, 39696, 10295, 57507
1279, 3, 11, 7470, 41288, 8735, 57507
1285, 4, 12, 12407, 25361, 19723, 57507
1291, 3, 13, 12587, 25652, 19252, 57507
1297, 3, 13, 13565, 27304, 16622, 57507
1303, 3, 13, 13806, 28124, 15561, 57507
1309, 3, 12, 14687, 28880, 13925, 57507
1315, 2, 13, 15351, 30296, 11845, 57507
1321, 3, 13, 15931, 31049, 10511, 57507
1327, 3, 13, 18808, 6884, 31799, 57507
1333, 3, 14, 18766, 6103, 32621, 57507
1339, 3, 13, 18736, 6283, 32472, 57507
1345, 4, 13, 18642, 6624, 32224, 57507
1351, 3, 11, 18611, 6861, 32021, 57507
1357, 3, 13, 17008, 7447, 33036, 57507
1363, 2, 14, 16218, 8016, 33257, 57507
1369, 2, 14, 14924, 4790, 37777, 57507
1375, 1, 16, 14261, 5653, 37576, 57507
1381, 1, 16, 13796, 5804, 37890, 57507
1387, 1, 16, 13382, 5883, 38225, 57507
1393, 1, 16, 12562, 6542, 38386, 57507
1399, 2, 15, 11471, 6524, 39495, 57507
1405, 2, 15, 10541, 6928, 40021, 57507
1411, 2, 10, 7613, 11878, 38004, 57507
1417, 1, 12, 7368, 20622, 29504, 57507
1423, 1, 11, 7199, 27286, 23010, 57507
1429, 0, 11, 7225, 31946, 18325, 57507
1435, 0, 13, 7197, 35571, 14726, 57507
1441, 1, 13, 7225, 38876, 11392, 57507
1447, 1, 10, 7227, 41023, 9246, 57507
1453, 1, 12, 10356, 30148, 16990, 57507
1459, 2, 12, 10602, 31114, 15777, 57507
1465, 5, 10, 10823, 33051, 13618, 57507
1471, 5, 12, 11143, 34441, 11906, 57507
1477, 4, 12, 11584, 35836, 10071, 57507
1483, 3, 12, 11982, 36620, 8890, 57507
1489, 3, 11, 12154, 37568, 7771, 57507
1495, 3, 12, 14698, 8051, 34743, 57507
1501, 3, 12, 14721, 8174, 34597, 57507
1507, 2, 13, 14716, 8721, 34055, 57507
1513, 2, 14, 14687, 9264, 33540, 57507
1519, 2, 14, 14627, 11411, 31453, 57507
1525, 3, 14, 13641, 12755, 31094, 57507
1531, 4, 12, 12982, 14716, 29793, 57507
1537, 4, 13, 11437, 11758, 34295, 57507
1543, 3, 13, 10914, 16237, 30340, 57507
1549, 3, 14, 10439, 19163, 27888, 57507
1555, 3, 14, 10117, 21122, 26251, 57507
1561, 4, 12, 10220, 15223, 32048, 57507
1567, 4, 11, 7679, 18347, 31466, 57507
1573, 3, 12, 7612, 23508, 26372, 57507
1579, 3, 11, 8058, 9936, 39499, 57507
1585, 3, 11, 8140, 10531, 38822, 57507
1591, 1, 12, 8436, 12168, 36890, 57507
1597, 1, 11, 8352, 13218, 35925, 57507
1603, 3, 9, 8465, 12788, 36242, 57507
1609, 2, 9, 8506, 13665, 35325, 57507
1615, 2, 9, 8769, 12750, 35977, 57507
1621, 2, 12, 12534, 3916, 41043, 57507
1627, 2, 12, 14346, 3881, 39266, 57507
1633, 1, 13, 17257, 3636, 36600, 57507
1639, 2, 12, 19806, 3726, 33961, 57507
1645, 2, 11, 22021, 4088, 31385, 57507
1651, 2, 11, 24028, 3831, 29635, 57507
1657, 2, 13, 25506, 3926, 28060, 57507
1663, 2, 13, 26026, 2880, 28586, 57507
1669, 2, 12, 25727, 5039, 26727, 57507
1675, 3, 11, 25240, 6034, 26219, 57507
1681, 3, 10, 24908, 6164, 26422, 57507
1687, 2, 11, 24656, 6344, 26494, 57507
1693, 1, 11, 23936, 6957, 26602, 57507
1699, 1, 12, 22663, 7480, 27351, 57507
1705, 2, 12, 20394, 4004, 33095, 57507
1711, 4, 11, 18630, 4104, 34758, 57507
1717, 4, 10, 17490, 4376, 35627, 57507
1723, 3, 11, 14420, 4715, 38358, 57507
1729, 3, 11, 12940, 4686, 39867, 57507
1735, 3, 12, 11110, 4481, 41901, 57507
1741, 3, 12, 9678, 5240, 42574, 57507
1747, 0, 15, 9395, 7059, 41038, 57507
1753, 0, 16, 9125, 8843, 39523, 57507
1759, 0, 15, 8566, 10154, 38772, 57507
1765, 0, 15, 8046, 13777, 35669, 57507
1771, 0, 15, 7887, 14199, 35406, 57507
1777, 0, 15, 7980, 15192, 34320, 57507
1783, 0, 15, 8101, 16503, 32888, 57507
1789, 0, 16, 11476, 11898, 34117, 57507
1795, 0, 16, 12806, 10670, 34015, 57507
1801, 0, 15, 15168, 10831, 31493, 57507
