ts, default broker, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
649, 2, 16, 12699, 14565, 30219, 57501
655, 1, 16, 17002, 1680, 38802, 57501
661, 1, 15, 21027, 2395, 34063, 57501
667, 1, 15, 22666, 2751, 32068, 57501
673, 1, 14, 24667, 3174, 29645, 57501
679, 1, 13, 25211, 3279, 28997, 57501
685, 1, 15, 25150, 4373, 27962, 57501
691, 1, 15, 25047, 4876, 27562, 57501
697, 2, 15, 24968, 1159, 31357, 57501
703, 1, 16, 24826, 1401, 31257, 57501
709, 0, 16, 24582, 1869, 31034, 57501
715, 1, 14, 24269, 2386, 30831, 57501
721, 0, 16, 22694, 2763, 32028, 57501
727, 1, 13, 21569, 3063, 32855, 57501
733, 1, 14, 17829, 4035, 35622, 57501
739, 1, 17, 16327, 440, 40716, 57501
745, 1, 16, 14608, 650, 42226, 57501
751, 0, 15, 11606, 1202, 44678, 57501
757, 1, 15, 9997, 3350, 44138, 57501
763, 0, 15, 9395, 3615, 44476, 57501
769, 1, 16, 9344, 4212, 43928, 57501
775, 2, 17, 8715, 3692, 45075, 57501
781, 2, 14, 8424, 1976, 47085, 57501
787, 2, 15, 8203, 2167, 47114, 57501
793, 1, 8, 8162, 2584, 46746, 57501
799, 21, 8, 8626, 2412, 46434, 57501
805, 17, 8, 10780, 2689, 44007, 57501
811, 21, 10, 15585, 2902, 38983, 57501
817, 12, 8, 18146, 3334, 36001, 57501
823, 6, 11, 21686, 384, 35414, 57501
829, 3, 8, 22870, 1019, 33601, 57501
835, 0, 9, 24751, 1825, 30916, 57501
841, 0, 8, 26356, 2255, 28882, 57501
847, 1, 8, 26890, 2598, 28004, 57501
853, 1, 9, 26745, 2938, 27808, 57501
859, 1, 6, 26452, 3517, 27525, 57501
865, 0, 8, 30769, 923, 25801, 57501
871, 0, 7, 26256, 1346, 29892, 57501
877, 0, 7, 30779, 1324, 25391, 57501
883, 0, 8, 32008, 1498, 23987, 57501
889, 1, 9, 32910, 1808, 22773, 57501
895, 1, 10, 33342, 1894, 22254, 57501
901, 2, 9, 34256, 1865, 21369, 57501
907, 0, 11, 35521, 340, 21629, 57501
913, 3, 6, 33861, 758, 22873, 57501
919, 1, 8, 13260, 1902, 42330, 57501
925, 1, 8, 14726, 1940, 40826, 57501
931, 2, 9, 17462, 2145, 37883, 57501
937, 0, 10, 19699, 1895, 35897, 57501
943, 2, 7, 9057, 3015, 45420, 57501
949, 0, 7, 15322, 334, 41838, 57501
955, 1, 9, 19759, 539, 37193, 57501
961, 1, 12, 21092, 789, 35607, 57501
967, 0, 10, 23909, 905, 32677, 57501
973, 2, 8, 30509, 1050, 25932, 57501
979, 1, 10, 32024, 1204, 24262, 57501
985, 1, 8, 30263, 1501, 25728, 57501
991, 1, 10, 31958, 560, 24972, 57501
997, 1, 11, 35436, 979, 21074, 57501
1003, 1, 9, 36739, 1325, 19427, 57501
1009, 1, 7, 33652, 2307, 21534, 57501
1015, 1, 8, 33560, 2823, 21109, 57501
1021, 1, 7, 33398, 3190, 20905, 57501
1027, 0, 6, 33780, 3460, 20255, 57501
1033, 2, 7, 36899, 323, 20270, 57501
1039, 0, 9, 20449, 1091, 35952, 57501
1045, 0, 8, 23621, 1201, 32671, 57501
1051, 0, 6, 25869, 1283, 30343, 57501
1057, 2, 7, 27866, 1300, 28326, 57501
1063, 0, 9, 27117, 1339, 29036, 57501
1069, 1, 9, 29470, 1401, 26620, 57501
1075, 0, 9, 31665, 639, 25188, 57501
1081, 0, 6, 30076, 1472, 25947, 57501
1087, 0, 10, 13003, 2646, 41842, 57501
1093, 1, 9, 10941, 3046, 43504, 57501
1099, 0, 8, 16020, 3171, 38302, 57501
1105, 0, 7, 18655, 3264, 35575, 57501
1111, 0, 7, 21654, 3161, 32679, 57501
1117, 1, 7, 25164, 379, 31950, 57501
1123, 1, 8, 25241, 778, 31473, 57501
1129, 1, 10, 37129, 1917, 18444, 57501
1135, 1, 12, 31562, 2451, 23475, 57501
1141, 1, 7, 37839, 2646, 17008, 57501
1147, 1, 11, 41444, 3356, 12689, 57501
1153, 1, 9, 43040, 3967, 10484, 57501
1159, 0, 9, 44958, 137, 12397, 57501
1165, 0, 9, 45207, 135, 12150, 57501
1171, 1, 9, 46120, 133, 11238, 57501
1177, 1, 9, 44575, 194, 12722, 57501
1183, 1, 10, 44187, 192, 13111, 57501
1189, 2, 11, 43588, 263, 13637, 57501
1195, 1, 9, 44342, 271, 12878, 57501
1201, 0, 12, 43752, 387, 13350, 57501
1207, 0, 9, 31467, 487, 25538, 57501
1213, 1, 7, 33515, 438, 23540, 57501
1219, 0, 7, 34901, 467, 22126, 57501
1225, 1, 9, 34158, 692, 22641, 57501
1231, 0, 10, 34085, 695, 22711, 57501
1237, 0, 11, 34124, 781, 22585, 57501
1243, 4, 7, 34257, 421, 22812, 57501
1249, 1, 7, 29569, 942, 26982, 57501
1255, 2, 9, 13196, 1574, 42720, 57501
1261, 1, 10, 15250, 1834, 40406, 57501
1267, 2, 10, 18796, 1822, 36871, 57501
1273, 2, 10, 24597, 1679, 31213, 57501
1279, 2, 7, 8868, 2206, 46418, 57501
1285, 1, 9, 13775, 266, 43450, 57501
1291, 2, 11, 16972, 437, 40079, 57501
1297, 3, 7, 20201, 735, 36555, 57501
1303, 1, 7, 22158, 917, 34418, 57501
1309, 1, 7, 24322, 1010, 32161, 57501
1315, 1, 9, 26080, 1012, 30399, 57501
1321, 1, 6, 27464, 1281, 28749, 57501
1327, 15, 6, 30700, 210, 26570, 57501
1333, 16, 9, 32493, 375, 24608, 57501
1339, 14, 9, 37410, 489, 19579, 57501
1345, 10, 10, 35184, 712, 21585, 57501
1351, 8, 9, 36537, 541, 20406, 57501
1357, 6, 8, 38442, 736, 18309, 57501
1363, 6, 8, 39717, 687, 17083, 57501
1369, 5, 9, 38820, 206, 18461, 57501
1375, 2, 10, 25028, 494, 31967, 57501
1381, 2, 10, 26253, 617, 30619, 57501
1387, 2, 9, 28232, 705, 28553, 57501
1393, 3, 8, 29759, 685, 27046, 57501
1399, 1, 10, 30386, 778, 26326, 57501
1405, 0, 11, 33397, 1015, 23078, 57501
1411, 0, 13, 34115, 910, 22463, 57501
1417, 0, 9, 30244, 1615, 25633, 57501
1423, 1, 11, 12706, 3853, 40930, 57501
1429, 1, 11, 14717, 3714, 39058, 57501
1435, 0, 10, 18123, 3875, 35493, 57501
1441, 1, 10, 20751, 3875, 32864, 57501
1447, 1, 11, 9612, 4795, 43082, 57501
1453, 0, 12, 16357, 721, 40411, 57501
1459, 1, 10, 19199, 706, 37585, 57501
1465, 2, 9, 18991, 955, 37544, 57501
1471, 1, 10, 20584, 971, 35935, 57501
1477, 1, 10, 26207, 926, 30357, 57501
1483, 2, 9, 28807, 986, 27697, 57501
1489, 1, 11, 30491, 1023, 25975, 57501
1495, 2, 11, 32530, 338, 24620, 57501
1501, 1, 13, 34949, 714, 21824, 57501
1507, 2, 11, 36811, 801, 19876, 57501
1513, 2, 11, 35451, 1327, 20710, 57501
1519, 2, 12, 35197, 1338, 20952, 57501
1525, 1, 13, 35874, 1553, 20060, 57501
1531, 1, 13, 37484, 1584, 18419, 57501
1537, 1, 11, 38026, 136, 19327, 57501
1543, 0, 10, 24688, 545, 32258, 57501
1549, 2, 9, 26241, 588, 30661, 57501
1555, 2, 9, 28315, 629, 28546, 57501
1561, 3, 6, 29950, 740, 26802, 57501
1567, 2, 7, 30950, 788, 25754, 57501
1573, 0, 8, 33418, 972, 23103, 57501
1579, 1, 8, 35317, 455, 21720, 57501
1585, 3, 9, 33714, 974, 22801, 57501
1591, 3, 9, 12900, 2219, 42370, 57501
1597, 2, 8, 14123, 2306, 41062, 57501
1603, 3, 7, 18829, 2483, 36179, 57501
1609, 3, 7, 19564, 2808, 35119, 57501
1615, 1, 9, 9744, 3408, 44339, 57501
1621, 1, 9, 13546, 453, 43492, 57501
1627, 1, 9, 17936, 864, 38691, 57501
1633, 1, 11, 19409, 1313, 36767, 57501
1639, 1, 10, 20135, 1623, 35732, 57501
1645, 0, 11, 24090, 2077, 31323, 57501
1651, 0, 10, 27355, 2338, 27798, 57501
1657, 1, 12, 28079, 2862, 26547, 57501
1663, 0, 11, 30207, 50, 27233, 57501
1669, 0, 11, 33347, 207, 23936, 57501
1675, 0, 10, 35466, 416, 21609, 57501
1681, 0, 9, 35079, 711, 21702, 57501
1687, 0, 11, 35273, 1000, 21217, 57501
1693, 0, 10, 36461, 1192, 19838, 57501
1699, 0, 9, 38326, 1292, 17874, 57501
1705, 2, 10, 38153, 632, 18704, 57501
1711, 3, 9, 23130, 1976, 32383, 57501
1717, 4, 8, 22576, 2506, 32407, 57501
1723, 3, 7, 24966, 2910, 29615, 57501
1729, 2, 10, 19951, 4210, 33328, 57501
1735, 1, 12, 18933, 4405, 34150, 57501
1741, 0, 12, 16991, 5140, 35358, 57501
1747, 1, 12, 15245, 1498, 40745, 57501
1753, 1, 12, 24522, 1469, 31497, 57501
1759, 1, 12, 12240, 2787, 42461, 57501
1765, 1, 12, 19152, 2823, 35513, 57501
1771, 1, 11, 27366, 2803, 27320, 57501
1777, 1, 11, 36979, 2788, 17722, 57501
1783, 1, 11, 41279, 2787, 13423, 57501
1789, 1, 11, 46945, 170, 10374, 57501
1795, 0, 11, 48886, 191, 8413, 57501
1801, 0, 11, 49562, 450, 7478, 57501
1807, 1, 9, 51090, 482, 5919, 57501
1813, 1, 9, 51919, 485, 5087, 57501
1819, 1, 9, 53224, 485, 3782, 57501
1825, 1804, 10, 37534, 8397, 9756, 57501
1831, 2119, 12, 40272, 1074, 14024, 57501
1837, 2361, 9, 40140, 1691, 13300, 57501
1843, 2596, 6, 40400, 1913, 12586, 57501
1849, 3762, 9, 36130, 2904, 14696, 57501
1855, 3769, 11, 35651, 3378, 14692, 57501
1861, 3836, 11, 35523, 3960, 14171, 57501
