ts, default broker, EWIIS3, Bunnie, total
1129, 6848, 26, 50627, 57501
1135, 6835, 28, 50638, 57501
1141, 6866, 27, 50608, 57501
1147, 6810, 26, 50665, 57501
1153, 6804, 25, 50672, 57501
1159, 6820, 26, 50655, 57501
1165, 6792, 27, 50682, 57501
1171, 6820, 27, 50654, 57501
1177, 6844, 27, 50630, 57501
1183, 6845, 27, 50629, 57501
1189, 6842, 26, 50633, 57501
1195, 6879, 26, 50596, 57501
1201, 6889, 26, 50586, 57501
1207, 6848, 25, 50628, 57501
1213, 6726, 26, 50749, 57501
1219, 6709, 26, 50766, 57501
1225, 6764, 25, 50712, 57501
1231, 6769, 25, 50707, 57501
1237, 6781, 25, 50695, 57501
1243, 6822, 25, 50654, 57501
1249, 6915, 23, 50563, 57501
1255, 6840, 23, 50638, 57501
1261, 6896, 23, 50582, 57501
1267, 6952, 21, 50528, 57501
1273, 6940, 21, 50540, 57501
1279, 6969, 21, 50511, 57501
1285, 6948, 20, 50533, 57501
1291, 6929, 21, 50551, 57501
1297, 6988, 21, 50492, 57501
1303, 6960, 24, 50517, 57501
1309, 6991, 24, 50486, 57501
1315, 7000, 22, 50479, 57501
1321, 6972, 25, 50504, 57501
1327, 6935, 24, 50542, 57501
1333, 6829, 25, 50647, 57501
1339, 6786, 27, 50688, 57501
1345, 6889, 27, 50585, 57501
1351, 6953, 28, 50520, 57501
1357, 6929, 28, 50544, 57501
1363, 6973, 31, 50497, 57501
1369, 6890, 30, 50581, 57501
1375, 6952, 30, 50519, 57501
1381, 6937, 30, 50534, 57501
1387, 6884, 30, 50587, 57501
1393, 6815, 30, 50656, 57501
1399, 6794, 29, 50678, 57501
1405, 6879, 29, 50593, 57501
1411, 6826, 29, 50646, 57501
1417, 6825, 29, 50647, 57501
1423, 6906, 29, 50566, 57501
1429, 6848, 28, 50625, 57501
1435, 6860, 27, 50614, 57501
1441, 6838, 27, 50636, 57501
1447, 6814, 27, 50660, 57501
1453, 6357, 27, 51117, 57501
1459, 6386, 27, 51088, 57501
1465, 6622, 26, 50853, 57501
1471, 6732, 28, 50741, 57501
1477, 6785, 27, 50689, 57501
1483, 6834, 27, 50640, 57501
1489, 6838, 27, 50636, 57501
1495, 6896, 28, 50577, 57501
1501, 6949, 28, 50524, 57501
1507, 6967, 28, 50506, 57501
1513, 6953, 25, 50523, 57501
1519, 6967, 26, 50508, 57501
1525, 6961, 26, 50514, 57501
1531, 6924, 26, 50551, 57501
1537, 6912, 28, 50561, 57501
1543, 6920, 28, 50553, 57501
1549, 6366, 27, 51108, 57501
1555, 6458, 24, 51019, 57501
1561, 6505, 25, 50971, 57501
1567, 6637, 26, 50838, 57501
1573, 6756, 27, 50718, 57501
1579, 6862, 25, 50614, 57501
1585, 6879, 24, 50598, 57501
1591, 6915, 26, 50560, 57501
1597, 6938, 25, 50538, 57501
1603, 6969, 25, 50507, 57501
1609, 6911, 26, 50564, 57501
1615, 6823, 26, 50652, 57501
1621, 6718, 26, 50757, 57501
1627, 6747, 26, 50728, 57501
1633, 6693, 26, 50782, 57501
1639, 6793, 27, 50681, 57501
1645, 6674, 26, 50801, 57501
1651, 6667, 26, 50808, 57501
1657, 6695, 26, 50780, 57501
1663, 6719, 28, 50754, 57501
1669, 6759, 28, 50714, 57501
1675, 6761, 27, 50713, 57501
1681, 6827, 27, 50647, 57501
1687, 6847, 25, 50629, 57501
1693, 6896, 27, 50578, 57501
1699, 6791, 27, 50683, 57501
