ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, Bunnie, total
745, 3, 1351, 61, 11969, 44123, 57507
751, 4, 1020, 60, 11084, 45339, 57507
757, 4, 639, 60, 10408, 46396, 57507
763, 4, 498, 62, 9992, 46951, 57507
769, 3, 297, 64, 8981, 48162, 57507
775, 2, 252, 65, 8521, 48667, 57507
781, 2, 102, 65, 8284, 49054, 57507
787, 2, 71, 66, 8014, 49354, 57507
793, 2, 218, 66, 7934, 49287, 57507
799, 2, 189, 65, 7738, 49513, 57507
805, 7, 151, 59, 9410, 47880, 57507
811, 4, 1227, 61, 12086, 44129, 57507
817, 2, 2174, 63, 14179, 41089, 57507
823, 2, 3066, 63, 16395, 37981, 57507
829, 2, 3798, 62, 17466, 36179, 57507
835, 2, 4514, 61, 18813, 34117, 57507
841, 1, 4684, 65, 19161, 33596, 57507
847, 1, 4864, 66, 19739, 32837, 57507
853, 2, 4863, 64, 19686, 32892, 57507
859, 2, 4859, 53, 19662, 32931, 57507
865, 2, 4859, 52, 25814, 26780, 57507
871, 2, 4827, 52, 19776, 32850, 57507
877, 2051, 4881, 52, 21094, 29429, 57507
883, 2163, 4560, 44, 24421, 26319, 57507
889, 2556, 3788, 43, 28147, 22973, 57507
895, 2703, 3027, 42, 12715, 39020, 57507
901, 2847, 2475, 41, 16460, 35684, 57507
907, 2910, 2064, 42, 19718, 32773, 57507
913, 3185, 1509, 42, 23552, 29219, 57507
919, 3033, 909, 38, 6588, 46939, 57507
925, 3063, 806, 38, 11613, 41987, 57507
931, 3161, 629, 41, 17160, 36516, 57507
937, 3263, 369, 40, 19338, 34497, 57507
943, 3331, 354, 42, 20050, 33730, 57507
949, 3483, 262, 45, 23779, 29938, 57507
955, 3575, 289, 43, 26998, 26602, 57507
961, 3441, 238, 44, 26225, 27559, 57507
967, 3570, 204, 43, 27635, 26055, 57507
973, 3524, 353, 44, 30847, 22739, 57507
979, 3559, 376, 42, 32645, 20885, 57507
985, 3294, 1245, 43, 33379, 19546, 57507
991, 3414, 1516, 42, 34653, 17882, 57507
997, 3351, 1813, 44, 36425, 15874, 57507
1003, 3377, 2286, 41, 36501, 15302, 57507
1009, 3428, 2455, 40, 35019, 16565, 57507
1015, 3631, 2766, 41, 35254, 15815, 57507
1021, 3481, 2699, 41, 36101, 15185, 57507
1027, 3327, 2657, 42, 36731, 14750, 57507
1033, 3453, 2646, 42, 35622, 15744, 57507
1039, 3471, 2644, 41, 15050, 36301, 57507
1045, 3349, 2628, 42, 18154, 33334, 57507
1051, 3418, 2583, 40, 22699, 28767, 57507
1057, 3440, 2244, 41, 25896, 25886, 57507
1063, 3398, 1990, 42, 11066, 41011, 57507
1069, 3483, 1720, 44, 14498, 37762, 57507
1075, 3446, 1517, 44, 16733, 35767, 57507
1081, 3390, 1276, 41, 22805, 29995, 57507
1087, 3290, 928, 46, 6665, 46578, 57507
1093, 3238, 663, 44, 12829, 40733, 57507
1099, 3354, 517, 38, 15824, 37774, 57507
1105, 3396, 406, 37, 19941, 33727, 57507
1111, 3261, 413, 38, 22206, 31589, 57507
1117, 3270, 599, 38, 24996, 28604, 57507
1123, 3247, 459, 36, 26900, 26865, 57507
1129, 3285, 319, 38, 29080, 24785, 57507
1135, 3411, 224, 40, 30179, 23653, 57507
1141, 3602, 95, 39, 32964, 20807, 57507
1147, 3569, 380, 40, 34016, 19502, 57507
1153, 3363, 1238, 40, 33526, 19340, 57507
1159, 3363, 1838, 42, 33705, 18559, 57507
1165, 3360, 2036, 41, 34943, 17127, 57507
1171, 3383, 2847, 38, 36155, 15084, 57507
1177, 3565, 3757, 37, 35001, 15147, 57507
1183, 3400, 3792, 39, 34724, 15552, 57507
1189, 3343, 3835, 39, 35998, 14292, 57507
1195, 3422, 3836, 37, 37385, 12827, 57507
1201, 3575, 3798, 38, 36330, 13766, 57507
1207, 3545, 3806, 37, 17032, 33087, 57507
1213, 3714, 3901, 37, 19035, 30820, 57507
1219, 3758, 3796, 37, 22619, 27297, 57507
1225, 3715, 3672, 40, 25466, 24614, 57507
1231, 3520, 3503, 40, 14041, 36403, 57507
1237, 3343, 3231, 37, 17920, 32976, 57507
1243, 3483, 2901, 34, 22131, 28958, 57507
1249, 3655, 2055, 34, 26396, 25367, 57507
1255, 3713, 1512, 35, 6765, 45482, 57507
1261, 3717, 989, 36, 12546, 40219, 57507
1267, 3690, 606, 36, 17401, 35774, 57507
1273, 3636, 422, 35, 19107, 34307, 57507
1279, 3484, 396, 36, 21444, 32147, 57507
1285, 3492, 326, 36, 23776, 29877, 57507
1291, 3401, 249, 34, 26904, 26919, 57507
1297, 3484, 166, 34, 27566, 26257, 57507
1303, 3647, 159, 34, 28522, 25145, 57507
1309, 3481, 213, 35, 30860, 22918, 57507
1315, 3456, 540, 37, 31748, 21726, 57507
1321, 3467, 1976, 39, 29935, 22090, 57507
1327, 3434, 2105, 37, 30452, 21479, 57507
1333, 3327, 2604, 39, 31966, 19571, 57507
1339, 3420, 2963, 35, 35029, 16060, 57507
1345, 3342, 3663, 36, 33772, 16694, 57507
1351, 3445, 3861, 39, 35325, 14837, 57507
1357, 3313, 3883, 27, 37197, 13087, 57507
1363, 3308, 3867, 23, 37568, 12741, 57507
1369, 3328, 3931, 27, 38043, 12178, 57507
1375, 3151, 3934, 26, 19277, 31119, 57507
1381, 3145, 3930, 26, 20779, 29627, 57507
1387, 3121, 3789, 27, 24357, 26213, 57507
1393, 3283, 3322, 27, 26427, 24448, 57507
1399, 3134, 2856, 23, 14713, 36781, 57507
1405, 3159, 2553, 25, 18900, 32870, 57507
1411, 3106, 2221, 23, 20627, 31530, 57507
1417, 3264, 1625, 25, 21392, 31201, 57507
1423, 3108, 1204, 24, 8630, 44541, 57507
1429, 3053, 995, 17, 11372, 42070, 57507
1435, 3209, 543, 26, 15937, 37792, 57507
1441, 3227, 385, 26, 21101, 32768, 57507
1447, 3403, 213, 25, 23548, 30318, 57507
1453, 3457, 177, 26, 29040, 24807, 57507
1459, 3393, 183, 23, 31292, 22616, 57507
1465, 2268, 102, 22, 6535, 48580, 57507
1471, 1733, 75, 24, 7177, 48498, 57507
1477, 1348, 74, 24, 8154, 47907, 57507
1483, 1087, 1436, 24, 12636, 42324, 57507
1489, 2469, 2325, 29, 17438, 35246, 57507
1495, 2639, 2787, 26, 21089, 30966, 57507
1501, 3047, 3084, 24, 22915, 28437, 57507
1507, 3084, 3515, 22, 28998, 21888, 57507
1513, 3239, 4057, 20, 29360, 20831, 57507
1519, 3290, 4242, 12, 31108, 18855, 57507
1525, 3382, 4220, 16, 31943, 17946, 57507
1531, 3446, 4240, 15, 33560, 16246, 57507
1537, 3377, 4234, 12, 32195, 17689, 57507
1543, 3433, 4187, 19, 16935, 32933, 57507
1549, 3609, 4178, 16, 18760, 30944, 57507
1555, 3528, 3602, 15, 23766, 26596, 57507
1561, 3592, 3147, 19, 25395, 25354, 57507
1567, 3661, 2625, 21, 10546, 40654, 57507
1573, 3248, 2156, 22, 15857, 36224, 57507
1579, 3451, 1662, 22, 19103, 33269, 57507
1585, 3728, 1077, 19, 24655, 28028, 57507
1591, 3701, 649, 17, 5365, 47775, 57507
1597, 3575, 517, 17, 11199, 42199, 57507
1603, 3573, 427, 18, 14379, 39110, 57507
1609, 3478, 381, 17, 15785, 37846, 57507
1615, 3212, 410, 19, 20411, 33455, 57507
1621, 3285, 322, 17, 25729, 28154, 57507
1627, 3355, 339, 16, 28721, 25076, 57507
1633, 3313, 346, 18, 28918, 24912, 57507
1639, 3314, 348, 19, 29621, 24205, 57507
1645, 3295, 579, 19, 32285, 21329, 57507
1651, 3382, 680, 18, 34849, 18578, 57507
1657, 3299, 1790, 19, 34096, 18303, 57507
1663, 3410, 2461, 20, 35747, 15869, 57507
1669, 3358, 2966, 19, 36829, 14335, 57507
1675, 3538, 3356, 19, 38052, 12542, 57507
1681, 3631, 4092, 20, 35596, 14168, 57507
1687, 3640, 4155, 18, 35914, 13780, 57507
1693, 3798, 4124, 17, 36977, 12591, 57507
1699, 3673, 4073, 16, 37209, 12536, 57507
1705, 3616, 4082, 14, 35935, 13860, 57507
1711, 3702, 4039, 14, 16280, 33472, 57507
1717, 3634, 3935, 13, 18581, 31344, 57507
1723, 3398, 3883, 14, 21153, 29059, 57507
1729, 3360, 3459, 13, 24183, 26492, 57507
1735, 3344, 3097, 18, 13933, 37115, 57507
1741, 3269, 2545, 18, 16815, 34860, 57507
1747, 3400, 2288, 19, 21287, 30513, 57507
1753, 3408, 1346, 20, 26100, 26633, 57507
1759, 3317, 1130, 20, 8117, 44923, 57507
1765, 3454, 773, 19, 12483, 40778, 57507
1771, 3372, 624, 16, 19851, 33644, 57507
1777, 3509, 439, 15, 21073, 32471, 57507
1783, 3371, 379, 17, 22122, 31618, 57507
1789, 3294, 373, 19, 25366, 28455, 57507
1795, 3349, 348, 18, 27839, 25953, 57507
1801, 3426, 368, 16, 25799, 27898, 57507
1807, 3455, 357, 17, 27076, 26602, 57507
1813, 3551, 426, 17, 29756, 23757, 57507
1819, 3509, 372, 18, 31146, 22462, 57507
1825, 3451, 1465, 20, 33242, 19329, 57507
1831, 3437, 1856, 19, 32973, 19222, 57507
1837, 3464, 2002, 17, 34555, 17469, 57507
1843, 3523, 2247, 18, 35320, 16399, 57507
1849, 3512, 3330, 19, 33926, 16720, 57507
1855, 3429, 3386, 17, 33774, 16901, 57507
1861, 3492, 3299, 17, 34758, 15941, 57507
1867, 3479, 3331, 17, 35287, 15393, 57507
1873, 3530, 3295, 18, 34922, 15742, 57507
1879, 3261, 3272, 20, 15460, 35494, 57507
1885, 3294, 3093, 22, 14802, 36296, 57507
1891, 3323, 3036, 23, 19108, 32017, 57507
1897, 3183, 2491, 21, 24682, 27130, 57507
1903, 3200, 2077, 18, 26963, 25249, 57507
1909, 3282, 1960, 18, 30614, 21633, 57507
1915, 3487, 1741, 18, 32365, 19896, 57507
1921, 3234, 1029, 18, 30375, 22851, 57507
1927, 3193, 798, 20, 6838, 46658, 57507
1933, 3223, 739, 19, 9221, 44305, 57507
1939, 3397, 707, 20, 14216, 39167, 57507
1945, 3489, 633, 16, 18120, 35249, 57507
1951, 3228, 563, 16, 19781, 33919, 57507
1957, 2979, 485, 16, 29164, 24863, 57507
1963, 3210, 472, 17, 29947, 23861, 57507
1969, 3211, 466, 18, 31396, 22416, 57507
1975, 3305, 381, 19, 32329, 21473, 57507
1981, 3238, 397, 19, 33935, 19918, 57507
1987, 3345, 469, 20, 34517, 19156, 57507
1993, 3240, 881, 22, 35038, 18326, 57507
1999, 3227, 1273, 23, 35717, 17267, 57507
2005, 3351, 1598, 23, 37005, 15530, 57507
2011, 3362, 1647, 23, 38107, 14368, 57507
2017, 3328, 2532, 20, 36306, 15321, 57507
2023, 3238, 2607, 21, 35854, 15787, 57507
2029, 3270, 2560, 20, 36974, 14683, 57507
2035, 3178, 2500, 18, 37206, 14605, 57507
2041, 3232, 2516, 18, 33788, 17953, 57507
2047, 3211, 2482, 20, 14797, 36997, 57507
2053, 3206, 2583, 22, 12915, 38781, 57507
2059, 3259, 2499, 22, 16274, 35453, 57507
2065, 3210, 2349, 20, 20079, 31849, 57507
2071, 3315, 2160, 20, 21401, 30611, 57507
2077, 3432, 1933, 18, 25058, 27066, 57507
2083, 3422, 1735, 21, 27789, 24540, 57507
2089, 3371, 1323, 21, 27435, 25357, 57507
