ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
1393, 6645, 19981, 5472, 1772, 23639, 57509
1399, 6705, 20769, 4762, 1653, 23620, 57509
1405, 6714, 23065, 4177, 1182, 22371, 57509
1411, 6685, 38620, 3436, 1296, 7472, 57509
1417, 6595, 44154, 91, 1054, 5615, 57509
1423, 6557, 45820, 92, 894, 4146, 57509
1429, 6627, 46964, 91, 754, 3073, 57509
1435, 6615, 48045, 92, 524, 2233, 57509
1441, 6692, 48557, 91, 404, 1765, 57509
1447, 6653, 49078, 101, 384, 1293, 57509
1453, 6559, 50487, 101, 343, 19, 57509
1459, 6571, 50534, 101, 282, 21, 57509
1465, 6599, 50506, 101, 279, 24, 57509
1471, 6647, 50491, 101, 244, 26, 57509
1477, 6702, 50429, 100, 248, 30, 57509
1483, 6780, 49729, 100, 245, 655, 57509
1489, 6835, 46221, 690, 251, 3512, 57509
1495, 6851, 46872, 760, 298, 2728, 57509
1501, 6865, 44601, 998, 408, 4637, 57509
1507, 6818, 36848, 1605, 467, 11771, 57509
1513, 6850, 33398, 651, 498, 16112, 57509
1519, 6824, 27108, 843, 676, 22058, 57509
1525, 6867, 24254, 969, 648, 24771, 57509
1531, 6904, 20938, 2020, 579, 27068, 57509
1537, 6919, 25761, 4883, 1225, 18721, 57509
1543, 6837, 24302, 5077, 992, 20301, 57509
1549, 6574, 23398, 5310, 774, 21453, 57509
1555, 6541, 20353, 5882, 937, 23796, 57509
1561, 6436, 20007, 6008, 816, 24242, 57509
1567, 6600, 19683, 5908, 788, 24530, 57509
1573, 6684, 20397, 5200, 639, 24589, 57509
1579, 6695, 42421, 3911, 630, 3852, 57509
1585, 6787, 43560, 3269, 468, 3425, 57509
1591, 6817, 44657, 2700, 397, 2938, 57509
1597, 6850, 46828, 1870, 344, 1617, 57509
1603, 6830, 48310, 1169, 342, 858, 57509
1609, 6783, 48853, 878, 310, 685, 57509
1615, 6766, 49179, 657, 305, 602, 57509
1621, 6810, 49818, 547, 305, 29, 57509
1627, 6790, 49965, 420, 303, 31, 57509
1633, 6754, 50331, 90, 299, 35, 57509
1639, 6831, 50274, 90, 274, 40, 57509
1645, 6859, 49775, 100, 265, 510, 57509
1651, 6868, 48894, 90, 274, 1383, 57509
1657, 6800, 44408, 177, 277, 5847, 57509
1663, 6776, 36249, 177, 597, 13710, 57509
1669, 6628, 29345, 280, 553, 20703, 57509
1675, 6648, 21264, 1141, 593, 27863, 57509
1681, 6729, 16592, 111, 619, 33458, 57509
1687, 6744, 13331, 683, 701, 36050, 57509
1693, 6694, 10916, 772, 455, 38672, 57509
1699, 6630, 10328, 1256, 683, 38612, 57509
1705, 6750, 14923, 2553, 1400, 31883, 57509
