ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, VidyutVanika, total
1147, 3117, 1930, 0, 43, 52424, 57514
1153, 3167, 1275, 0, 42, 53030, 57514
1159, 3230, 1128, 0, 43, 53113, 57514
1165, 3237, 1047, 0, 39, 53191, 57514
1171, 3343, 928, 0, 38, 53205, 57514
1177, 3328, 1631, 0, 43, 52512, 57514
1183, 3219, 2014, 0, 41, 52240, 57514
1189, 3431, 2137, 0, 31, 51915, 57514
1195, 3614, 2643, 0, 34, 51223, 57514
1201, 3629, 2705, 0, 33, 51147, 57514
1207, 3421, 3138, 0, 34, 50921, 57514
1213, 3240, 4847, 0, 30, 49397, 57514
1219, 3168, 5832, 0, 34, 48480, 57514
1225, 3147, 6332, 0, 33, 48002, 57514
1231, 3214, 7652, 0, 30, 46618, 57514
1237, 3295, 7648, 0, 31, 46540, 57514
1243, 3201, 7536, 0, 30, 46747, 57514
1249, 3274, 7360, 0, 30, 46850, 57514
1255, 3416, 7027, 0, 30, 47041, 57514
1261, 3549, 6824, 0, 34, 47107, 57514
1267, 3550, 6424, 0, 37, 47503, 57514
1273, 3531, 6124, 0, 37, 47822, 57514
1279, 3502, 5879, 0, 36, 48097, 57514
1285, 3495, 5230, 0, 36, 48753, 57514
1291, 3421, 4783, 0, 37, 49273, 57514
1297, 3404, 4233, 0, 35, 49842, 57514
1303, 3677, 3309, 0, 33, 50495, 57514
1309, 3467, 2809, 0, 35, 51203, 57514
1315, 3483, 1904, 0, 36, 52091, 57514
1321, 3619, 1400, 0, 36, 52459, 57514
1327, 3592, 1127, 0, 37, 52758, 57514
1333, 3522, 975, 0, 37, 52980, 57514
1339, 3506, 924, 0, 34, 53050, 57514
1345, 3528, 936, 0, 34, 53016, 57514
1351, 3522, 761, 0, 36, 53195, 57514
1357, 3551, 784, 0, 37, 53142, 57514
1363, 3583, 808, 0, 38, 53085, 57514
1369, 3573, 1720, 0, 34, 52187, 57514
1375, 3639, 2614, 0, 31, 51230, 57514
1381, 3603, 3493, 0, 30, 50388, 57514
1387, 3350, 3967, 0, 30, 50167, 57514
1393, 3563, 4828, 0, 29, 49094, 57514
1399, 3570, 5010, 0, 28, 48906, 57514
1405, 3483, 5171, 0, 28, 48832, 57514
1411, 3681, 5193, 0, 28, 48612, 57514
1417, 3690, 5111, 0, 28, 48685, 57514
1423, 3666, 5604, 0, 30, 48214, 57514
1429, 3752, 5698, 0, 40, 48024, 57514
1435, 3559, 5581, 0, 40, 48334, 57514
1441, 3611, 5385, 0, 39, 48479, 57514
1447, 3493, 4879, 0, 38, 49104, 57514
1453, 3491, 4098, 0, 36, 49889, 57514
1459, 3409, 3670, 0, 37, 50398, 57514
1465, 3332, 3064, 0, 36, 51082, 57514
1471, 3320, 2466, 0, 36, 51692, 57514
1477, 3397, 2178, 0, 36, 51903, 57514
1483, 3511, 1732, 0, 35, 52236, 57514
1489, 3472, 1395, 0, 36, 52611, 57514
1495, 3602, 1154, 0, 36, 52722, 57514
1501, 3583, 1063, 0, 35, 52833, 57514
1507, 3635, 1010, 0, 35, 52834, 57514
1513, 3767, 1647, 0, 37, 52063, 57514
1519, 3876, 1386, 0, 35, 52217, 57514
1525, 3877, 1462, 0, 32, 52143, 57514
1531, 3870, 2546, 0, 32, 51066, 57514
1537, 3848, 3021, 0, 30, 50615, 57514
1543, 3769, 3920, 0, 29, 49796, 57514
1549, 3625, 4311, 0, 28, 49550, 57514
1555, 3589, 5507, 0, 29, 48389, 57514
1561, 3603, 6919, 0, 30, 46962, 57514
1567, 3694, 7486, 0, 29, 46305, 57514
1573, 3718, 7871, 0, 28, 45897, 57514
1579, 3525, 7854, 0, 28, 46107, 57514
1585, 3497, 7751, 0, 30, 46236, 57514
1591, 3571, 7663, 0, 31, 46249, 57514
1597, 3650, 7318, 0, 34, 46512, 57514
1603, 3606, 6616, 0, 33, 47259, 57514
1609, 3690, 6092, 0, 31, 47701, 57514
1615, 3708, 5867, 0, 30, 47909, 57514
1621, 3646, 5078, 0, 31, 48759, 57514
1627, 3705, 4638, 0, 31, 49140, 57514
1633, 3521, 3537, 0, 30, 50426, 57514
1639, 3738, 2600, 0, 30, 51146, 57514
1645, 3692, 2056, 0, 28, 51738, 57514
1651, 3592, 1589, 0, 32, 52301, 57514
1657, 3607, 1272, 0, 33, 52602, 57514
1663, 3568, 1002, 0, 35, 52909, 57514
1669, 3476, 802, 0, 31, 53205, 57514
1675, 3612, 909, 0, 30, 52963, 57514
1681, 3585, 1119, 0, 31, 52779, 57514
1687, 3503, 1329, 0, 30, 52652, 57514
1693, 3688, 1456, 0, 28, 52342, 57514
1699, 3698, 1669, 0, 26, 52121, 57514
1705, 3676, 2127, 0, 28, 51683, 57514
1711, 3591, 2798, 0, 26, 51099, 57514
1717, 3811, 3287, 0, 26, 50390, 57514
1723, 3726, 4664, 0, 25, 49099, 57514
1729, 3682, 5738, 0, 28, 48066, 57514
1735, 3730, 6871, 0, 27, 46886, 57514
1741, 3696, 7061, 0, 30, 46727, 57514
1747, 3681, 6923, 0, 28, 46882, 57514
1753, 3743, 6925, 0, 29, 46817, 57514
1759, 3769, 6880, 0, 28, 46837, 57514
1765, 3578, 6809, 0, 36, 47091, 57514
1771, 3465, 6442, 0, 37, 47570, 57514
1777, 3473, 5777, 0, 38, 48226, 57514
1783, 3275, 5545, 0, 37, 48657, 57514
1789, 3342, 5256, 0, 36, 48880, 57514
1795, 3677, 4424, 0, 34, 49379, 57514
1801, 3624, 3505, 0, 33, 50352, 57514
