ts, default broker, EWIIS3, VidyutVanika, total
1057, 3837, 45, 53630, 57512
1063, 3827, 45, 53640, 57512
1069, 3842, 45, 53625, 57512
1075, 3881, 45, 53586, 57512
1081, 3650, 46, 53816, 57512
1087, 3672, 53, 53787, 57512
1093, 3649, 52, 53811, 57512
1099, 3551, 49, 53912, 57512
1105, 3531, 49, 53932, 57512
1111, 3426, 49, 54037, 57512
1117, 3675, 47, 53790, 57512
1123, 3798, 46, 53668, 57512
1129, 3809, 47, 53656, 57512
1135, 3817, 53, 53642, 57512
1141, 3634, 52, 53826, 57512
1147, 3551, 50, 53911, 57512
1153, 3587, 47, 53878, 57512
1159, 3660, 46, 53806, 57512
1165, 3667, 46, 53799, 57512
1171, 3745, 46, 53721, 57512
1177, 3681, 46, 53785, 57512
1183, 3601, 49, 53862, 57512
1189, 3361, 49, 54102, 57512
1195, 3553, 50, 53909, 57512
1201, 3474, 49, 53989, 57512
1207, 3404, 48, 54060, 57512
1213, 3339, 47, 54126, 57512
1219, 3510, 47, 53955, 57512
1225, 3234, 46, 54232, 57512
1231, 3236, 46, 54230, 57512
1237, 3278, 43, 54191, 57512
1243, 3213, 42, 54257, 57512
1249, 3202, 45, 54265, 57512
1255, 3403, 83, 54026, 57512
1261, 3568, 80, 53864, 57512
1267, 3526, 78, 53908, 57512
1273, 3710, 78, 53724, 57512
1279, 3734, 77, 53701, 57512
1285, 3704, 77, 53731, 57512
1291, 3551, 49, 53912, 57512
1297, 3656, 45, 53811, 57512
1303, 3803, 46, 53663, 57512
1309, 3716, 49, 53747, 57512
1315, 3873, 49, 53590, 57512
1321, 3846, 48, 53618, 57512
1327, 3791, 47, 53674, 57512
1333, 3820, 49, 53643, 57512
1339, 3808, 49, 53655, 57512
1345, 3750, 48, 53714, 57512
1351, 3776, 51, 53685, 57512
1357, 3728, 51, 53733, 57512
1363, 3563, 47, 53902, 57512
1369, 3682, 47, 53783, 57512
1375, 3509, 45, 53958, 57512
1381, 3540, 43, 53929, 57512
1387, 3211, 41, 54260, 57512
1393, 3431, 43, 54038, 57512
1399, 3438, 45, 54029, 57512
1405, 3464, 43, 54005, 57512
1411, 3762, 42, 53708, 57512
1417, 3737, 44, 53731, 57512
1423, 3880, 48, 53584, 57512
1429, 3877, 49, 53586, 57512
1435, 3821, 52, 53639, 57512
1441, 3752, 51, 53709, 57512
1447, 3738, 52, 53722, 57512
1453, 3635, 49, 53828, 57512
1459, 3668, 48, 53796, 57512
1465, 3662, 47, 53803, 57512
1471, 3635, 45, 53832, 57512
1477, 3600, 45, 53867, 57512
1483, 3689, 46, 53777, 57512
1489, 3792, 47, 53673, 57512
1495, 3817, 46, 53649, 57512
1501, 3487, 45, 53980, 57512
1507, 3468, 42, 54002, 57512
1513, 3416, 43, 54053, 57512
1519, 3455, 45, 54012, 57512
1525, 3251, 45, 54216, 57512
1531, 3221, 43, 54248, 57512
1537, 3289, 44, 54179, 57512
1543, 3357, 44, 54111, 57512
1549, 3455, 45, 54012, 57512
1555, 3438, 45, 54029, 57512
1561, 3408, 45, 54059, 57512
1567, 3289, 45, 54178, 57512
1573, 3172, 46, 54294, 57512
1579, 3158, 47, 54307, 57512
1585, 3261, 49, 54202, 57512
1591, 3385, 50, 54077, 57512
1597, 3381, 57, 54074, 57512
1603, 3357, 57, 54098, 57512
1609, 3444, 55, 54013, 57512
1615, 3614, 52, 53846, 57512
1621, 3660, 52, 53800, 57512
1627, 3648, 51, 53813, 57512
1633, 3617, 51, 53844, 57512
1639, 3458, 50, 54004, 57512
1645, 3652, 50, 53810, 57512
1651, 3574, 48, 53890, 57512
1657, 3623, 49, 53840, 57512
1663, 3603, 49, 53860, 57512
1669, 3716, 51, 53745, 57512
1675, 3697, 51, 53764, 57512
1681, 3493, 52, 53967, 57512
1687, 3478, 53, 53981, 57512
1693, 3462, 51, 53999, 57512
1699, 3428, 49, 54035, 57512
1705, 3510, 48, 53954, 57512
1711, 3510, 45, 53957, 57512
1717, 3492, 45, 53975, 57512
1723, 3631, 46, 53835, 57512
1729, 3548, 45, 53919, 57512
1735, 3604, 44, 53864, 57512
1741, 3524, 46, 53942, 57512
1747, 3538, 44, 53930, 57512
1753, 3477, 44, 53991, 57512
1759, 3607, 46, 53859, 57512
1765, 3652, 56, 53804, 57512
1771, 3702, 54, 53756, 57512
1777, 3598, 55, 53859, 57512
1783, 3493, 52, 53967, 57512
1789, 3542, 53, 53917, 57512
1795, 3628, 49, 53835, 57512
1801, 3526, 49, 53937, 57512
1807, 3631, 49, 53832, 57512
1813, 3599, 50, 53863, 57512
1819, 3728, 49, 53735, 57512
