ts, default broker, CrocodileAgent, EWIIS3, total
1093, 6732, 48466, 2303, 57501
1099, 6736, 45821, 4944, 57501
1105, 6797, 46679, 4025, 57501
1111, 6874, 47037, 3590, 57501
1117, 6951, 47452, 3098, 57501
1123, 6951, 47994, 2556, 57501
1129, 6949, 48247, 2305, 57501
1135, 6869, 48915, 1717, 57501
1141, 6727, 49649, 1125, 57501
1147, 6720, 49781, 1000, 57501
1153, 6840, 49911, 750, 57501
1159, 6853, 49982, 666, 57501
1165, 6857, 50084, 560, 57501
1171, 6846, 50197, 458, 57501
1177, 6897, 50145, 459, 57501
1183, 6828, 50216, 457, 57501
1189, 6877, 50193, 431, 57501
1195, 6834, 50249, 418, 57501
1201, 6862, 50214, 425, 57501
1207, 6872, 50217, 412, 57501
1213, 6817, 50319, 365, 57501
1219, 6796, 50188, 517, 57501
1225, 6817, 50227, 457, 57501
1231, 6872, 49950, 679, 57501
1237, 6790, 50093, 618, 57501
1243, 6943, 49938, 620, 57501
1249, 6944, 49717, 840, 57501
1255, 6932, 48303, 2266, 57501
1261, 6996, 48211, 2294, 57501
1267, 6991, 47926, 2584, 57501
1273, 7005, 48028, 2468, 57501
1279, 6951, 48295, 2255, 57501
1285, 6728, 49013, 1760, 57501
1291, 6706, 49245, 1550, 57501
1297, 6704, 49405, 1392, 57501
1303, 6768, 49642, 1091, 57501
1309, 6816, 49852, 833, 57501
1315, 6815, 49945, 741, 57501
1321, 6902, 49960, 639, 57501
1327, 6817, 50139, 545, 57501
1333, 6504, 50563, 434, 57501
1339, 6545, 50542, 414, 57501
1345, 6563, 50555, 383, 57501
1351, 6648, 50499, 354, 57501
1357, 6655, 50492, 354, 57501
1363, 6773, 50399, 329, 57501
1369, 6661, 50499, 341, 57501
1375, 6698, 50302, 501, 57501
1381, 6720, 50005, 776, 57501
1387, 6761, 48966, 1774, 57501
1393, 6775, 47533, 3193, 57501
1399, 6763, 45087, 5651, 57501
1405, 6851, 45367, 5283, 57501
1411, 6885, 44581, 6035, 57501
1417, 6896, 44442, 6163, 57501
1423, 6981, 44356, 6164, 57501
1429, 7015, 45562, 4924, 57501
1435, 6980, 45324, 5197, 57501
1441, 7004, 46003, 4494, 57501
1447, 6929, 47051, 3521, 57501
1453, 6814, 48533, 2154, 57501
1459, 6866, 48924, 1711, 57501
1465, 6969, 49082, 1450, 57501
1471, 6992, 49342, 1167, 57501
1477, 7005, 49614, 882, 57501
1483, 6951, 49734, 816, 57501
1489, 6891, 49823, 787, 57501
1495, 6939, 49877, 685, 57501
1501, 6974, 49954, 573, 57501
1507, 6867, 50183, 451, 57501
1513, 6917, 50216, 368, 57501
1519, 6906, 50229, 366, 57501
1525, 6818, 50335, 348, 57501
1531, 6826, 50325, 350, 57501
1537, 6882, 50280, 339, 57501
1543, 6913, 49864, 724, 57501
1549, 6722, 49490, 1289, 57501
1555, 6691, 49306, 1504, 57501
1561, 6737, 48939, 1825, 57501
1567, 6765, 48669, 2067, 57501
1573, 6637, 48740, 2124, 57501
1579, 6308, 48545, 2648, 57501
1585, 6439, 48431, 2631, 57501
1591, 6509, 48607, 2385, 57501
1597, 6592, 47647, 3262, 57501
1603, 6718, 46719, 4064, 57501
1609, 6791, 47203, 3507, 57501
1615, 6808, 47851, 2842, 57501
1621, 6823, 48112, 2566, 57501
1627, 6913, 48850, 1738, 57501
1633, 6852, 49263, 1386, 57501
1639, 6825, 49730, 946, 57501
1645, 6839, 49850, 812, 57501
1651, 6845, 49906, 750, 57501
1657, 6892, 49986, 623, 57501
1663, 6879, 50038, 584, 57501
1669, 6352, 50667, 482, 57501
1675, 6336, 50701, 464, 57501
1681, 6448, 50589, 464, 57501
1687, 6577, 50479, 445, 57501
1693, 6774, 50362, 365, 57501
1699, 6836, 50312, 353, 57501
1705, 6751, 50276, 474, 57501
1711, 6809, 50057, 635, 57501
1717, 6832, 49935, 734, 57501
1723, 6859, 48624, 2018, 57501
1729, 6875, 48720, 1906, 57501
1735, 6887, 48048, 2566, 57501
1741, 6811, 47709, 2981, 57501
1747, 6782, 46848, 3871, 57501
1753, 6826, 47157, 3518, 57501
1759, 6850, 47018, 3633, 57501
1765, 6734, 46352, 4415, 57501
1771, 6799, 45140, 5562, 57501
