ts, default broker, CrocodileAgent, AgentUDE, total
1105, 6864, 5785, 44867, 57516
1111, 6906, 8799, 41811, 57516
1117, 6779, 46047, 4690, 57516
1123, 6775, 49729, 1012, 57516
1129, 6799, 50143, 574, 57516
1135, 6841, 50159, 516, 57516
1141, 6906, 50115, 495, 57516
1147, 6821, 50047, 648, 57516
1153, 6850, 49678, 988, 57516
1159, 6853, 48594, 2069, 57516
1165, 6937, 47929, 2650, 57516
1171, 6919, 46289, 4308, 57516
1177, 6847, 44269, 6400, 57516
1183, 6879, 41564, 9073, 57516
1189, 6834, 6868, 43814, 57516
1195, 6910, 1157, 49449, 57516
1201, 6934, 876, 49706, 57516
1207, 6946, 752, 49818, 57516
1213, 6754, 842, 49920, 57516
1219, 6806, 636, 50074, 57516
1225, 6840, 512, 50164, 57516
1231, 6780, 484, 50252, 57516
1237, 6901, 374, 50241, 57516
1243, 6912, 566, 50038, 57516
1249, 6863, 600, 50053, 57516
1255, 6852, 550, 50114, 57516
1261, 6877, 551, 50088, 57516
1267, 6867, 578, 50071, 57516
1273, 6863, 587, 50066, 57516
1279, 6863, 594, 50059, 57516
1285, 6873, 43998, 6645, 57516
1291, 6811, 46770, 3935, 57516
1297, 6929, 46812, 3775, 57516
1303, 6913, 46878, 3725, 57516
1309, 6967, 46806, 3743, 57516
1315, 6922, 46759, 3835, 57516
1321, 6883, 46739, 3894, 57516
1327, 6838, 46723, 3955, 57516
1333, 6796, 46744, 3976, 57516
1339, 6785, 46735, 3996, 57516
1345, 6883, 46372, 4261, 57516
1351, 6832, 46421, 4263, 57516
1357, 6804, 36017, 14695, 57516
1363, 6848, 26505, 24163, 57516
1369, 6896, 21897, 28723, 57516
1375, 6841, 13677, 36998, 57516
1381, 6927, 9212, 41377, 57516
1387, 6904, 7179, 43433, 57516
1393, 6875, 5298, 45343, 57516
1399, 6727, 4030, 46759, 57516
1405, 6693, 3006, 47817, 57516
1411, 6726, 2802, 47988, 57516
1417, 6774, 2128, 48614, 57516
1423, 6829, 2286, 48401, 57516
1429, 6722, 7721, 43073, 57516
1435, 6726, 16945, 33845, 57516
1441, 6765, 23005, 27746, 57516
1447, 6849, 28459, 22208, 57516
1453, 6976, 41939, 8601, 57516
1459, 7004, 44491, 6021, 57516
1465, 6986, 46092, 4438, 57516
1471, 6876, 47071, 3569, 57516
1477, 6945, 46564, 4007, 57516
1483, 6926, 46268, 4322, 57516
1489, 6954, 46075, 4487, 57516
1495, 6961, 45900, 4655, 57516
1501, 6826, 43694, 6996, 57516
1507, 6486, 37841, 13189, 57516
1513, 6681, 34320, 16515, 57516
1519, 6722, 31899, 18895, 57516
1525, 6799, 25934, 24783, 57516
1531, 6832, 22765, 27919, 57516
1537, 6821, 15481, 35214, 57516
1543, 6791, 10954, 39771, 57516
1549, 6684, 8877, 41955, 57516
1555, 6672, 6282, 44562, 57516
1561, 6734, 5539, 45243, 57516
1567, 6755, 3188, 47573, 57516
1573, 6637, 2865, 48014, 57516
1579, 6663, 2308, 48545, 57516
1585, 6758, 2024, 48734, 57516
1591, 6782, 1540, 49194, 57516
1597, 6582, 1732, 49202, 57516
1603, 6684, 1585, 49247, 57516
1609, 6754, 1528, 49234, 57516
1615, 6803, 1513, 49200, 57516
1621, 6886, 38254, 12376, 57516
1627, 6969, 41288, 9259, 57516
1633, 6903, 42537, 8076, 57516
1639, 6904, 43117, 7495, 57516
1645, 6897, 42751, 7868, 57516
1651, 6961, 42650, 7905, 57516
1657, 6871, 42537, 8108, 57516
1663, 6951, 42360, 8205, 57516
1669, 6909, 42255, 8352, 57516
1675, 6825, 42197, 8494, 57516
1681, 6788, 42147, 8581, 57516
1687, 6792, 42024, 8700, 57516
1693, 6851, 35698, 14967, 57516
1699, 6866, 29947, 20703, 57516
1705, 6775, 19782, 30959, 57516
1711, 6802, 16285, 34429, 57516
1717, 6792, 14284, 36440, 57516
1723, 6793, 12470, 38253, 57516
1729, 6801, 8290, 42425, 57516
1735, 6801, 6461, 44254, 57516
1741, 6664, 4986, 45866, 57516
1747, 6765, 3919, 46832, 57516
1753, 6830, 3094, 47592, 57516
