ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
733, 6688, 7679, 1410, 0, 41729, 57506
739, 6705, 6747, 1505, 0, 42549, 57506
745, 6693, 5242, 1224, 0, 44347, 57506
751, 6644, 4624, 1102, 0, 45136, 57506
757, 6697, 4600, 1054, 0, 45155, 57506
763, 6643, 5081, 948, 0, 44834, 57506
769, 6732, 5475, 763, 0, 44536, 57506
775, 6770, 6744, 633, 0, 43359, 57506
781, 6884, 49262, 582, 0, 778, 57506
787, 6857, 49595, 545, 0, 509, 57506
793, 6774, 49832, 480, 0, 420, 57506
799, 6802, 49912, 461, 0, 331, 57506
805, 6753, 50052, 398, 0, 303, 57506
811, 6695, 50176, 347, 0, 288, 57506
817, 6723, 50229, 296, 0, 258, 57506
823, 6805, 50302, 267, 0, 132, 57506
829, 6670, 50463, 227, 0, 146, 57506
835, 6720, 50364, 227, 0, 195, 57506
841, 6660, 50284, 202, 0, 360, 57506
847, 6739, 49856, 233, 0, 678, 57506
853, 6859, 45467, 377, 0, 4803, 57506
859, 6853, 38356, 1089, 0, 11208, 57506
865, 6753, 30593, 1407, 0, 18753, 57506
871, 6781, 23536, 1581, 0, 25608, 57506
877, 6666, 20781, 1646, 0, 28413, 57506
883, 6678, 16951, 1755, 0, 32122, 57506
889, 6629, 13747, 1880, 0, 35250, 57506
895, 6727, 10497, 1853, 0, 38429, 57506
901, 6757, 9190, 1647, 0, 39912, 57506
907, 6723, 7923, 1774, 0, 41086, 57506
913, 6804, 6852, 1579, 0, 42271, 57506
919, 6859, 5838, 1167, 0, 43642, 57506
925, 6669, 5703, 863, 0, 44271, 57506
931, 6577, 5884, 564, 0, 44481, 57506
937, 6711, 5775, 485, 0, 44535, 57506
943, 6751, 5772, 455, 0, 44528, 57506
949, 6849, 49507, 376, 0, 774, 57506
955, 6817, 49767, 330, 0, 592, 57506
961, 6866, 49780, 288, 0, 572, 57506
967, 6807, 49996, 250, 0, 453, 57506
973, 6555, 50308, 201, 0, 442, 57506
979, 6581, 50366, 179, 0, 380, 57506
985, 6643, 50348, 152, 0, 363, 57506
991, 6693, 50459, 170, 0, 184, 57506
997, 6785, 50365, 172, 0, 184, 57506
1003, 6829, 50312, 171, 0, 194, 57506
1009, 6791, 50311, 168, 0, 236, 57506
1015, 6814, 50071, 168, 0, 453, 57506
1021, 6868, 46605, 169, 0, 3864, 57506
1027, 6850, 40066, 300, 0, 10290, 57506
1033, 6835, 30014, 453, 0, 20204, 57506
1039, 6842, 21573, 445, 0, 28646, 57506
1045, 6789, 17691, 427, 0, 32599, 57506
1051, 6751, 12429, 517, 0, 37809, 57506
1057, 6539, 9751, 134, 0, 41082, 57506
1063, 6584, 7382, 135, 0, 43405, 57506
1069, 6548, 6115, 136, 0, 44707, 57506
1075, 6644, 9403, 706, 0, 40753, 57506
1081, 6645, 9121, 809, 0, 40931, 57506
1087, 6760, 9047, 806, 0, 40893, 57506
1093, 6789, 9570, 836, 0, 40311, 57506
1099, 6770, 11187, 837, 0, 38712, 57506
1105, 6804, 12825, 837, 0, 37040, 57506
1111, 6820, 18999, 846, 0, 30841, 57506
1117, 6851, 46680, 779, 0, 3196, 57506
1123, 6848, 49369, 600, 0, 689, 57506
1129, 6851, 49660, 470, 0, 525, 57506
1135, 6824, 49819, 339, 0, 524, 57506
1141, 6765, 50005, 209, 0, 527, 57506
1147, 6690, 50081, 209, 0, 526, 57506
1153, 6634, 50167, 208, 0, 497, 57506
1159, 6670, 50468, 122, 0, 246, 57506
1165, 6714, 50424, 121, 0, 247, 57506
1171, 6747, 50165, 101, 0, 493, 57506
1177, 6781, 49100, 125, 0, 1500, 57506
1183, 6824, 46950, 132, 0, 3600, 57506
1189, 6849, 31357, 123, 0, 19177, 57506
1195, 6880, 16572, 463, 0, 33591, 57506
1201, 6907, 14747, 931, 0, 34921, 57506
1207, 6844, 13311, 1078, 0, 36273, 57506
1213, 6770, 10535, 1158, 0, 39043, 57506
1219, 6719, 7886, 1176, 0, 41725, 57506
1225, 6629, 6676, 1236, 0, 42965, 57506
1231, 6627, 5858, 1233, 0, 43788, 57506
1237, 6713, 5088, 1132, 0, 44573, 57506
1243, 6722, 9607, 4079, 0, 37098, 57506
1249, 6730, 10148, 3880, 0, 36748, 57506
1255, 6828, 10160, 3724, 0, 36794, 57506
1261, 6611, 10452, 3546, 0, 36897, 57506
1267, 6449, 11058, 3275, 0, 36724, 57506
1273, 6458, 11221, 3178, 0, 36649, 57506
1279, 6579, 11659, 3138, 0, 36130, 57506
1285, 6632, 44312, 2611, 0, 3951, 57506
1291, 6743, 47987, 1805, 0, 971, 57506
1297, 6723, 48991, 1183, 0, 609, 57506
1303, 6802, 49301, 922, 0, 481, 57506
1309, 6859, 49513, 733, 0, 401, 57506
1315, 6772, 49906, 483, 0, 345, 57506
1321, 6793, 49921, 443, 0, 349, 57506
1327, 6781, 50252, 132, 0, 341, 57506
1333, 6645, 50201, 92, 0, 568, 57506
1339, 6650, 49768, 92, 0, 996, 57506
1345, 6673, 47923, 94, 0, 2816, 57506
1351, 6691, 45876, 91, 0, 4848, 57506
1357, 6766, 23194, 216, 0, 27330, 57506
1363, 6792, 6781, 364, 0, 43569, 57506
1369, 6770, 10490, 2027, 0, 38219, 57506
1375, 6814, 10691, 2105, 0, 37896, 57506
1381, 6843, 8961, 2202, 0, 39500, 57506
1387, 6851, 8363, 2224, 0, 40068, 57506
1393, 6862, 8040, 2253, 0, 40351, 57506
1399, 6862, 7977, 2284, 0, 40383, 57506
1405, 6757, 7699, 2292, 0, 40758, 57506
1411, 6774, 14453, 3280, 0, 32999, 57506
1417, 6764, 13588, 2399, 0, 34755, 57506
1423, 6736, 14047, 2009, 0, 34714, 57506
1429, 6404, 14532, 1775, 0, 34795, 57506
1435, 6497, 15079, 1655, 0, 34275, 57506
1441, 6544, 18092, 1444, 0, 31426, 57506
1447, 6678, 22441, 1415, 0, 26972, 57506
1453, 6804, 49101, 1201, 0, 400, 57506
1459, 6869, 49233, 991, 0, 413, 57506
1465, 6861, 49633, 626, 0, 386, 57506
1471, 6894, 49802, 468, 0, 342, 57506
1477, 6939, 49879, 392, 0, 296, 57506
1483, 6870, 50004, 344, 0, 288, 57506
1489, 6852, 50066, 300, 0, 288, 57506
1495, 6814, 50306, 191, 0, 195, 57506
1501, 6711, 50414, 192, 0, 189, 57506
1507, 6844, 50296, 175, 0, 191, 57506
1513, 6797, 50229, 224, 0, 256, 57506
1519, 6840, 50173, 224, 0, 269, 57506
1525, 6827, 50088, 235, 0, 356, 57506
1531, 6801, 48214, 1345, 0, 1146, 57506
1537, 6756, 13384, 2112, 0, 35254, 57506
1543, 6745, 5019, 2301, 0, 43441, 57506
1549, 6690, 1784, 2336, 0, 46696, 57506
1555, 6801, 701, 2285, 0, 47719, 57506
1561, 6826, 553, 2251, 0, 47876, 57506
1567, 6841, 360, 2251, 0, 48054, 57506
1573, 6770, 433, 1387, 0, 48916, 57506
1579, 6655, 856, 1286, 0, 48709, 57506
1585, 6640, 943, 1148, 0, 48775, 57506
1591, 6712, 1215, 783, 0, 48796, 57506
1597, 6768, 1798, 602, 0, 48338, 57506
1603, 6785, 4342, 601, 0, 45778, 57506
1609, 6801, 9270, 456, 0, 40979, 57506
1615, 6815, 16947, 365, 0, 33379, 57506
1621, 6851, 47480, 269, 0, 2906, 57506
1627, 6830, 49261, 183, 0, 1232, 57506
1633, 6791, 49572, 184, 0, 959, 57506
1639, 6774, 49800, 184, 0, 748, 57506
1645, 6727, 50080, 123, 0, 576, 57506
1651, 6767, 50128, 122, 0, 489, 57506
1657, 6796, 50210, 121, 0, 379, 57506
1663, 6734, 50395, 114, 0, 263, 57506
1669, 6415, 50716, 111, 0, 264, 57506
1675, 6416, 50565, 114, 0, 411, 57506
1681, 6493, 49656, 114, 0, 1243, 57506
1687, 6554, 47993, 234, 0, 2725, 57506
1693, 6746, 42654, 241, 0, 7865, 57506
1699, 6733, 32043, 865, 0, 17865, 57506
1705, 6820, 7484, 1594, 0, 41608, 57506
1711, 6859, 2821, 2062, 0, 45764, 57506
1717, 6932, 1290, 2324, 0, 46960, 57506
1723, 6891, 524, 2457, 0, 47634, 57506
1729, 6818, 385, 2363, 0, 47940, 57506
1735, 6766, 768, 2352, 0, 47620, 57506
1741, 6724, 895, 2235, 0, 47652, 57506
1747, 6649, 1816, 3095, 0, 45946, 57506
1753, 6646, 1793, 2453, 0, 46614, 57506
1759, 6751, 2211, 2184, 0, 46360, 57506
1765, 6811, 3623, 1706, 0, 45366, 57506
1771, 6867, 6629, 1451, 0, 42559, 57506
1777, 6866, 10452, 1465, 0, 38723, 57506
1783, 6846, 15826, 1352, 0, 33482, 57506
1789, 6809, 46754, 1012, 0, 2931, 57506
1795, 6798, 49143, 724, 0, 841, 57506
1801, 6771, 49735, 453, 0, 547, 57506
1807, 6783, 49837, 373, 0, 513, 57506
1813, 6782, 49974, 356, 0, 394, 57506
1819, 6794, 50006, 311, 0, 395, 57506
1825, 6788, 50045, 311, 0, 362, 57506
1831, 6841, 50189, 261, 0, 215, 57506
1837, 6946, 50113, 243, 0, 204, 57506
