ts, default broker, SPOT, VidyutVanika, AgentUDE, Bunnie, total
1189, 7, 2, 53383, 1021, 3115, 57528
1195, 9, 2, 53920, 800, 2797, 57528
1201, 8, 5, 11482, 18699, 27334, 57528
1207, 9, 3, 10527, 19111, 27878, 57528
1213, 9, 3, 9296, 22501, 25719, 57528
1219, 8, 3, 8928, 23993, 24596, 57528
1225, 8, 3, 8419, 26735, 22363, 57528
1231, 8, 3, 8258, 27408, 21851, 57528
1237, 8, 3, 7869, 28855, 20793, 57528
1243, 7, 5, 7917, 9383, 40216, 57528
1249, 9, 5, 7838, 10142, 39534, 57528
1255, 9, 5, 7658, 11721, 38135, 57528
1261, 9, 6, 7568, 14001, 35944, 57528
1267, 9, 5, 7478, 15269, 34767, 57528
1273, 8, 6, 7576, 17238, 32700, 57528
1279, 8, 5, 7728, 17979, 31808, 57528
1285, 7, 4, 13285, 3568, 40664, 57528
1291, 9, 2, 14352, 3707, 39458, 57528
1297, 9, 2, 17482, 4446, 35589, 57528
1303, 7, 1, 18830, 4900, 33790, 57528
1309, 7, 1, 20577, 5716, 31227, 57528
1315, 8, 1, 22859, 6141, 28519, 57528
1321, 9, 2, 23511, 6417, 27589, 57528
1327, 9, 2, 24756, 1138, 31623, 57528
1333, 6, 2, 24620, 1543, 31357, 57528
1339, 4, 3, 24629, 2279, 30613, 57528
1345, 3, 5, 24628, 3229, 29663, 57528
1351, 4, 5, 24577, 3398, 29544, 57528
1357, 4, 5, 22373, 4564, 30582, 57528
1363, 3, 6, 21251, 5333, 30935, 57528
1369, 6, 6, 19941, 1962, 35613, 57528
1375, 7, 6, 17135, 2827, 37553, 57528
1381, 6, 5, 15912, 3912, 37693, 57528
1387, 7, 5, 14562, 4215, 38739, 57528
1393, 10, 4, 13491, 5143, 38880, 57528
1399, 8, 4, 11821, 5960, 39735, 57528
1405, 8, 4, 10436, 6683, 40397, 57528
1411, 4, 6, 9584, 5089, 42845, 57528
1417, 5, 123, 8998, 8294, 40108, 57528
1423, 7, 123, 8424, 9655, 39319, 57528
1429, 6, 124, 8174, 11833, 37391, 57528
1435, 7, 124, 8007, 13546, 35844, 57528
1441, 5, 125, 8108, 14886, 34404, 57528
1447, 7, 123, 8097, 16358, 32943, 57528
1453, 9, 121, 12335, 4810, 40253, 57528
1459, 7, 34, 13862, 5949, 37676, 57528
1465, 8, 5, 15559, 6657, 35299, 57528
1471, 8, 4, 16303, 7034, 34179, 57528
1477, 9, 4, 18298, 7645, 31572, 57528
1483, 11, 5, 19871, 8229, 29412, 57528
1489, 8, 4, 20996, 8648, 27872, 57528
1495, 8, 4, 21979, 892, 34645, 57528
1501, 7, 3, 22232, 1215, 34071, 57528
1507, 8, 3, 22148, 1345, 34024, 57528
1513, 8, 1, 21894, 2068, 33557, 57528
1519, 6, 1, 21752, 2312, 33457, 57528
1525, 7, 2, 21046, 2882, 33591, 57528
1531, 7, 2, 19735, 3111, 34673, 57528
1537, 8, 11, 17935, 850, 38724, 57528
1543, 7, 11, 16660, 937, 39913, 57528
1549, 6, 11, 15061, 1599, 40851, 57528
1555, 7, 11, 13711, 2561, 41238, 57528
1561, 6, 13, 12621, 3180, 41708, 57528
1567, 4, 12, 11693, 3528, 42291, 57528
1573, 4, 12, 10202, 4230, 43080, 57528
1579, 4, 13, 9522, 964, 47025, 57528
1585, 4, 12, 8977, 1666, 46869, 57528
1591, 5, 13, 8117, 2698, 46695, 57528
1597, 5, 13, 7946, 3404, 46160, 57528
1603, 6, 14, 7786, 3766, 45956, 57528
1609, 5, 13, 7739, 4970, 44801, 57528
1615, 7, 13, 7530, 5575, 44403, 57528
1621, 7, 3, 10842, 1960, 44716, 57528
1627, 7, 4, 13652, 3019, 40846, 57528
1633, 6, 3, 17184, 3497, 36838, 57528
1639, 7, 2, 19434, 4185, 33900, 57528
1645, 7, 4, 21320, 5060, 31137, 57528
1651, 7, 4, 23427, 5753, 28337, 57528
1657, 5, 3, 25820, 6758, 24942, 57528
1663, 7, 3, 27074, 900, 29544, 57528
1669, 7, 3, 26999, 1200, 29319, 57528
1675, 8, 5, 26900, 1544, 29071, 57528
1681, 8, 3, 26811, 1756, 28950, 57528
1687, 5, 5, 26771, 2131, 28616, 57528
1693, 5, 4, 26012, 2750, 28757, 57528
1699, 6, 4, 24100, 3534, 29884, 57528
1705, 6, 2, 20480, 4314, 32726, 57528
1711, 6, 3, 18988, 4861, 33670, 57528
1717, 5, 3, 18119, 5492, 33909, 57528
1723, 4, 4, 15908, 6605, 35007, 57528
1729, 7, 2, 13267, 8083, 36169, 57528
1735, 7, 1, 12326, 8240, 36954, 57528
1741, 7, 0, 10717, 10103, 36701, 57528
1747, 9, 0, 9345, 3572, 44602, 57528
1753, 9, 0, 9213, 4217, 44089, 57528
1759, 9, 0, 8640, 4770, 44109, 57528
1765, 9, 0, 8527, 5809, 43183, 57528
1771, 9, 0, 8363, 6763, 42393, 57528
