ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
727, 4, 8654, 34604, 524, 13721, 57507
733, 3, 8521, 28119, 693, 20171, 57507
739, 9, 6608, 24206, 298, 26386, 57507
745, 3, 4669, 18141, 1204, 33490, 57507
751, 3, 3460, 15615, 1409, 37020, 57507
757, 5, 2114, 12118, 1803, 41467, 57507
763, 5, 1321, 9968, 2389, 43824, 57507
769, 5, 372, 7803, 3294, 46033, 57507
775, 7, 215, 7433, 3284, 46568, 57507
781, 4, 43, 7129, 813, 49518, 57507
787, 2, 7, 7358, 1409, 48731, 57507
793, 3, 10, 7602, 1837, 48055, 57507
799, 3, 9, 7843, 1815, 47837, 57507
805, 3, 6, 7807, 1935, 47756, 57507
811, 3, 6, 8081, 1934, 47483, 57507
817, 3, 142, 8180, 2143, 47039, 57507
823, 4, 144, 8444, 806, 48109, 57507
829, 4, 572, 14442, 1189, 41300, 57507
835, 4, 1880, 20946, 1371, 33306, 57507
841, 2, 4241, 27077, 1570, 24617, 57507
847, 4, 5874, 31420, 1817, 18392, 57507
853, 5, 7014, 35314, 1815, 13359, 57507
859, 8, 7478, 37375, 2006, 10640, 57507
865, 4, 7519, 48056, 196, 1732, 57507
871, 2, 7520, 49261, 63, 661, 57507
877, 4, 7521, 49511, 37, 434, 57507
883, 2, 7482, 49692, 38, 293, 57507
889, 3, 7336, 49802, 38, 328, 57507
895, 2, 7306, 49138, 41, 1020, 57507
901, 4, 6866, 31651, 591, 18395, 57507
907, 3, 6485, 32942, 7, 18070, 57507
913, 6, 5502, 47552, 7, 4440, 57507
919, 5, 4172, 50241, 11, 3078, 57507
925, 4, 3450, 51308, 12, 2733, 57507
931, 2, 2802, 52241, 11, 2451, 57507
937, 2, 2228, 52379, 10, 2888, 57507
943, 1, 1718, 50808, 11, 4969, 57507
949, 1, 1037, 50714, 133, 5622, 57507
955, 1, 868, 49049, 134, 7455, 57507
961, 4, 715, 53286, 163, 3339, 57507
967, 5, 595, 11814, 1555, 43538, 57507
973, 6, 395, 12783, 1538, 42785, 57507
979, 6, 306, 25302, 1524, 30369, 57507
985, 5, 246, 50179, 1600, 5477, 57507
991, 6, 54, 53833, 281, 3333, 57507
997, 1, 144, 24404, 1756, 31202, 57507
1003, 3, 110, 27309, 1729, 28356, 57507
1009, 2, 364, 51648, 1715, 3778, 57507
1015, 4, 645, 52767, 1813, 2278, 57507
1021, 3, 898, 53364, 1901, 1341, 57507
1027, 2, 900, 53594, 1898, 1113, 57507
1033, 4, 927, 54667, 456, 1453, 57507
1039, 4, 924, 54464, 349, 1766, 57507
1045, 8, 927, 53451, 433, 2688, 57507
1051, 4, 926, 53579, 516, 2482, 57507
1057, 3, 907, 54087, 785, 1725, 57507
1063, 5, 906, 53187, 875, 2534, 57507
1069, 3, 867, 14596, 5493, 36548, 57507
1075, 4, 846, 21610, 239, 34808, 57507
1081, 5, 731, 49451, 191, 7129, 57507
1087, 5, 514, 52651, 192, 4145, 57507
1093, 5, 407, 54639, 337, 2119, 57507
1099, 4, 343, 55325, 472, 1363, 57507
1105, 2, 205, 53678, 607, 3015, 57507
1111, 4, 58, 53756, 633, 3056, 57507
1117, 5, 56, 55121, 40, 2285, 57507
1123, 4, 53, 55296, 14, 2140, 57507
1129, 2, 36, 55883, 14, 1572, 57507
1135, 4, 5, 10674, 699, 46125, 57507
1141, 5, 6, 12037, 654, 44805, 57507
1147, 3, 5, 51013, 770, 5716, 57507
1153, 3, 8, 54446, 779, 2271, 57507
1159, 2, 8, 54133, 492, 2872, 57507
1165, 5, 723, 23852, 7740, 25187, 57507
1171, 6, 754, 26251, 7772, 22724, 57507
1177, 5, 759, 44862, 7938, 3943, 57507
1183, 6, 1008, 46302, 8068, 2123, 57507
1189, 1, 1007, 47090, 8368, 1041, 57507
1195, 4, 1086, 47335, 8663, 419, 57507
1201, 3, 1352, 53349, 935, 1868, 57507
1207, 3, 1406, 53470, 124, 2504, 57507
1213, 3, 1404, 53300, 100, 2700, 57507
1219, 5, 1408, 54170, 84, 1840, 57507
1225, 7, 1406, 53877, 89, 2128, 57507
1231, 7, 1406, 52484, 82, 3528, 57507
1237, 4, 729, 12040, 1464, 43270, 57507
1243, 3, 604, 16132, 123, 40645, 57507
1249, 5, 463, 50263, 20, 6756, 57507
1255, 2, 275, 53306, 21, 3903, 57507
1261, 6, 213, 55510, 151, 1627, 57507
1267, 2, 126, 55681, 181, 1517, 57507
1273, 5, 33, 54216, 469, 2784, 57507
1279, 5, 3, 53624, 502, 3373, 57507
1285, 5, 5, 53213, 119, 4165, 57507
1291, 5, 6, 54198, 186, 3112, 57507
1297, 3, 8, 55528, 487, 1481, 57507
1303, 4, 8, 10534, 2459, 44502, 57507
1309, 4, 6, 10889, 2438, 44170, 57507
1315, 4, 6, 19079, 2423, 35995, 57507
1321, 3, 5, 48842, 2429, 6228, 57507
1327, 3, 5, 52878, 721, 3900, 57507
1333, 4, 926, 28100, 1876, 26601, 57507
1339, 4, 927, 31403, 1881, 23292, 57507
1345, 5, 1191, 50154, 1919, 4238, 57507
1351, 4, 1222, 52642, 2094, 1545, 57507
1357, 3, 1315, 53241, 2212, 736, 57507
1363, 2, 1643, 53138, 2212, 512, 57507
1369, 3, 2835, 35525, 9703, 9441, 57507
1375, 2, 3000, 33825, 10355, 10325, 57507
1381, 3, 3019, 33557, 12487, 8441, 57507
1387, 4, 3017, 33523, 13985, 6978, 57507
1393, 3, 3012, 33298, 15729, 5465, 57507
1399, 2, 3015, 33212, 16867, 4411, 57507
1405, 3, 2842, 17436, 24258, 12968, 57507
1411, 2, 2079, 16256, 1973, 37197, 57507
1417, 1, 1820, 15328, 432, 39926, 57507
1423, 1, 1763, 14788, 488, 40467, 57507
1429, 4, 1689, 14550, 429, 40835, 57507
1435, 7, 1394, 14289, 459, 41358, 57507
1441, 4, 254, 7963, 469, 48817, 57507
1447, 3, 88, 7163, 592, 49661, 57507
1453, 5, 56, 7147, 571, 49728, 57507
1459, 4, 53, 7393, 1057, 49000, 57507
1465, 5, 55, 7916, 1435, 48096, 57507
1471, 6, 4, 7983, 1721, 47793, 57507
1477, 4, 5, 8123, 2440, 46935, 57507
1483, 5, 4, 9077, 2865, 45556, 57507
1489, 6, 6, 9206, 3375, 44914, 57507
1495, 7, 5, 10209, 728, 46558, 57507
1501, 6, 1106, 15992, 1062, 39341, 57507
1507, 5, 2589, 23121, 1245, 30547, 57507
1513, 7, 4898, 29760, 1608, 21234, 57507
1519, 2, 6460, 33364, 1696, 15985, 57507
1525, 4, 7632, 36448, 1733, 11690, 57507
1531, 1, 8156, 38252, 1750, 9348, 57507
1537, 1, 9000, 39524, 203, 8779, 57507
1543, 4, 9082, 39398, 67, 8956, 57507
1549, 2, 9113, 38864, 84, 9444, 57507
1555, 3, 9076, 37706, 110, 10612, 57507
1561, 7, 9037, 37524, 135, 10804, 57507
1567, 1, 9001, 36576, 169, 11760, 57507
1573, 3, 8703, 31194, 333, 17274, 57507
1579, 5, 7945, 24282, 434, 24841, 57507
1585, 6, 6964, 17572, 847, 32118, 57507
1591, 5, 5016, 13802, 965, 37719, 57507
1597, 5, 4057, 10640, 2007, 40798, 57507
1603, 0, 3226, 8964, 2624, 42693, 57507
1609, 6, 2504, 7793, 3607, 43597, 57507
1615, 6, 1815, 7135, 3422, 45129, 57507
1621, 7, 1220, 7632, 1083, 47565, 57507
1627, 6, 923, 7885, 1435, 47258, 57507
1633, 5, 563, 8162, 2255, 46522, 57507
1639, 5, 511, 8428, 2311, 46252, 57507
1645, 2, 343, 8790, 2983, 45389, 57507
1651, 3, 407, 9404, 3316, 44377, 57507
1657, 2, 483, 9778, 4196, 43048, 57507
1663, 4, 433, 10674, 1029, 45367, 57507
1669, 3, 870, 19199, 1775, 35660, 57507
1675, 3, 1501, 25097, 2354, 28552, 57507
1681, 4, 3683, 32680, 2679, 18461, 57507
1687, 4, 4524, 35421, 2769, 14789, 57507
1693, 6, 5813, 38933, 2906, 9849, 57507
1699, 2, 6433, 40797, 3000, 7275, 57507
1705, 6, 7148, 42621, 965, 6767, 57507
1711, 9, 7155, 42058, 854, 7431, 57507
1717, 4, 7094, 41260, 1132, 8017, 57507
1723, 3, 6998, 40458, 1510, 8538, 57507
1729, 6, 6963, 40031, 1916, 8591, 57507
1735, 4, 6900, 39197, 2098, 9308, 57507
