ts, default broker, CrocodileAgent, SPOT, VidyutVanika, Bunnie, total
739, 5, 7231, 0, 38889, 11378, 57503
745, 6, 7633, 0, 40457, 9407, 57503
751, 2, 7703, 0, 40471, 9327, 57503
757, 3, 7633, 0, 39600, 10267, 57503
763, 4, 7552, 0, 39120, 10827, 57503
769, 3, 7498, 0, 38787, 11215, 57503
775, 6, 7471, 0, 37997, 12029, 57503
781, 2, 7442, 0, 32851, 17208, 57503
787, 2, 7064, 0, 26289, 24148, 57503
793, 4, 6396, 0, 20196, 30907, 57503
799, 5, 5115, 0, 16536, 35847, 57503
805, 3, 4450, 0, 11935, 41115, 57503
811, 4, 3576, 0, 9479, 44444, 57503
817, 4, 2853, 0, 7684, 46962, 57503
823, 4, 2132, 0, 7459, 47908, 57503
829, 4, 1635, 0, 7488, 48376, 57503
835, 2, 1418, 0, 7490, 48593, 57503
841, 2, 795, 0, 7497, 49209, 57503
847, 4, 673, 0, 7485, 49341, 57503
853, 3, 482, 0, 7480, 49538, 57503
859, 7, 302, 0, 7449, 49745, 57503
865, 6, 221, 0, 19111, 38165, 57503
871, 1, 217, 0, 23755, 33530, 57503
877, 3, 1273, 0, 19580, 36647, 57503
883, 1, 1321, 0, 48582, 7599, 57503
889, 1810, 2510, 0, 43452, 9731, 57503
895, 1913, 4397, 0, 34001, 17192, 57503
901, 2307, 4619, 0, 34705, 15872, 57503
907, 2526, 5079, 0, 36163, 13735, 57503
913, 2626, 5293, 0, 42850, 6734, 57503
919, 2976, 5418, 0, 43352, 5757, 57503
925, 3143, 5424, 0, 44252, 4684, 57503
931, 3342, 5337, 0, 44306, 4518, 57503
937, 3489, 5365, 0, 43762, 4887, 57503
943, 3433, 5380, 0, 34097, 14593, 57503
949, 3318, 5107, 0, 32870, 16208, 57503
955, 3335, 4959, 0, 37603, 11606, 57503
961, 3459, 3979, 0, 37358, 12707, 57503
967, 3498, 3481, 0, 33026, 17498, 57503
973, 3429, 3007, 0, 31563, 19504, 57503
979, 3480, 2336, 0, 30811, 20876, 57503
985, 3510, 1700, 0, 29206, 23087, 57503
991, 3328, 1254, 0, 24671, 28250, 57503
997, 3546, 1038, 0, 25217, 27702, 57503
1003, 3605, 685, 0, 27760, 25453, 57503
1009, 3638, 601, 0, 26453, 26811, 57503
1015, 3760, 517, 0, 20826, 32400, 57503
1021, 3643, 521, 0, 19951, 33388, 57503
1027, 3466, 459, 0, 21635, 31943, 57503
1033, 3325, 386, 0, 21851, 31941, 57503
1039, 3310, 372, 0, 19947, 33874, 57503
1045, 3476, 513, 0, 15185, 38329, 57503
1051, 3330, 937, 0, 31624, 21612, 57503
1057, 3225, 1452, 0, 31320, 21506, 57503
1063, 3251, 4261, 0, 27938, 22053, 57503
1069, 3396, 5049, 0, 37180, 11878, 57503
1075, 3521, 5564, 0, 40133, 8285, 57503
1081, 3620, 5604, 0, 39728, 8551, 57503
1087, 3669, 5778, 0, 38071, 9985, 57503
1093, 3709, 5762, 0, 37206, 10826, 57503
1099, 3592, 5734, 0, 37178, 10999, 57503
1105, 3772, 5663, 0, 37622, 10446, 57503
1111, 3341, 5660, 0, 30390, 18112, 57503
1117, 3172, 5589, 0, 31869, 16873, 57503
1123, 3226, 5357, 0, 32577, 16343, 57503
1129, 3187, 4857, 0, 34674, 14785, 57503
1135, 3270, 3946, 0, 32324, 17963, 57503
1141, 3348, 3152, 0, 32442, 18561, 57503
1147, 3355, 2292, 0, 33035, 18821, 57503
1153, 3363, 1437, 0, 39128, 13575, 57503
1159, 3454, 1049, 0, 30977, 22023, 57503
1165, 3425, 890, 0, 32761, 20427, 57503
1171, 3618, 889, 0, 35475, 17521, 57503
1177, 3581, 543, 0, 32279, 21100, 57503
1183, 3712, 549, 0, 23763, 29479, 57503
1189, 3505, 504, 0, 22100, 31394, 57503
1195, 3663, 477, 0, 20630, 32733, 57503
1201, 3711, 342, 0, 34424, 19026, 57503
1207, 3472, 463, 0, 7548, 46020, 57503
1213, 3525, 951, 0, 9037, 43990, 57503
1219, 3520, 1580, 0, 20204, 32199, 57503
1225, 3722, 1877, 0, 24460, 27444, 57503
1231, 3749, 2215, 0, 24139, 27400, 57503
1237, 3759, 2859, 0, 26003, 24882, 57503
1243, 3702, 2881, 0, 27270, 23650, 57503
1249, 3569, 3094, 0, 33510, 17330, 57503
1255, 3458, 3061, 0, 31828, 19156, 57503
1261, 3324, 3088, 0, 33247, 17844, 57503
1267, 3210, 3055, 0, 31616, 19622, 57503
1273, 3110, 3075, 0, 34144, 17174, 57503
1279, 3183, 3033, 0, 20581, 30706, 57503
1285, 3114, 2811, 0, 23503, 28075, 57503
1291, 3136, 2593, 0, 24155, 27619, 57503
1297, 3213, 2368, 0, 35969, 15953, 57503
1303, 3460, 2123, 0, 32322, 19598, 57503
1309, 3427, 1897, 0, 37197, 14982, 57503
1315, 3435, 1430, 0, 37353, 15285, 57503
1321, 3445, 748, 0, 37690, 15620, 57503
1327, 3173, 534, 0, 32193, 21603, 57503
1333, 3371, 431, 0, 33880, 19821, 57503
1339, 3433, 331, 0, 34893, 18846, 57503
1345, 3377, 268, 0, 33034, 20824, 57503
1351, 3242, 304, 0, 24744, 29213, 57503
1357, 3273, 346, 0, 25405, 28479, 57503
1363, 3181, 363, 0, 24601, 29358, 57503
1369, 3181, 255, 0, 33727, 20340, 57503
1375, 3153, 321, 0, 9371, 44658, 57503
1381, 3248, 754, 0, 10886, 42615, 57503
1387, 3484, 1144, 0, 12639, 40236, 57503
1393, 3473, 1852, 0, 21648, 30530, 57503
1399, 3488, 2389, 0, 21461, 30165, 57503
1405, 3589, 3074, 0, 23278, 27562, 57503
1411, 3657, 3609, 0, 26605, 23632, 57503
1417, 3598, 4305, 0, 35823, 13777, 57503
1423, 3373, 4833, 0, 37000, 12297, 57503
1429, 3413, 4794, 0, 40774, 8522, 57503
1435, 3568, 4798, 0, 39406, 9731, 57503
1441, 3520, 4744, 0, 39668, 9571, 57503
1447, 3497, 4788, 0, 17514, 31704, 57503
1453, 3452, 4644, 0, 20548, 28859, 57503
1459, 3465, 4485, 0, 28892, 20661, 57503
1465, 3489, 4151, 0, 29045, 20818, 57503
1471, 3423, 3570, 0, 24533, 25977, 57503
1477, 3517, 3261, 0, 23168, 27557, 57503
1483, 3512, 2700, 0, 24839, 26452, 57503
1489, 3446, 2095, 0, 35929, 16033, 57503
1495, 3428, 1209, 0, 32911, 19955, 57503
1501, 3357, 910, 0, 37001, 16235, 57503
1507, 3383, 764, 0, 39479, 13877, 57503
1513, 3384, 723, 0, 35972, 17424, 57503
1519, 3417, 531, 0, 25923, 27632, 57503
1525, 3628, 357, 0, 23760, 29758, 57503
1531, 3546, 355, 0, 24458, 29144, 57503
1537, 3579, 311, 0, 37195, 16418, 57503
1543, 3533, 333, 0, 8477, 45160, 57503
1549, 3552, 637, 0, 10076, 43238, 57503
1555, 3588, 877, 0, 16054, 36984, 57503
1561, 3577, 1408, 0, 23574, 28944, 57503
1567, 3411, 1978, 0, 25716, 26398, 57503
1573, 3343, 2628, 0, 26084, 25448, 57503
1579, 3064, 3120, 0, 27423, 23896, 57503
1585, 3088, 4171, 0, 36842, 13402, 57503
1591, 3300, 4232, 0, 35986, 13985, 57503
1597, 3293, 4359, 0, 38685, 11166, 57503
1603, 3414, 4408, 0, 40543, 9138, 57503
1609, 3440, 4354, 0, 39432, 10277, 57503
1615, 3398, 4421, 0, 18997, 30687, 57503
1621, 3350, 4378, 0, 24008, 25767, 57503
1627, 3354, 4396, 0, 35168, 14585, 57503
1633, 3444, 3923, 0, 36719, 13417, 57503
1639, 3296, 3520, 0, 31197, 19490, 57503
1645, 3459, 2939, 0, 29921, 21184, 57503
1651, 3328, 2409, 0, 29046, 22720, 57503
1657, 3155, 1495, 0, 31600, 21253, 57503
1663, 3287, 1135, 0, 29770, 23311, 57503
1669, 3406, 813, 0, 30266, 23018, 57503
1675, 3481, 638, 0, 35516, 17868, 57503
1681, 3608, 556, 0, 33489, 19850, 57503
