ts, default broker, SPOT, VidyutVanika, AgentUDE, Bunnie, total
1585, 9, 2, 8103, 69, 49330, 57513
1591, 8, 2, 8793, 72, 48638, 57513
1597, 8, 3, 11112, 61, 46329, 57513
1603, 7, 4, 14250, 80, 43172, 57513
1609, 6, 4, 18331, 158, 39014, 57513
1615, 7, 4, 21101, 255, 36146, 57513
1621, 7, 4, 24663, 124, 32715, 57513
1627, 6, 5, 26174, 104, 31224, 57513
1633, 4, 7, 27283, 107, 30112, 57513
1639, 4, 8, 27394, 109, 29998, 57513
1645, 4, 6, 27179, 198, 30126, 57513
1651, 4, 6, 26877, 356, 30270, 57513
1657, 5, 6, 26743, 456, 30303, 57513
1663, 7, 5, 26392, 86, 31023, 57513
1669, 8, 5, 25828, 245, 31427, 57513
1675, 9, 5, 23658, 360, 33481, 57513
1681, 9, 5, 22073, 362, 35064, 57513
1687, 8, 4, 20842, 384, 36275, 57513
1693, 7, 4, 17424, 482, 39596, 57513
