ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
1627, 2905, 4650, 96, 0, 49860, 57511
1633, 3163, 4203, 98, 0, 50047, 57511
1639, 3102, 3385, 102, 0, 50922, 57511
1645, 3302, 2508, 99, 0, 51602, 57511
1651, 3327, 1500, 99, 0, 52585, 57511
1657, 3555, 1146, 101, 0, 52709, 57511
1663, 3464, 1000, 99, 0, 52948, 57511
1669, 3509, 975, 98, 0, 52929, 57511
1675, 3570, 944, 99, 0, 52898, 57511
1681, 3579, 939, 94, 0, 52899, 57511
1687, 3440, 771, 94, 0, 53206, 57511
1693, 3306, 825, 94, 0, 53286, 57511
1699, 3181, 823, 94, 0, 53413, 57511
1705, 3481, 2858, 95, 0, 51077, 57511
1711, 3405, 3453, 95, 0, 50558, 57511
1717, 3419, 4183, 95, 0, 49814, 57511
1723, 3541, 4851, 97, 0, 49022, 57511
1729, 3680, 5178, 96, 0, 48557, 57511
1735, 3604, 6325, 96, 0, 47486, 57511
1741, 3618, 6393, 95, 0, 47405, 57511
1747, 3588, 6570, 95, 0, 47258, 57511
1753, 3699, 6625, 95, 0, 47092, 57511
1759, 3743, 6640, 97, 0, 47031, 57511
1765, 3594, 6742, 97, 0, 47078, 57511
1771, 3489, 6624, 100, 0, 47298, 57511
1777, 3310, 5911, 99, 0, 48191, 57511
1783, 3341, 5131, 98, 0, 48941, 57511
1789, 3415, 4288, 98, 0, 49710, 57511
1795, 3357, 3677, 98, 0, 50379, 57511
