ts, default broker, CrocodileAgent, COLDPower18, total
1261, 6763, 50746, 0, 57509
1267, 6667, 50842, 0, 57509
1273, 6798, 50711, 0, 57509
1279, 6831, 50678, 0, 57509
1285, 6818, 50691, 0, 57509
1291, 6850, 50659, 0, 57509
1297, 6940, 50569, 0, 57509
1303, 6922, 50587, 0, 57509
1309, 6967, 50542, 0, 57509
1315, 6940, 50569, 0, 57509
1321, 6948, 50561, 0, 57509
1327, 6945, 50564, 0, 57509
1333, 6966, 50543, 0, 57509
1339, 6975, 50534, 0, 57509
1345, 6915, 50594, 0, 57509
1351, 6909, 50600, 0, 57509
1357, 7008, 50501, 0, 57509
1363, 7008, 50501, 0, 57509
1369, 7022, 50487, 0, 57509
1375, 6947, 50562, 0, 57509
1381, 6932, 50577, 0, 57509
1387, 6947, 50562, 0, 57509
1393, 6983, 50526, 0, 57509
1399, 6925, 50584, 0, 57509
1405, 6886, 50623, 0, 57509
1411, 6892, 50617, 0, 57509
1417, 6875, 50634, 0, 57509
1423, 6931, 50578, 0, 57509
1429, 6944, 50565, 0, 57509
1435, 6992, 50517, 0, 57509
1441, 7041, 50468, 0, 57509
1447, 7014, 50495, 0, 57509
1453, 6969, 50540, 0, 57509
1459, 6924, 50585, 0, 57509
1465, 6894, 50615, 0, 57509
1471, 6860, 50649, 0, 57509
1477, 6717, 50792, 0, 57509
1483, 6680, 50829, 0, 57509
1489, 6775, 50734, 0, 57509
1495, 6767, 50742, 0, 57509
1501, 6692, 50817, 0, 57509
1507, 6741, 50768, 0, 57509
1513, 6813, 50696, 0, 57509
1519, 6892, 50617, 0, 57509
1525, 6868, 50641, 0, 57509
1531, 6959, 50550, 0, 57509
1537, 6967, 50542, 0, 57509
1543, 6920, 50589, 0, 57509
1549, 6962, 50547, 0, 57509
1555, 6993, 50516, 0, 57509
1561, 7012, 50497, 0, 57509
1567, 6975, 50534, 0, 57509
1573, 6991, 50518, 0, 57509
1579, 6918, 50591, 0, 57509
1585, 6783, 50726, 0, 57509
1591, 6756, 50753, 0, 57509
1597, 6794, 50715, 0, 57509
1603, 6822, 50687, 0, 57509
1609, 6834, 50675, 0, 57509
1615, 6823, 50686, 0, 57509
1621, 6833, 50676, 0, 57509
1627, 6804, 50705, 0, 57509
1633, 6843, 50666, 0, 57509
1639, 6870, 50639, 0, 57509
1645, 6836, 50673, 0, 57509
1651, 6861, 50648, 0, 57509
1657, 6900, 50609, 0, 57509
1663, 6910, 50599, 0, 57509
1669, 6911, 50598, 0, 57509
1675, 6946, 50563, 0, 57509
1681, 6885, 50624, 0, 57509
1687, 6925, 50584, 0, 57509
1693, 6921, 50588, 0, 57509
1699, 6883, 50626, 0, 57509
1705, 6877, 50632, 0, 57509
1711, 6917, 50592, 0, 57509
1717, 6921, 50588, 0, 57509
1723, 6959, 50550, 0, 57509
1729, 6918, 50591, 0, 57509
1735, 6937, 50572, 0, 57509
1741, 6849, 50660, 0, 57509
1747, 6843, 50666, 0, 57509
1753, 6827, 50682, 0, 57509
1759, 6799, 50710, 0, 57509
1765, 6793, 50716, 0, 57509
1771, 6843, 50666, 0, 57509
1777, 6900, 50609, 0, 57509
1783, 6878, 50631, 0, 57509
1789, 6906, 50603, 0, 57509
1795, 6936, 50573, 0, 57509
1801, 6963, 50546, 0, 57509
1807, 6933, 50576, 0, 57509
1813, 6961, 50548, 0, 57509
1819, 6934, 50575, 0, 57509
1825, 6984, 50525, 0, 57509
1831, 6840, 50669, 0, 57509
1837, 6720, 50789, 0, 57509
1843, 6724, 50785, 0, 57509
1849, 6844, 50665, 0, 57509
1855, 6803, 50706, 0, 57509
1861, 6874, 50635, 0, 57509
1867, 6971, 50538, 0, 57509
1873, 6895, 50614, 0, 57509
1879, 6904, 50605, 0, 57509
1885, 6801, 50708, 0, 57509
