ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
1627, 3256, 879, 43, 53294, 41, 57513
1633, 3274, 879, 46, 53226, 88, 57513
1639, 3367, 1057, 47, 52953, 89, 57513
1645, 3406, 1393, 42, 52487, 185, 57513
1651, 3351, 1366, 43, 52571, 182, 57513
1657, 3488, 93, 44, 53708, 180, 57513
1663, 3422, 95, 39, 53952, 5, 57513
1669, 3430, 144, 122, 53813, 4, 57513
1675, 3479, 143, 70, 53817, 4, 57513
1681, 3389, 309, 70, 53741, 4, 57513
1687, 3320, 283, 73, 53833, 4, 57513
1693, 3321, 282, 76, 53830, 4, 57513
1699, 3302, 282, 44, 53881, 4, 57513
1705, 3266, 121, 47, 54075, 4, 57513
1711, 3190, 122, 50, 54147, 4, 57513
1717, 3266, 123, 44, 54046, 34, 57513
1723, 3285, 122, 44, 54029, 33, 57513
1729, 3410, 90, 45, 53934, 34, 57513
1735, 3249, 90, 44, 54095, 35, 57513
1741, 3490, 90, 43, 53854, 36, 57513
1747, 3557, 90, 45, 53818, 3, 57513
