ts, default broker, SPOT, COLDPower18, VidyutVanika, EWIIS3, total
1597, 3273, 383, 0, 53779, 78, 57513
1603, 3126, 334, 0, 53979, 74, 57513
1609, 3301, 393, 0, 53747, 72, 57513
1615, 3376, 282, 0, 53782, 73, 57513
1621, 3464, 372, 0, 53603, 74, 57513
1627, 3224, 460, 0, 53754, 75, 57513
1633, 3208, 450, 0, 53780, 75, 57513
1639, 3164, 1031, 0, 53239, 79, 57513
1645, 3248, 1279, 0, 52906, 80, 57513
1651, 3239, 1688, 0, 52508, 78, 57513
1657, 3219, 1687, 0, 52530, 77, 57513
1663, 3223, 1617, 0, 52597, 76, 57513
1669, 3141, 1673, 0, 52620, 79, 57513
1675, 3111, 1756, 0, 52567, 79, 57513
1681, 3138, 1719, 0, 52576, 80, 57513
1687, 3250, 1534, 0, 52650, 79, 57513
1693, 3384, 1148, 0, 52901, 80, 57513
1699, 3598, 945, 0, 52891, 79, 57513
1705, 3480, 645, 0, 53307, 81, 57513
1711, 3565, 640, 0, 53230, 78, 57513
1717, 3564, 529, 0, 53339, 81, 57513
1723, 3700, 686, 0, 53045, 82, 57513
1729, 3728, 221, 0, 53482, 82, 57513
1735, 3846, 223, 0, 53361, 83, 57513
1741, 3778, 223, 0, 53435, 77, 57513
1747, 3692, 220, 0, 53525, 76, 57513
1753, 3730, 219, 0, 53487, 77, 57513
1759, 3564, 218, 0, 53652, 79, 57513
1765, 3767, 217, 0, 53452, 77, 57513
