ts, default broker, CrocodileAgent, SPOT, AgentUDE, Bunnie, total
931, 6688, 902, 93, 42073, 7759, 57515
937, 6667, 763, 92, 44564, 5429, 57515
943, 6659, 710, 92, 45984, 4070, 57515
949, 6336, 898, 98, 21563, 28620, 57515
955, 6030, 836, 93, 20378, 30178, 57515
961, 6156, 675, 93, 24847, 25744, 57515
967, 6396, 445, 93, 27437, 23144, 57515
973, 6553, 517, 97, 30601, 19747, 57515
979, 6668, 1293, 95, 33778, 15681, 57515
985, 6520, 2767, 92, 36719, 11417, 57515
991, 6355, 6309, 95, 22492, 22264, 57515
997, 6635, 7155, 92, 23864, 19769, 57515
1003, 6662, 7883, 92, 27894, 14984, 57515
1009, 6676, 8943, 93, 30732, 11071, 57515
1015, 6724, 9213, 92, 32697, 8789, 57515
1021, 6588, 9259, 94, 34758, 6816, 57515
1027, 6623, 9252, 105, 36477, 5058, 57515
1033, 6677, 8833, 93, 35424, 6488, 57515
1039, 6620, 8298, 97, 38199, 4301, 57515
1045, 6665, 7856, 94, 40802, 2098, 57515
1051, 6659, 6647, 96, 42610, 1503, 57515
1057, 6530, 5573, 91, 43910, 1411, 57515
1063, 6550, 2941, 96, 46224, 1704, 57515
1069, 6509, 1961, 92, 47589, 1364, 57515
1075, 6360, 1508, 94, 36638, 12915, 57515
1081, 6415, 581, 90, 36703, 13726, 57515
1087, 6514, 316, 94, 42048, 8543, 57515
1093, 5640, 836, 95, 46207, 4737, 57515
1099, 5730, 765, 91, 48310, 2619, 57515
1105, 6020, 582, 97, 49300, 1516, 57515
1111, 6173, 511, 94, 49635, 1102, 57515
1117, 6265, 465, 94, 35563, 15128, 57515
1123, 6542, 281, 95, 34282, 16315, 57515
1129, 6627, 216, 93, 38270, 12309, 57515
1135, 6671, 205, 96, 39996, 10547, 57515
1141, 6735, 274, 90, 43418, 6998, 57515
1147, 6579, 453, 93, 45125, 5265, 57515
1153, 6576, 947, 97, 46328, 3567, 57515
1159, 6620, 3811, 94, 29461, 17529, 57515
1165, 6537, 4355, 92, 29604, 16927, 57515
1171, 6467, 4810, 92, 36333, 9813, 57515
1177, 6617, 5205, 93, 40289, 5311, 57515
1183, 6530, 5407, 93, 41597, 3888, 57515
1189, 6624, 5315, 95, 43287, 2194, 57515
1195, 6755, 5182, 95, 44046, 1437, 57515
1201, 6706, 5206, 95, 18013, 27495, 57515
1207, 6712, 5178, 94, 15886, 29645, 57515
1213, 6790, 5141, 94, 19081, 26409, 57515
1219, 6748, 4947, 95, 21734, 23991, 57515
1225, 6738, 4503, 95, 25339, 20840, 57515
1231, 6716, 3715, 98, 26913, 20073, 57515
1237, 6768, 2824, 159, 29479, 18285, 57515
1243, 6801, 717, 161, 20267, 29569, 57515
1249, 6645, 334, 160, 23873, 26503, 57515
1255, 6641, 234, 158, 28052, 22430, 57515
1261, 6474, 225, 156, 32620, 18040, 57515
1267, 6533, 270, 155, 35529, 15028, 57515
1273, 6479, 301, 157, 38158, 12420, 57515
1279, 6494, 269, 94, 39293, 11365, 57515
1285, 6692, 169, 93, 28971, 21590, 57515
1291, 6622, 256, 92, 30873, 19672, 57515
1297, 6568, 283, 93, 37412, 13159, 57515
1303, 6619, 309, 92, 40295, 10200, 57515
1309, 6402, 531, 93, 43803, 6686, 57515
1315, 6554, 733, 94, 45775, 4359, 57515
1321, 6495, 1255, 93, 47245, 2427, 57515
1327, 6570, 5234, 93, 24474, 21144, 57515
1333, 6417, 6283, 96, 23345, 21374, 57515
1339, 6463, 7778, 92, 28786, 14396, 57515
1345, 6563, 9166, 91, 32731, 8964, 57515
1351, 6564, 9271, 95, 34509, 7076, 57515
1357, 6607, 9315, 97, 36658, 4838, 57515
1363, 6611, 9242, 94, 37840, 3728, 57515
1369, 6631, 9175, 93, 27710, 13906, 57515
1375, 6618, 9093, 91, 26901, 14812, 57515
1381, 6533, 8935, 95, 31981, 9971, 57515
1387, 6483, 8439, 93, 34459, 8041, 57515
1393, 6636, 8042, 94, 37135, 5608, 57515
1399, 6625, 6557, 92, 38565, 5676, 57515
1405, 6515, 5651, 92, 40509, 4748, 57515
1411, 6508, 5047, 124, 22928, 22908, 57515
1417, 6506, 4127, 124, 22618, 24140, 57515
1423, 6649, 2734, 122, 28739, 19271, 57515
1429, 6744, 2207, 126, 33057, 15381, 57515
1435, 6768, 1543, 124, 36696, 12384, 57515
1441, 6630, 1339, 121, 40284, 9141, 57515
1447, 6440, 1112, 125, 41791, 8047, 57515
1453, 6400, 420, 96, 33439, 17160, 57515
1459, 6350, 402, 95, 36339, 14329, 57515
1465, 6490, 304, 57, 41809, 8855, 57515
1471, 6555, 282, 38, 44826, 5814, 57515
1477, 6315, 605, 70, 47205, 3320, 57515
1483, 6391, 596, 84, 48376, 2068, 57515
1489, 6425, 740, 92, 49117, 1141, 57515
1495, 6480, 6162, 93, 19554, 25226, 57515
1501, 6735, 7026, 90, 18147, 25517, 57515
1507, 6723, 9386, 93, 24806, 16507, 57515
1513, 6708, 10605, 97, 27616, 12489, 57515
1519, 6763, 10998, 92, 30642, 9020, 57515
1525, 6798, 11025, 91, 32860, 6741, 57515
1531, 6681, 10976, 90, 34422, 5346, 57515
1537, 6744, 10823, 93, 24837, 15018, 57515
1543, 6669, 10466, 92, 25812, 14476, 57515
1549, 6595, 9948, 92, 31207, 9673, 57515
1555, 6622, 8902, 130, 34970, 6891, 57515
1561, 6666, 8440, 154, 37660, 4595, 57515
1567, 6676, 6346, 157, 39766, 4570, 57515
1573, 6758, 5579, 155, 41304, 3719, 57515
1579, 6779, 4226, 155, 17474, 28881, 57515
1585, 6760, 3377, 157, 16598, 30623, 57515
1591, 6676, 2777, 157, 20429, 27476, 57515
1597, 6636, 2541, 94, 25436, 22808, 57515
1603, 6690, 1983, 95, 28930, 19817, 57515
1609, 6680, 1224, 93, 33313, 16205, 57515
1615, 6604, 976, 91, 35615, 14229, 57515
1621, 6313, 795, 90, 28611, 21706, 57515
1627, 6434, 633, 92, 33195, 17161, 57515
1633, 6466, 472, 63, 37384, 13130, 57515
1639, 6474, 504, 38, 40506, 9993, 57515
1645, 6636, 599, 32, 43051, 7197, 57515
1651, 6634, 740, 39, 45754, 4348, 57515
1657, 6578, 989, 26, 46790, 3132, 57515
1663, 6588, 4646, 40, 33396, 12845, 57515
1669, 6541, 5398, 51, 33597, 11928, 57515
1675, 6660, 5708, 63, 39662, 5422, 57515
1681, 6649, 5945, 54, 42270, 2597, 57515
1687, 6560, 5965, 38, 43327, 1625, 57515
1693, 6593, 5909, 40, 44115, 858, 57515
1699, 6656, 5681, 36, 44448, 694, 57515
1705, 6573, 5712, 30, 23850, 21350, 57515
1711, 6470, 5658, 26, 21570, 23791, 57515
1717, 6433, 5542, 95, 26107, 19338, 57515
1723, 6502, 5161, 97, 29373, 16382, 57515
1729, 6546, 4883, 116, 32287, 13683, 57515
1735, 6621, 4124, 124, 33298, 13348, 57515
1741, 6652, 3375, 130, 36398, 10960, 57515
1747, 6678, 2822, 179, 25652, 22184, 57515
1753, 6666, 1672, 205, 28154, 20818, 57515
1759, 6644, 1302, 146, 31730, 17693, 57515
1765, 6675, 1156, 110, 36371, 13203, 57515
1771, 6745, 819, 110, 39917, 9924, 57515
1777, 6701, 613, 128, 42625, 7448, 57515
1783, 6713, 578, 165, 44639, 5420, 57515
1789, 6768, 429, 125, 22611, 27582, 57515
1795, 6717, 383, 90, 21475, 28850, 57515
1801, 6733, 330, 93, 26364, 23995, 57515
1807, 6712, 232, 137, 29475, 20959, 57515
1813, 6675, 738, 133, 32811, 17158, 57515
1819, 6790, 1455, 133, 35892, 13245, 57515
1825, 6526, 2935, 95, 38019, 9940, 57515
1831, 6626, 8183, 94, 13404, 29208, 57515
1837, 6494, 9443, 122, 13265, 28191, 57515
1843, 6552, 11714, 123, 16662, 22464, 57515
1849, 6647, 12319, 122, 19618, 18809, 57515
1855, 6635, 12662, 136, 21309, 16773, 57515
1861, 6642, 12660, 124, 23566, 14523, 57515
1867, 6556, 12640, 122, 26008, 12189, 57515
1873, 6563, 12230, 122, 11773, 26827, 57515
1879, 6573, 11353, 122, 11649, 27818, 57515
1885, 6676, 10094, 121, 17787, 22837, 57515
1891, 6591, 6569, 124, 21725, 22506, 57515
1897, 6644, 4988, 134, 26334, 19415, 57515
1903, 6637, 3038, 94, 29230, 18516, 57515
1909, 6393, 2655, 92, 32774, 15601, 57515
1915, 6272, 2258, 95, 20986, 27904, 57515
