ts, default broker, EWIIS3, VidyutVanika, total
1153, 3589, 65, 53847, 57501
1159, 3589, 64, 53848, 57501
1165, 3656, 63, 53782, 57501
1171, 3631, 62, 53808, 57501
1177, 3506, 65, 53930, 57501
1183, 3588, 70, 53843, 57501
1189, 3618, 75, 53808, 57501
1195, 3561, 69, 53871, 57501
1201, 3573, 67, 53861, 57501
1207, 3611, 71, 53819, 57501
1213, 3589, 70, 53842, 57501
1219, 3623, 73, 53805, 57501
1225, 3464, 70, 53967, 57501
1231, 3581, 70, 53850, 57501
1237, 3474, 69, 53958, 57501
1243, 3612, 67, 53822, 57501
1249, 3615, 68, 53818, 57501
1255, 3646, 68, 53787, 57501
1261, 3659, 65, 53777, 57501
1267, 3688, 71, 53742, 57501
1273, 3498, 72, 53931, 57501
1279, 3426, 70, 54005, 57501
1285, 3508, 69, 53924, 57501
1291, 3405, 70, 54026, 57501
1297, 3358, 73, 54070, 57501
1303, 3460, 70, 53971, 57501
1309, 3447, 67, 53987, 57501
1315, 3480, 66, 53955, 57501
1321, 3355, 67, 54079, 57501
1327, 3403, 67, 54031, 57501
1333, 3255, 66, 54180, 57501
1339, 3154, 65, 54282, 57501
1345, 3281, 66, 54154, 57501
1351, 3264, 65, 54172, 57501
1357, 3399, 68, 54034, 57501
1363, 3496, 71, 53934, 57501
1369, 3511, 73, 53917, 57501
1375, 3677, 73, 53751, 57501
1381, 3498, 68, 53935, 57501
1387, 3421, 66, 54014, 57501
1393, 3379, 66, 54056, 57501
1399, 3206, 63, 54232, 57501
1405, 3443, 65, 53993, 57501
1411, 3561, 65, 53875, 57501
1417, 3355, 68, 54078, 57501
1423, 3627, 67, 53807, 57501
1429, 3637, 67, 53797, 57501
1435, 3612, 67, 53822, 57501
1441, 3566, 72, 53863, 57501
1447, 3584, 67, 53850, 57501
1453, 3682, 66, 53753, 57501
1459, 3614, 65, 53822, 57501
1465, 3738, 70, 53693, 57501
1471, 3742, 67, 53692, 57501
1477, 3551, 68, 53882, 57501
1483, 3550, 65, 53886, 57501
1489, 2592, 68, 54841, 57501
1495, 2250, 68, 55183, 57501
1501, 1424, 79, 55998, 57501
1507, 1004, 69, 56428, 57501
1513, 2736, 67, 54698, 57501
1519, 2766, 68, 54667, 57501
1525, 2957, 72, 54472, 57501
1531, 3083, 68, 54350, 57501
1537, 3238, 68, 54195, 57501
1543, 3235, 72, 54194, 57501
1549, 3282, 71, 54148, 57501
1555, 3422, 69, 54010, 57501
1561, 3580, 65, 53856, 57501
1567, 3531, 54, 53916, 57501
1573, 3487, 49, 53965, 57501
1579, 3427, 50, 54024, 57501
1585, 3423, 50, 54028, 57501
1591, 3457, 52, 53992, 57501
1597, 3719, 54, 53728, 57501
1603, 3675, 57, 53769, 57501
1609, 3711, 58, 53732, 57501
1615, 3686, 69, 53746, 57501
1621, 3655, 58, 53788, 57501
1627, 3735, 58, 53708, 57501
1633, 3532, 62, 53907, 57501
1639, 3615, 59, 53827, 57501
1645, 3545, 57, 53899, 57501
1651, 3635, 57, 53809, 57501
1657, 3844, 58, 53599, 57501
1663, 3845, 60, 53596, 57501
1669, 3819, 60, 53622, 57501
1675, 3682, 58, 53761, 57501
1681, 3662, 53, 53786, 57501
1687, 3749, 55, 53697, 57501
1693, 3710, 209, 53582, 57501
1699, 3798, 118, 53585, 57501
1705, 3668, 111, 53722, 57501
1711, 3755, 112, 53634, 57501
1717, 3674, 114, 53713, 57501
1723, 3618, 85, 53798, 57501
1729, 3639, 53, 53809, 57501
1735, 3541, 54, 53906, 57501
1741, 3484, 52, 53965, 57501
