ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
1447, 3367, 1210, 188, 0, 52744, 57509
1453, 3522, 1026, 159, 0, 52802, 57509
1459, 3480, 962, 405, 0, 52662, 57509
1465, 3407, 884, 404, 0, 52814, 57509
1471, 3630, 1058, 403, 0, 52418, 57509
1477, 3399, 1295, 343, 0, 52472, 57509
1483, 3541, 1394, 355, 0, 52219, 57509
1489, 3681, 2019, 369, 0, 51440, 57509
1495, 3657, 3124, 328, 0, 50400, 57509
1501, 3603, 4105, 268, 0, 49533, 57509
1507, 3358, 6005, 166, 0, 47980, 57509
1513, 3451, 6749, 136, 0, 47173, 57509
1519, 3362, 7732, 100, 0, 46315, 57509
1525, 3243, 8195, 98, 0, 45973, 57509
1531, 3194, 8214, 214, 0, 45887, 57509
1537, 3267, 8270, 216, 0, 45756, 57509
1543, 3349, 8223, 215, 0, 45722, 57509
1549, 3391, 8264, 220, 0, 45634, 57509
1555, 3369, 8180, 336, 0, 45624, 57509
1561, 3236, 7511, 360, 0, 46402, 57509
1567, 3323, 6952, 360, 0, 46874, 57509
1573, 3313, 6340, 333, 0, 47523, 57509
1579, 3401, 5193, 332, 0, 48583, 57509
1585, 3240, 4053, 334, 0, 49882, 57509
1591, 3403, 2904, 334, 0, 50868, 57509
1597, 3394, 2207, 273, 0, 51635, 57509
1603, 3401, 1843, 274, 0, 51991, 57509
1609, 3369, 1258, 241, 0, 52641, 57509
1615, 3356, 1078, 301, 0, 52774, 57509
1621, 3349, 843, 274, 0, 53043, 57509
1627, 3417, 720, 245, 0, 53127, 57509
1633, 3259, 955, 309, 0, 52986, 57509
1639, 3408, 996, 282, 0, 52823, 57509
1645, 3571, 1252, 251, 0, 52435, 57509
1651, 3375, 1867, 209, 0, 52058, 57509
1657, 3266, 2873, 177, 0, 51193, 57509
1663, 3381, 3789, 165, 0, 50174, 57509
1669, 3235, 5074, 165, 0, 49035, 57509
1675, 3418, 5379, 135, 0, 48577, 57509
1681, 3495, 6499, 113, 0, 47402, 57509
1687, 3622, 7177, 116, 0, 46594, 57509
1693, 3584, 7892, 96, 0, 45937, 57509
1699, 3588, 7942, 98, 0, 45881, 57509
1705, 3562, 7669, 98, 0, 46180, 57509
1711, 3711, 7918, 222, 0, 45658, 57509
1717, 3556, 7782, 252, 0, 45919, 57509
1723, 3369, 7583, 373, 0, 46184, 57509
1729, 3498, 7127, 369, 0, 46515, 57509
1735, 3382, 6666, 369, 0, 47092, 57509
1741, 3519, 5561, 367, 0, 48062, 57509
