ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
1165, 3413, 538, 38, 53501, 35, 57525
1171, 3429, 498, 40, 53553, 5, 57525
1177, 3561, 561, 41, 53321, 41, 57525
1183, 3671, 607, 44, 53135, 68, 57525
1189, 3215, 807, 39, 53391, 73, 57525
1195, 3154, 1020, 37, 53245, 69, 57525
1201, 3224, 1455, 40, 52642, 164, 57525
1207, 3414, 2036, 40, 51866, 169, 57525
1213, 3347, 2034, 34, 51978, 132, 57525
1219, 3482, 2767, 33, 51166, 77, 57525
1225, 3403, 4563, 35, 49447, 77, 57525
1231, 3482, 6841, 35, 47090, 77, 57525
1237, 3330, 8439, 34, 45685, 37, 57525
1243, 3454, 10389, 34, 43642, 6, 57525
1249, 3600, 10900, 30, 42989, 6, 57525
1255, 3537, 11477, 35, 42472, 4, 57525
1261, 3320, 11463, 31, 42678, 33, 57525
1267, 3271, 11687, 34, 42417, 116, 57525
1273, 3275, 10717, 37, 42971, 525, 57525
1279, 3317, 10629, 38, 42301, 1240, 57525
1285, 3368, 10290, 50, 41141, 2676, 57525
1291, 3400, 9933, 42, 41420, 2730, 57525
1297, 3376, 7554, 37, 43769, 2789, 57525
1303, 3228, 5411, 46, 45991, 2849, 57525
1309, 3277, 3876, 40, 47291, 3041, 57525
1315, 3218, 1841, 41, 49308, 3117, 57525
1321, 3127, 1661, 36, 49436, 3265, 57525
1327, 3170, 1608, 38, 52061, 648, 57525
1333, 3326, 1504, 39, 51188, 1468, 57525
1339, 3532, 1257, 40, 50879, 1817, 57525
1345, 3566, 914, 42, 50821, 2182, 57525
1351, 3595, 862, 35, 50651, 2382, 57525
1357, 3620, 764, 40, 49613, 3488, 57525
1363, 3733, 816, 38, 48843, 4095, 57525
1369, 3692, 2030, 38, 51233, 532, 57525
1375, 3596, 2322, 41, 51441, 125, 57525
1381, 3597, 3757, 38, 50048, 85, 57525
1387, 3574, 5370, 37, 48461, 83, 57525
1393, 3511, 8401, 36, 45402, 175, 57525
1399, 3633, 10998, 39, 42681, 174, 57525
1405, 3519, 12283, 38, 41542, 143, 57525
1411, 3504, 14552, 35, 39431, 3, 57525
1417, 3510, 17135, 35, 36837, 8, 57525
1423, 3455, 19540, 37, 34490, 3, 57525
1429, 3422, 20254, 35, 33739, 75, 57525
1435, 3613, 20614, 41, 33122, 135, 57525
1441, 3530, 20806, 43, 31942, 1204, 57525
1447, 3518, 20653, 46, 30993, 2315, 57525
1453, 3749, 18004, 108, 31341, 4323, 57525
1459, 3668, 15720, 45, 33708, 4384, 57525
1465, 3569, 12791, 43, 36307, 4815, 57525
1471, 3634, 10115, 44, 38733, 4999, 57525
1477, 3470, 8853, 43, 39489, 5670, 57525
1483, 3422, 6800, 41, 41260, 6002, 57525
1489, 3294, 4176, 42, 43728, 6285, 57525
1495, 3432, 1879, 45, 51431, 738, 57525
1501, 3373, 1022, 40, 52510, 580, 57525
1507, 3309, 627, 41, 52806, 742, 57525
1513, 3235, 461, 40, 52766, 1023, 57525
1519, 3389, 323, 44, 52634, 1135, 57525
1525, 3310, 319, 45, 52503, 1348, 57525
1531, 3342, 356, 39, 52441, 1347, 57525
1537, 3460, 1126, 44, 52794, 101, 57525
1543, 3529, 1362, 48, 52485, 101, 57525
1549, 3410, 1492, 44, 52421, 158, 57525
1555, 3428, 2200, 39, 51693, 165, 57525
1561, 3437, 4555, 39, 49338, 156, 57525
1567, 3390, 7000, 39, 46943, 153, 57525
1573, 3468, 10084, 37, 43781, 155, 57525
1579, 3317, 13245, 38, 40920, 5, 57525
1585, 3396, 16191, 37, 37896, 5, 57525
1591, 3399, 18559, 43, 35519, 5, 57525
1597, 3193, 19589, 41, 34698, 4, 57525
1603, 3109, 19827, 40, 34476, 73, 57525
1609, 3128, 20056, 41, 34159, 141, 57525
1615, 3319, 19918, 42, 34018, 228, 57525
1621, 3316, 18966, 55, 32927, 2261, 57525
1627, 3375, 18177, 38, 33513, 2422, 57525
1633, 3345, 15759, 36, 35740, 2645, 57525
1639, 3334, 13501, 35, 38281, 2374, 57525
1645, 3320, 10282, 42, 41367, 2514, 57525
1651, 3376, 7032, 37, 44720, 2360, 57525
1657, 3507, 4175, 37, 47283, 2523, 57525
1663, 3557, 1770, 38, 51944, 216, 57525
1669, 3602, 910, 39, 52924, 50, 57525
1675, 3725, 583, 40, 53128, 49, 57525
1681, 3521, 262, 39, 53623, 80, 57525
1687, 3419, 274, 38, 53714, 80, 57525
1693, 3335, 402, 36, 53672, 80, 57525
1699, 3445, 420, 32, 53548, 80, 57525
1705, 3558, 757, 37, 53068, 105, 57525
1711, 3620, 1016, 38, 52742, 109, 57525
1717, 3565, 1138, 42, 52670, 110, 57525
1723, 3406, 1742, 42, 52226, 109, 57525
1729, 3417, 2026, 43, 51960, 79, 57525
