ts, default broker, EWIIS3, Bunnie, total
1405, 6882, 27, 50591, 57500
1411, 6906, 27, 50567, 57500
1417, 6937, 27, 50536, 57500
1423, 6809, 28, 50663, 57500
1429, 6808, 27, 50665, 57500
1435, 6893, 27, 50580, 57500
1441, 6871, 26, 50603, 57500
1447, 6902, 25, 50573, 57500
1453, 6498, 24, 50978, 57500
1459, 6555, 24, 50921, 57500
1465, 6733, 24, 50743, 57500
1471, 6741, 24, 50735, 57500
1477, 6664, 24, 50812, 57500
1483, 6748, 24, 50728, 57500
1489, 6808, 23, 50669, 57500
1495, 6872, 24, 50604, 57500
1501, 6908, 23, 50569, 57500
1507, 6954, 25, 50521, 57500
1513, 6979, 26, 50495, 57500
1519, 6988, 28, 50484, 57500
1525, 6666, 27, 50807, 57500
1531, 6669, 25, 50806, 57500
1537, 6765, 27, 50708, 57500
1543, 6865, 27, 50608, 57500
1549, 6908, 27, 50565, 57500
1555, 6892, 28, 50580, 57500
1561, 6929, 28, 50543, 57500
1567, 6941, 26, 50533, 57500
1573, 6924, 25, 50551, 57500
1579, 6890, 22, 50588, 57500
1585, 6867, 22, 50611, 57500
1591, 6901, 22, 50577, 57500
1597, 6822, 23, 50655, 57500
1603, 6655, 24, 50821, 57500
1609, 6778, 23, 50699, 57500
1615, 6863, 22, 50615, 57500
1621, 6838, 22, 50640, 57500
1627, 6793, 24, 50683, 57500
1633, 6691, 24, 50785, 57500
1639, 6689, 25, 50786, 57500
1645, 6769, 25, 50706, 57500
1651, 6884, 25, 50591, 57500
1657, 6906, 25, 50569, 57500
1663, 6942, 26, 50532, 57500
1669, 6960, 26, 50514, 57500
1675, 7003, 25, 50472, 57500
1681, 7032, 25, 50443, 57500
1687, 7048, 26, 50426, 57500
1693, 7048, 26, 50426, 57500
1699, 6948, 25, 50527, 57500
1705, 6939, 24, 50537, 57500
1711, 6958, 24, 50518, 57500
1717, 6915, 23, 50562, 57500
1723, 6898, 23, 50579, 57500
1729, 6819, 23, 50658, 57500
1735, 6841, 25, 50634, 57500
1741, 6863, 26, 50611, 57500
1747, 6786, 25, 50689, 57500
1753, 6790, 27, 50683, 57500
1759, 6795, 26, 50679, 57500
1765, 6791, 26, 50683, 57500
1771, 6801, 27, 50672, 57500
1777, 6834, 27, 50639, 57500
1783, 6840, 27, 50633, 57500
1789, 6844, 27, 50629, 57500
1795, 6885, 27, 50588, 57500
1801, 6939, 26, 50535, 57500
1807, 6951, 25, 50524, 57500
1813, 6885, 24, 50591, 57500
1819, 6953, 23, 50524, 57500
1825, 6929, 23, 50548, 57500
1831, 6960, 23, 50517, 57500
1837, 6958, 23, 50519, 57500
1843, 6941, 22, 50537, 57500
1849, 6936, 24, 50540, 57500
1855, 6944, 24, 50532, 57500
1861, 6836, 23, 50641, 57500
1867, 6796, 22, 50682, 57500
1873, 6816, 22, 50662, 57500
1879, 6790, 23, 50687, 57500
1885, 6656, 23, 50821, 57500
1891, 6816, 23, 50661, 57500
1897, 6896, 23, 50581, 57500
1903, 6932, 24, 50544, 57500
1909, 6964, 26, 50510, 57500
1915, 6955, 26, 50519, 57500
1921, 6932, 25, 50543, 57500
1927, 6917, 25, 50558, 57500
1933, 6819, 25, 50656, 57500
1939, 6823, 26, 50651, 57500
1945, 6839, 26, 50635, 57500
1951, 6896, 25, 50579, 57500
1957, 6905, 25, 50570, 57500
1963, 6946, 25, 50529, 57500
