ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, total
1399, 6614, 46451, 4079, 0, 365, 57509
1405, 6527, 47114, 3499, 0, 369, 57509
1411, 6445, 47364, 3333, 0, 367, 57509
1417, 6566, 46237, 4333, 0, 373, 57509
1423, 6707, 43091, 7338, 0, 373, 57509
1429, 6804, 40580, 9745, 0, 380, 57509
1435, 6815, 36831, 13305, 0, 558, 57509
1441, 6752, 30197, 19878, 0, 682, 57509
1447, 6810, 27017, 22907, 0, 775, 57509
1453, 6867, 22369, 27626, 0, 647, 57509
1459, 6861, 21288, 28713, 0, 647, 57509
1465, 6801, 17922, 32163, 0, 623, 57509
1471, 6777, 15324, 34791, 0, 617, 57509
1477, 6475, 11894, 38549, 0, 591, 57509
1483, 6518, 9115, 41319, 0, 557, 57509
1489, 6601, 8066, 42281, 0, 561, 57509
1495, 6635, 7937, 42369, 0, 568, 57509
1501, 6698, 8957, 41313, 0, 541, 57509
1507, 6749, 11585, 38670, 0, 505, 57509
1513, 6640, 16176, 34192, 0, 501, 57509
1519, 6690, 21252, 29072, 0, 495, 57509
1525, 6700, 25520, 24834, 0, 455, 57509
1531, 6789, 31607, 18685, 0, 428, 57509
1537, 6780, 36185, 14148, 0, 396, 57509
1543, 6706, 38533, 11878, 0, 392, 57509
1549, 6684, 41181, 9252, 0, 392, 57509
1555, 6681, 42997, 7442, 0, 389, 57509
1561, 6701, 44488, 5930, 0, 390, 57509
1567, 6796, 45877, 4446, 0, 390, 57509
1573, 6923, 46275, 3916, 0, 395, 57509
1579, 6870, 46176, 4067, 0, 396, 57509
1585, 6856, 46095, 4156, 0, 402, 57509
1591, 6829, 44408, 5774, 0, 498, 57509
1597, 6842, 41437, 8706, 0, 524, 57509
1603, 6872, 35633, 14351, 0, 653, 57509
1609, 6907, 30395, 19518, 0, 689, 57509
1615, 6908, 25997, 23928, 0, 676, 57509
1621, 6929, 22156, 27853, 0, 571, 57509
1627, 6908, 17891, 32090, 0, 620, 57509
1633, 6923, 14619, 35446, 0, 521, 57509
1639, 6843, 11976, 38062, 0, 628, 57509
1645, 6843, 10884, 39238, 0, 544, 57509
1651, 6845, 8548, 41479, 0, 637, 57509
1657, 6811, 7989, 42088, 0, 621, 57509
1663, 6826, 8731, 41433, 0, 519, 57509
1669, 6854, 10088, 40096, 0, 471, 57509
1675, 6787, 15215, 35067, 0, 440, 57509
1681, 6759, 23207, 27135, 0, 408, 57509
1687, 6731, 27580, 22795, 0, 403, 57509
1693, 6791, 33186, 17167, 0, 365, 57509
1699, 6861, 37341, 12942, 0, 365, 57509
1705, 6774, 40281, 10093, 0, 361, 57509
1711, 6764, 43492, 6892, 0, 361, 57509
1717, 6688, 44430, 6031, 0, 360, 57509
