ts, default broker, SPOT, Bunnie, total
1033, 6763, 94, 50639, 57496
1039, 6804, 95, 50597, 57496
1045, 6808, 94, 50594, 57496
1051, 6812, 96, 50588, 57496
1057, 6807, 94, 50595, 57496
1063, 6905, 96, 50495, 57496
1069, 6870, 96, 50530, 57496
1075, 6802, 96, 50598, 57496
1081, 6864, 96, 50536, 57496
1087, 6796, 96, 50604, 57496
1093, 6604, 96, 50796, 57496
1099, 6588, 96, 50812, 57496
1105, 6701, 94, 50701, 57496
1111, 6726, 94, 50676, 57496
1117, 6779, 95, 50622, 57496
1123, 6775, 96, 50625, 57496
1129, 6851, 95, 50550, 57496
1135, 6831, 95, 50570, 57496
1141, 6872, 95, 50529, 57496
1147, 6865, 95, 50536, 57496
1153, 6819, 94, 50583, 57496
1159, 6799, 94, 50603, 57496
1165, 6823, 94, 50579, 57496
1171, 6860, 94, 50542, 57496
1177, 6840, 93, 50563, 57496
1183, 6820, 95, 50581, 57496
1189, 6642, 96, 50758, 57496
1195, 6623, 97, 50776, 57496
1201, 6543, 97, 50856, 57496
1207, 6566, 98, 50832, 57496
1213, 6648, 98, 50750, 57496
1219, 6710, 97, 50689, 57496
1225, 6749, 96, 50651, 57496
1231, 6806, 98, 50592, 57496
1237, 6806, 98, 50592, 57496
1243, 6782, 99, 50615, 57496
1249, 6835, 94, 50567, 57496
1255, 6900, 95, 50501, 57496
1261, 6927, 96, 50473, 57496
1267, 6904, 96, 50496, 57496
1273, 6932, 94, 50470, 57496
1279, 6954, 94, 50448, 57496
1285, 6847, 94, 50555, 57496
1291, 6763, 94, 50639, 57496
1297, 6806, 93, 50597, 57496
1303, 6798, 93, 50605, 57496
1309, 6859, 93, 50544, 57496
1315, 6852, 93, 50551, 57496
1321, 6845, 94, 50557, 57496
1327, 6895, 95, 50506, 57496
1333, 6918, 96, 50482, 57496
1339, 6918, 96, 50482, 57496
1345, 6885, 96, 50515, 57496
1351, 6886, 96, 50514, 57496
1357, 6906, 95, 50495, 57496
1363, 6798, 95, 50603, 57496
1369, 6663, 95, 50738, 57496
1375, 6713, 95, 50688, 57496
1381, 6727, 95, 50674, 57496
1387, 6853, 95, 50548, 57496
1393, 6853, 94, 50549, 57496
1399, 6889, 93, 50514, 57496
1405, 6909, 94, 50493, 57496
1411, 6881, 94, 50521, 57496
1417, 6868, 94, 50534, 57496
1423, 6862, 95, 50539, 57496
1429, 6736, 95, 50665, 57496
1435, 6848, 96, 50552, 57496
1441, 6919, 94, 50483, 57496
1447, 6927, 94, 50475, 57496
1453, 6937, 95, 50464, 57496
1459, 6824, 95, 50577, 57496
1465, 6876, 94, 50526, 57496
1471, 6896, 95, 50505, 57496
1477, 6890, 95, 50511, 57496
1483, 6909, 95, 50492, 57496
1489, 6945, 94, 50457, 57496
1495, 6958, 95, 50443, 57496
1501, 6924, 96, 50476, 57496
1507, 6842, 96, 50558, 57496
1513, 6879, 94, 50523, 57496
1519, 6888, 94, 50514, 57496
1525, 6792, 93, 50611, 57496
1531, 6808, 93, 50595, 57496
1537, 6804, 93, 50599, 57496
1543, 6831, 93, 50572, 57496
1549, 6908, 93, 50495, 57496
1555, 6922, 94, 50480, 57496
1561, 6862, 93, 50541, 57496
1567, 6905, 94, 50497, 57496
1573, 6926, 94, 50476, 57496
1579, 6921, 94, 50481, 57496
1585, 6943, 93, 50460, 57496
1591, 6860, 94, 50542, 57496
1597, 6879, 94, 50523, 57496
1603, 6872, 94, 50530, 57496
1609, 6792, 93, 50611, 57496
1615, 6794, 93, 50609, 57496
1621, 6824, 93, 50579, 57496
1627, 6874, 94, 50528, 57496
1633, 6876, 94, 50526, 57496
1639, 6868, 96, 50532, 57496
1645, 6746, 96, 50654, 57496
1651, 6778, 97, 50621, 57496
1657, 6853, 94, 50549, 57496
1663, 6841, 95, 50560, 57496
1669, 6890, 95, 50511, 57496
1675, 6916, 97, 50483, 57496
1681, 6948, 95, 50453, 57496
1687, 6887, 94, 50515, 57496
1693, 6715, 95, 50686, 57496
1699, 6819, 95, 50582, 57496
1705, 6789, 93, 50614, 57496
1711, 6879, 95, 50522, 57496
1717, 6882, 94, 50520, 57496
1723, 6766, 95, 50635, 57496
1729, 6815, 94, 50587, 57496
1735, 6781, 95, 50620, 57496
1741, 6829, 94, 50573, 57496
1747, 6829, 94, 50573, 57496
1753, 6883, 95, 50518, 57496
1759, 6898, 95, 50503, 57496
1765, 6789, 95, 50612, 57496
1771, 6791, 96, 50609, 57496
1777, 6802, 94, 50600, 57496
1783, 6684, 95, 50717, 57496
1789, 6777, 94, 50625, 57496
1795, 6754, 95, 50647, 57496
1801, 6789, 94, 50613, 57496
1807, 6827, 94, 50575, 57496
1813, 6787, 94, 50615, 57496
1819, 6708, 95, 50693, 57496
1825, 6787, 94, 50615, 57496
1831, 6815, 94, 50587, 57496
1837, 6788, 95, 50613, 57496
1843, 6781, 95, 50620, 57496
1849, 6818, 95, 50583, 57496
1855, 6820, 95, 50581, 57496
1861, 6815, 95, 50586, 57496
1867, 6824, 95, 50577, 57496
1873, 6812, 94, 50590, 57496
1879, 6821, 95, 50580, 57496
1885, 6706, 95, 50695, 57496
1891, 6868, 96, 50532, 57496
1897, 6775, 94, 50627, 57496
1903, 6777, 95, 50624, 57496
1909, 6748, 96, 50652, 57496
1915, 6784, 247, 50465, 57496
1921, 6905, 95, 50496, 57496
1927, 6911, 95, 50490, 57496
1933, 6905, 96, 50495, 57496
1939, 6879, 95, 50522, 57496
