ts, default broker, COLDPower18, EWIIS3, VidyutVanika, Bunnie, total
967, 3470, 0, 33, 35075, 18937, 57515
973, 3562, 0, 28, 34610, 19315, 57515
979, 3510, 0, 27, 35671, 18307, 57515
985, 3354, 0, 30, 36498, 17633, 57515
991, 3302, 0, 31, 37097, 17085, 57515
997, 3219, 0, 30, 38063, 16203, 57515
1003, 3226, 0, 29, 38213, 16047, 57515
1009, 3141, 0, 29, 38153, 16192, 57515
1015, 3112, 0, 30, 7480, 46893, 57515
1021, 3140, 0, 27, 8638, 45710, 57515
1027, 2996, 0, 29, 13751, 40739, 57515
1033, 3108, 0, 27, 19653, 34727, 57515
1039, 3109, 0, 28, 5914, 48464, 57515
1045, 3249, 0, 26, 5270, 48970, 57515
1051, 3387, 0, 24, 11422, 42682, 57515
1057, 3325, 0, 23, 14496, 39671, 57515
1063, 3342, 0, 23, 15832, 38318, 57515
1069, 3315, 0, 23, 22272, 31905, 57515
1075, 3564, 0, 23, 26522, 27406, 57515
1081, 3673, 0, 26, 26620, 27196, 57515
1087, 3526, 0, 26, 29455, 24508, 57515
1093, 3280, 0, 24, 33518, 20693, 57515
1099, 3365, 0, 22, 36005, 18123, 57515
1105, 3381, 0, 24, 35094, 19016, 57515
1111, 3251, 0, 26, 36422, 17816, 57515
1117, 3433, 0, 27, 37006, 17049, 57515
1123, 3349, 0, 28, 38619, 15519, 57515
1129, 3280, 0, 28, 38978, 15229, 57515
1135, 3227, 0, 28, 16946, 37314, 57515
1141, 3284, 0, 28, 18765, 35438, 57515
1147, 3340, 0, 32, 24088, 30055, 57515
1153, 3311, 0, 31, 26071, 28102, 57515
1159, 3452, 0, 29, 26242, 27792, 57515
1165, 3624, 0, 29, 30098, 23764, 57515
1171, 3507, 0, 29, 31692, 22287, 57515
1177, 3526, 0, 33, 32501, 21455, 57515
1183, 3543, 0, 33, 32050, 21889, 57515
1189, 3521, 0, 33, 33801, 20160, 57515
1195, 3382, 0, 32, 35150, 18951, 57515
1201, 3269, 0, 32, 34178, 20036, 57515
1207, 3227, 0, 31, 4913, 49344, 57515
1213, 3139, 0, 31, 4534, 49811, 57515
1219, 3092, 0, 31, 11453, 42939, 57515
1225, 3054, 0, 31, 15275, 39155, 57515
1231, 3171, 0, 31, 17489, 36824, 57515
1237, 3117, 0, 30, 21660, 32708, 57515
1243, 3121, 0, 29, 26562, 27803, 57515
1249, 3295, 0, 28, 27521, 26671, 57515
1255, 3324, 0, 26, 29721, 24444, 57515
1261, 3430, 0, 29, 32131, 21925, 57515
1267, 3698, 0, 29, 34776, 19012, 57515
1273, 3555, 0, 30, 34002, 19928, 57515
1279, 3589, 0, 28, 33952, 19946, 57515
1285, 3447, 0, 28, 35094, 18946, 57515
1291, 3670, 0, 28, 36196, 17621, 57515
1297, 3495, 0, 28, 36886, 17106, 57515
1303, 3559, 0, 27, 16531, 37398, 57515
1309, 3430, 0, 27, 18758, 35300, 57515
1315, 3542, 0, 27, 23642, 30304, 57515
1321, 3678, 0, 27, 28210, 25600, 57515
1327, 3798, 0, 23, 29591, 24103, 57515
1333, 3830, 0, 23, 31398, 22264, 57515
1339, 3968, 0, 26, 32661, 20860, 57515
1345, 3786, 0, 26, 34196, 19507, 57515
1351, 3753, 0, 25, 33609, 20128, 57515
1357, 3600, 0, 25, 33104, 20786, 57515
1363, 3687, 0, 27, 32041, 21760, 57515
1369, 3637, 0, 30, 30328, 23520, 57515
1375, 3666, 0, 31, 4727, 49091, 57515
1381, 3713, 0, 30, 7609, 46163, 57515
1387, 3515, 0, 30, 13663, 40307, 57515
1393, 3629, 0, 30, 16132, 37724, 57515
1399, 3525, 0, 30, 18312, 35648, 57515
1405, 3554, 0, 29, 10837, 43095, 57515
1411, 3421, 0, 29, 16649, 37416, 57515
1417, 3389, 0, 29, 23925, 30172, 57515
1423, 3484, 0, 29, 26114, 27888, 57515
1429, 3707, 0, 29, 27485, 26294, 57515
1435, 3604, 0, 28, 29962, 23921, 57515
1441, 3641, 0, 29, 31476, 22369, 57515
1447, 3473, 0, 29, 32976, 21037, 57515
1453, 3274, 0, 28, 36880, 17333, 57515
1459, 3424, 0, 27, 37353, 16711, 57515
1465, 3454, 0, 28, 37260, 16773, 57515
1471, 3349, 0, 29, 17102, 37035, 57515
1477, 3440, 0, 18, 18405, 35652, 57515
1483, 3490, 0, 19, 22532, 31474, 57515
1489, 3570, 0, 19, 25208, 28718, 57515
1495, 3531, 0, 18, 26948, 27018, 57515
1501, 3623, 0, 18, 29450, 24424, 57515
1507, 3590, 0, 17, 30905, 23003, 57515
1513, 3463, 0, 17, 29074, 24961, 57515
1519, 3514, 0, 16, 28878, 25107, 57515
1525, 3355, 0, 17, 30251, 23892, 57515
1531, 3445, 0, 16, 32161, 21893, 57515
1537, 3523, 0, 17, 30737, 23238, 57515
1543, 3493, 0, 17, 4917, 49088, 57515
1549, 3447, 0, 16, 8962, 45090, 57515
1555, 3479, 0, 15, 16418, 37603, 57515
1561, 3445, 0, 15, 18049, 36006, 57515
1567, 3387, 0, 17, 23145, 30966, 57515
1573, 3283, 0, 17, 12125, 42090, 57515
1579, 3168, 0, 17, 17223, 37107, 57515
1585, 3296, 0, 17, 22173, 32029, 57515
1591, 3610, 0, 18, 24438, 29449, 57515
1597, 3709, 0, 17, 26560, 27229, 57515
1603, 3810, 0, 18, 29480, 24207, 57515
1609, 3674, 0, 19, 29610, 24212, 57515
1615, 3643, 0, 17, 31466, 22389, 57515
1621, 3726, 0, 17, 32667, 21105, 57515
1627, 3748, 0, 16, 33670, 20081, 57515
1633, 3623, 0, 16, 35323, 18553, 57515
1639, 3677, 0, 18, 20325, 33495, 57515
1645, 3732, 0, 17, 21947, 31819, 57515
1651, 3889, 0, 17, 25160, 28449, 57515
1657, 3951, 0, 17, 25956, 27591, 57515
1663, 3771, 0, 19, 27412, 26313, 57515
1669, 3540, 0, 19, 30423, 23533, 57515
1675, 3458, 0, 19, 32317, 21721, 57515
1681, 3356, 0, 19, 32314, 21826, 57515
1687, 3437, 0, 19, 32275, 21784, 57515
1693, 3424, 0, 20, 33820, 20251, 57515
1699, 3322, 0, 20, 33302, 20871, 57515
1705, 3381, 0, 18, 30980, 23136, 57515
1711, 3478, 0, 18, 4859, 49160, 57515
1717, 3478, 0, 19, 8020, 45998, 57515
1723, 3582, 0, 19, 12346, 41568, 57515
1729, 3769, 0, 17, 14729, 39000, 57515
1735, 3653, 0, 15, 18028, 35819, 57515
1741, 3584, 0, 15, 11075, 42841, 57515
1747, 3535, 0, 16, 15675, 38289, 57515
1753, 3542, 0, 15, 22344, 31614, 57515
1759, 3528, 0, 16, 26764, 27207, 57515
1765, 3486, 0, 19, 29878, 24132, 57515
1771, 3457, 0, 19, 32404, 21635, 57515
1777, 3425, 0, 20, 33876, 20194, 57515
1783, 3526, 0, 20, 34929, 19040, 57515
