ts, default broker, SPOT, EWIIS3, total
1123, 7022, 19027, 31466, 57515
1129, 7022, 19135, 31358, 57515
1135, 7022, 19271, 31222, 57515
1141, 7024, 19271, 31220, 57515
1147, 7024, 19231, 31260, 57515
1153, 7024, 19304, 31187, 57515
1159, 7022, 19367, 31126, 57515
1165, 7023, 19367, 31125, 57515
1171, 7022, 19600, 30893, 57515
1177, 7022, 19803, 30690, 57515
1183, 7022, 19860, 30633, 57515
1189, 7022, 19843, 30650, 57515
1195, 7022, 19856, 30637, 57515
1201, 7022, 20116, 30377, 57515
1207, 7022, 20071, 30422, 57515
1213, 7022, 20295, 30198, 57515
1219, 7021, 20295, 30199, 57515
1225, 7021, 20443, 30051, 57515
1231, 7021, 20443, 30051, 57515
1237, 7021, 20399, 30095, 57515
1243, 7021, 20441, 30053, 57515
1249, 7021, 20692, 29802, 57515
1255, 7021, 20647, 29847, 57515
1261, 7021, 20674, 29820, 57515
1267, 7021, 20631, 29863, 57515
1273, 7021, 20628, 29866, 57515
1279, 7023, 20543, 29949, 57515
1285, 7024, 20541, 29950, 57515
1291, 7024, 20596, 29895, 57515
1297, 7023, 20582, 29910, 57515
1303, 7024, 20718, 29773, 57515
1309, 7023, 20999, 29493, 57515
1315, 7021, 20954, 29540, 57515
1321, 7021, 20986, 29508, 57515
1327, 7021, 20972, 29522, 57515
1333, 7021, 20957, 29537, 57515
1339, 7021, 20969, 29525, 57515
1345, 7022, 21013, 29480, 57515
1351, 7022, 20840, 29653, 57515
1357, 7022, 20870, 29623, 57515
1363, 7022, 20930, 29563, 57515
1369, 7023, 20980, 29512, 57515
1375, 7023, 20857, 29635, 57515
1381, 7023, 20884, 29608, 57515
1387, 7022, 20898, 29595, 57515
1393, 7023, 21086, 29406, 57515
1399, 7023, 21055, 29437, 57515
1405, 7022, 21242, 29251, 57515
1411, 7022, 21350, 29143, 57515
1417, 7022, 21617, 28876, 57515
1423, 7022, 21713, 28780, 57515
1429, 7022, 21690, 28803, 57515
1435, 7022, 21727, 28766, 57515
1441, 7023, 21712, 28780, 57515
1447, 7022, 21772, 28721, 57515
1453, 7022, 21842, 28651, 57515
1459, 7022, 21809, 28684, 57515
1465, 7022, 21897, 28596, 57515
1471, 7128, 0, 50387, 57515
1477, 7127, 0, 50388, 57515
1483, 7126, 0, 50389, 57515
1489, 7125, 0, 50390, 57515
1495, 7126, 0, 50389, 57515
1501, 7126, 0, 50389, 57515
1507, 7126, 0, 50389, 57515
1513, 7127, 0, 50388, 57515
1519, 7126, 0, 50389, 57515
1525, 7126, 0, 50389, 57515
1531, 7126, 0, 50389, 57515
1537, 7125, 0, 50390, 57515
1543, 7124, 0, 50391, 57515
1549, 7125, 0, 50390, 57515
1555, 7125, 0, 50390, 57515
1561, 7126, 0, 50389, 57515
1567, 7125, 0, 50390, 57515
1573, 7127, 0, 50388, 57515
1579, 7126, 0, 50389, 57515
1585, 7127, 0, 50388, 57515
1591, 7126, 0, 50389, 57515
1597, 7126, 0, 50389, 57515
1603, 7126, 0, 50389, 57515
1609, 7127, 0, 50388, 57515
1615, 7126, 0, 50389, 57515
1621, 7125, 0, 50390, 57515
1627, 7126, 0, 50389, 57515
1633, 7127, 0, 50388, 57515
1639, 7127, 0, 50388, 57515
1645, 7127, 0, 50388, 57515
1651, 7127, 0, 50388, 57515
1657, 7128, 0, 50387, 57515
1663, 7128, 0, 50387, 57515
1669, 7130, 0, 50385, 57515
1675, 7128, 0, 50387, 57515
1681, 7127, 0, 50388, 57515
1687, 7126, 0, 50389, 57515
1693, 7128, 0, 50387, 57515
1699, 7131, 0, 50384, 57515
1705, 7129, 0, 50386, 57515
1711, 7125, 0, 50390, 57515
1717, 7125, 0, 50390, 57515
1723, 7124, 0, 50391, 57515
1729, 7125, 0, 50390, 57515
1735, 7124, 0, 50391, 57515
1741, 7124, 0, 50391, 57515
1747, 7125, 0, 50390, 57515
1753, 7126, 0, 50389, 57515
1759, 7125, 0, 50390, 57515
