ts, default broker, CrocodileAgent, EWIIS3, AgentUDE, Bunnie, total
925, 6807, 1397, 38, 8388, 40886, 57516
931, 6824, 1019, 35, 9341, 40297, 57516
937, 6820, 686, 36, 10549, 39425, 57516
943, 6705, 742, 27, 11261, 38781, 57516
949, 6716, 601, 27, 5252, 44920, 57516
955, 6639, 549, 27, 6254, 44047, 57516
961, 6580, 468, 28, 7414, 43026, 57516
967, 6704, 326, 22, 8719, 41745, 57516
973, 6688, 358, 24, 9973, 40473, 57516
979, 6729, 482, 23, 10542, 39740, 57516
985, 6716, 1692, 14, 11889, 37205, 57516
991, 6733, 2787, 12, 5773, 42211, 57516
997, 6668, 3201, 11, 7514, 40122, 57516
1003, 6691, 3660, 10, 10556, 36599, 57516
1009, 6663, 3942, 11, 11794, 35106, 57516
1015, 6737, 3876, 10, 12541, 34352, 57516
1021, 6844, 3791, 9, 15025, 31847, 57516
1027, 6768, 3828, 8, 16692, 30220, 57516
1033, 6745, 3736, 6, 1307, 45722, 57516
1039, 6667, 3752, 5, 1445, 45647, 57516
1045, 6586, 3787, 7, 2126, 45010, 57516
1051, 6568, 3738, 8, 2535, 44667, 57516
1057, 6581, 3323, 10, 3303, 44299, 57516
1063, 6710, 2734, 10, 3344, 44718, 57516
1069, 6393, 2468, 9, 3636, 45010, 57516
1075, 6495, 1966, 9, 891, 48155, 57516
1081, 6575, 1231, 10, 1899, 47801, 57516
1087, 6682, 1047, 9, 2074, 47704, 57516
1093, 6804, 739, 10, 3393, 46570, 57516
1099, 6793, 539, 11, 4282, 45891, 57516
1105, 6602, 521, 11, 4828, 45554, 57516
1111, 6679, 404, 13, 5178, 45242, 57516
1117, 6789, 328, 13, 2005, 48381, 57516
1123, 6756, 333, 14, 2230, 48183, 57516
1129, 6586, 415, 14, 2807, 47694, 57516
1135, 6620, 466, 14, 2901, 47515, 57516
1141, 6636, 665, 13, 3372, 46830, 57516
1147, 6589, 677, 15, 3524, 46711, 57516
1153, 6644, 1996, 15, 4650, 44211, 57516
1159, 6643, 2386, 14, 1467, 47006, 57516
1165, 6581, 3747, 14, 3715, 43459, 57516
1171, 6687, 5009, 10, 4787, 41023, 57516
1177, 6674, 5319, 10, 7276, 38237, 57516
1183, 6708, 5400, 9, 7703, 37696, 57516
1189, 6850, 5407, 11, 9672, 35576, 57516
1195, 6740, 5472, 10, 10602, 34692, 57516
1201, 6758, 5411, 9, 4369, 40969, 57516
1207, 6713, 5409, 8, 4534, 40852, 57516
1213, 6740, 5206, 10, 7242, 38318, 57516
1219, 6790, 5082, 9, 8368, 37267, 57516
1225, 6821, 4746, 9, 8895, 37045, 57516
1231, 6806, 4538, 11, 8865, 37296, 57516
1237, 6783, 3699, 10, 10749, 36275, 57516
1243, 6777, 3087, 7, 4825, 42820, 57516
1249, 6668, 2333, 9, 6844, 41662, 57516
1255, 6616, 1936, 11, 7299, 41654, 57516
1261, 6641, 1612, 11, 9780, 39472, 57516
1267, 6418, 1447, 12, 11174, 38465, 57516
1273, 6646, 1105, 11, 11869, 37885, 57516
1279, 6692, 959, 10, 12362, 37493, 57516
1285, 6389, 975, 10, 5522, 44620, 57516
1291, 6363, 809, 10, 6612, 43722, 57516
1297, 6487, 746, 10, 6915, 43358, 57516
1303, 6579, 623, 9, 7620, 42685, 57516
1309, 6699, 741, 10, 8789, 41277, 57516
1315, 6598, 1195, 9, 9060, 40654, 57516
1321, 6521, 2958, 9, 9672, 38356, 57516
1327, 6662, 5642, 9, 5329, 39874, 57516
1333, 6659, 6783, 9, 7290, 36775, 57516
1339, 6628, 7320, 10, 8855, 34703, 57516
1345, 6663, 7457, 11, 10878, 32507, 57516
1351, 6557, 7576, 11, 11521, 31851, 57516
1357, 6556, 7546, 10, 13806, 29598, 57516
1363, 6633, 7517, 10, 14350, 29006, 57516
1369, 6595, 7552, 12, 4878, 38479, 57516
1375, 6609, 7396, 12, 5656, 37843, 57516
1381, 6527, 7249, 12, 7809, 35919, 57516
1387, 6535, 7098, 13, 8544, 35326, 57516
1393, 6603, 6096, 13, 9948, 34856, 57516
1399, 6672, 4545, 12, 11053, 35234, 57516
1405, 6513, 3376, 13, 12686, 34928, 57516
1411, 6563, 3123, 14, 1600, 46216, 57516
1417, 6655, 2458, 14, 2142, 46247, 57516
1423, 6680, 1857, 13, 2300, 46666, 57516
1429, 6629, 1264, 13, 3205, 46405, 57516
1435, 6568, 856, 10, 3668, 46414, 57516
1441, 6505, 884, 10, 4260, 45857, 57516
1447, 6582, 703, 8, 5537, 44686, 57516
1453, 6658, 597, 9, 1646, 48606, 57516
1459, 6671, 503, 9, 2969, 47364, 57516
1465, 6722, 397, 11, 4039, 46347, 57516
1471, 6597, 410, 12, 4332, 46165, 57516
1477, 6599, 464, 11, 5553, 44889, 57516
1483, 6538, 926, 12, 6031, 44009, 57516
1489, 6635, 2023, 13, 6400, 42445, 57516
1495, 6687, 3310, 13, 1325, 46181, 57516
1501, 6660, 4460, 12, 2786, 43598, 57516
1507, 6658, 5417, 12, 2923, 42506, 57516
1513, 6652, 6135, 11, 4090, 40628, 57516
1519, 6531, 6307, 11, 4619, 40048, 57516
1525, 6580, 6442, 11, 5352, 39131, 57516
1531, 6615, 6380, 11, 5853, 38657, 57516
1537, 6603, 6380, 12, 1432, 43089, 57516
1543, 6637, 6303, 12, 1818, 42746, 57516
1549, 6692, 6246, 12, 2257, 42309, 57516
1555, 6684, 6204, 12, 2353, 42263, 57516
1561, 6651, 5758, 12, 3500, 41595, 57516
1567, 6644, 5174, 10, 3938, 41750, 57516
1573, 6407, 4333, 10, 4935, 41831, 57516
1579, 6260, 3575, 8, 4947, 42726, 57516
1585, 6435, 3044, 10, 6659, 41368, 57516
1591, 6471, 2463, 9, 8148, 40425, 57516
1597, 6499, 1879, 9, 9298, 39831, 57516
1603, 6464, 1484, 10, 10507, 39051, 57516
1609, 6470, 1276, 12, 12660, 37098, 57516
1615, 6622, 1033, 13, 13479, 36369, 57516
1621, 6355, 1031, 8, 5501, 44621, 57516
1627, 6474, 901, 9, 5543, 44589, 57516
1633, 6497, 682, 9, 6685, 43643, 57516
1639, 6581, 690, 10, 7042, 43193, 57516
1645, 6795, 500, 11, 8074, 42136, 57516
1651, 6819, 735, 10, 8779, 41173, 57516
1657, 6839, 2529, 10, 9568, 38570, 57516
1663, 6851, 3502, 11, 3988, 43164, 57516
1669, 6747, 4657, 11, 7047, 39054, 57516
1675, 6687, 5729, 12, 8822, 36266, 57516
1681, 6600, 5946, 12, 9988, 34970, 57516
1687, 6685, 6018, 11, 11073, 33729, 57516
1693, 6485, 6108, 12, 13369, 31542, 57516
1699, 6457, 6048, 12, 15188, 29811, 57516
1705, 6528, 5982, 11, 6488, 38507, 57516
1711, 6573, 5899, 11, 7846, 37187, 57516
