ts, default broker, SPOT, EWIIS3, VidyutVanika, Bunnie, total
1093, 3499, 94, 13, 25675, 28230, 57511
1099, 3431, 94, 12, 28006, 25968, 57511
1105, 3367, 94, 13, 27852, 26185, 57511
1111, 3415, 95, 12, 30679, 23310, 57511
1117, 3418, 94, 13, 34679, 19307, 57511
1123, 3246, 95, 11, 35656, 18503, 57511
1129, 3330, 95, 15, 33462, 20609, 57511
1135, 3409, 93, 15, 33987, 20007, 57511
1141, 3267, 93, 15, 36947, 17189, 57511
1147, 3262, 93, 15, 38116, 16025, 57511
1153, 3350, 93, 15, 35789, 18264, 57511
1159, 3325, 93, 15, 36702, 17376, 57511
1165, 3438, 93, 14, 37796, 16170, 57511
1171, 3453, 94, 13, 38423, 15528, 57511
1177, 3370, 95, 13, 38510, 15523, 57511
1183, 3301, 94, 14, 17857, 36245, 57511
1189, 3231, 94, 14, 18917, 35255, 57511
1195, 3439, 94, 13, 22582, 31383, 57511
1201, 3326, 95, 15, 27211, 26864, 57511
1207, 3331, 95, 16, 13595, 40474, 57511
1213, 3450, 96, 15, 18751, 35199, 57511
1219, 3343, 97, 14, 24988, 29069, 57511
1225, 3383, 96, 14, 31784, 22234, 57511
1231, 3372, 96, 11, 32378, 21654, 57511
1237, 3280, 95, 12, 35946, 18178, 57511
1243, 3316, 95, 13, 37015, 17072, 57511
1249, 3343, 95, 13, 36208, 17852, 57511
1255, 3157, 94, 13, 35706, 18541, 57511
1261, 3377, 93, 15, 36056, 17970, 57511
1267, 3422, 93, 14, 37359, 16623, 57511
1273, 3306, 93, 16, 37468, 16628, 57511
1279, 3468, 54, 15, 36778, 17196, 57511
1285, 3374, 48, 15, 18609, 35465, 57511
1291, 3430, 41, 14, 21161, 32865, 57511
1297, 3532, 47, 14, 28246, 25672, 57511
1303, 3429, 44, 13, 30588, 23437, 57511
1309, 3290, 85, 13, 33767, 20356, 57511
1315, 3305, 91, 13, 36162, 17940, 57511
1321, 3337, 92, 11, 36146, 17925, 57511
1327, 3371, 93, 12, 36646, 17389, 57511
1333, 3311, 94, 12, 38145, 15949, 57511
1339, 3409, 93, 14, 39196, 14799, 57511
1345, 3507, 93, 14, 39386, 14511, 57511
1351, 3505, 93, 14, 26730, 27169, 57511
1357, 3452, 93, 13, 27299, 26654, 57511
1363, 3432, 93, 13, 31022, 22951, 57511
1369, 3369, 93, 14, 16947, 37088, 57511
1375, 3346, 93, 14, 15080, 38978, 57511
1381, 3396, 93, 14, 13902, 40106, 57511
1387, 3331, 93, 15, 12463, 41609, 57511
1393, 3406, 93, 14, 10336, 43662, 57511
1399, 3514, 93, 15, 7879, 46010, 57511
1405, 3460, 93, 15, 6633, 47310, 57511
1411, 3409, 93, 14, 6133, 47862, 57511
1417, 3320, 93, 14, 5824, 48260, 57511
1423, 3359, 93, 16, 5265, 48778, 57511
1429, 3489, 93, 15, 5021, 48893, 57511
1435, 3474, 93, 13, 4639, 49292, 57511
1441, 3244, 93, 13, 4704, 49457, 57511
1447, 3382, 93, 12, 4548, 49476, 57511
1453, 3344, 93, 12, 7731, 46331, 57511
1459, 3294, 93, 12, 11525, 42587, 57511
1465, 3317, 94, 11, 13864, 40225, 57511
1471, 3370, 94, 10, 16503, 37534, 57511
1477, 3320, 93, 11, 19478, 34609, 57511
1483, 3364, 93, 12, 21216, 32826, 57511
1489, 3472, 93, 12, 21820, 32114, 57511
1495, 3420, 93, 13, 22157, 31828, 57511
1501, 3388, 93, 10, 22113, 31907, 57511
1507, 3407, 93, 9, 21813, 32189, 57511
1513, 3448, 93, 12, 21637, 32321, 57511
1519, 3369, 93, 13, 21554, 32482, 57511
1525, 3380, 93, 13, 20595, 33430, 57511
1531, 3233, 94, 12, 19550, 34622, 57511
1537, 3229, 95, 11, 17870, 36306, 57511
1543, 3339, 95, 11, 15321, 38745, 57511
1549, 3366, 95, 12, 13089, 40949, 57511
1555, 3345, 94, 13, 10323, 43736, 57511
1561, 3368, 93, 13, 9558, 44479, 57511
1567, 3425, 93, 12, 7784, 46197, 57511
1573, 3365, 93, 14, 6747, 47292, 57511
1579, 3341, 93, 14, 6084, 47979, 57511
1585, 3544, 93, 14, 5348, 48512, 57511
1591, 3451, 94, 14, 5269, 48683, 57511
1597, 3386, 94, 15, 5038, 48978, 57511
1603, 3311, 95, 13, 5087, 49005, 57511
1609, 3426, 95, 14, 4919, 49057, 57511
1615, 3410, 95, 13, 5239, 48754, 57511
1621, 3451, 94, 13, 8356, 45597, 57511
1627, 3437, 95, 12, 12341, 41626, 57511
1633, 3488, 96, 12, 15462, 38453, 57511
1639, 3487, 96, 12, 17374, 36542, 57511
1645, 3438, 97, 11, 20041, 33924, 57511
1651, 3489, 95, 14, 22284, 31629, 57511
1657, 3641, 95, 13, 23293, 30469, 57511
1663, 3667, 95, 13, 23796, 29940, 57511
1669, 3664, 94, 14, 23773, 29966, 57511
1675, 3612, 94, 11, 23679, 30115, 57511
1681, 3663, 94, 10, 23418, 30326, 57511
1687, 3425, 94, 10, 23399, 30583, 57511
1693, 3399, 94, 11, 23259, 30748, 57511
1699, 3310, 94, 12, 21085, 33010, 57511
1705, 3310, 93, 13, 17030, 37065, 57511
1711, 3420, 93, 13, 15394, 38591, 57511
1717, 3704, 93, 13, 12100, 41601, 57511
1723, 3734, 93, 14, 9437, 44233, 57511
1729, 3697, 93, 15, 8823, 44883, 57511
1735, 3737, 93, 14, 7515, 46152, 57511
1741, 3653, 94, 12, 6631, 47121, 57511
1747, 3653, 94, 12, 5962, 47790, 57511
1753, 3596, 94, 11, 5720, 48090, 57511
1759, 3662, 94, 11, 5448, 48296, 57511
1765, 3635, 95, 10, 5029, 48742, 57511
