ts, default broker, SPOT, EWIIS3, VidyutVanika, Bunnie, total
661, 4, 32, 29, 10654, 46799, 57518
667, 4, 32, 29, 9508, 47945, 57518
673, 4, 35, 29, 9050, 48400, 57518
679, 4, 5, 30, 8251, 49228, 57518
685, 4, 4, 30, 7973, 49507, 57518
691, 3, 4, 30, 7745, 49736, 57518
697, 4, 5, 29, 7753, 49727, 57518
703, 4, 5, 28, 7950, 49531, 57518
709, 3, 5, 30, 10518, 46962, 57518
715, 4, 6, 28, 11847, 45633, 57518
721, 3, 5, 29, 13804, 43677, 57518
727, 2, 5, 30, 13988, 43493, 57518
733, 2, 4, 29, 16087, 41396, 57518
739, 1, 3, 29, 18388, 39097, 57518
745, 2, 4, 31, 20015, 37466, 57518
751, 2, 4, 32, 20662, 36818, 57518
757, 3, 4, 30, 20786, 36695, 57518
763, 3, 2, 31, 20647, 36835, 57518
769, 3, 1, 31, 20647, 36836, 57518
775, 4, 2, 29, 20569, 36914, 57518
781, 4, 2, 29, 19433, 38050, 57518
787, 4, 3, 29, 18332, 39150, 57518
793, 3, 115, 28, 17741, 39631, 57518
799, 3, 114, 30, 16895, 40476, 57518
805, 3, 114, 30, 15465, 41906, 57518
811, 4, 114, 30, 14521, 42849, 57518
817, 5, 246, 28, 13233, 44006, 57518
823, 4, 246, 29, 12364, 44875, 57518
829, 2, 246, 30, 10759, 46481, 57518
835, 3, 217, 29, 10206, 47063, 57518
841, 3, 217, 29, 9552, 47717, 57518
847, 3, 218, 30, 9293, 47974, 57518
853, 2, 218, 31, 8963, 48304, 57518
859, 2, 129, 29, 8609, 48749, 57518
865, 2, 3, 30, 24218, 33265, 57518
871, 2, 3, 29, 8987, 48497, 57518
877, 2, 5, 28, 10618, 46865, 57518
883, 2, 83, 29, 18822, 38582, 57518
889, 2102, 209, 30, 20599, 34578, 57518
895, 2473, 199, 30, 23116, 31700, 57518
901, 2742, 200, 31, 27260, 27285, 57518
907, 2933, 200, 31, 29834, 24520, 57518
913, 2957, 93, 33, 30478, 23957, 57518
919, 2976, 93, 33, 31290, 23126, 57518
925, 2984, 94, 33, 34285, 20122, 57518
931, 3272, 93, 31, 35574, 18548, 57518
937, 3262, 93, 31, 36350, 17782, 57518
943, 3282, 93, 30, 36375, 17738, 57518
949, 3441, 93, 31, 36657, 17296, 57518
955, 3598, 93, 31, 37130, 16666, 57518
961, 3628, 145, 31, 34957, 18757, 57518
967, 3691, 175, 30, 34283, 19339, 57518
973, 3549, 175, 31, 36506, 17257, 57518
979, 3454, 175, 29, 37737, 16123, 57518
985, 3400, 175, 29, 33625, 20289, 57518
991, 3381, 205, 29, 34191, 19712, 57518
997, 3450, 205, 29, 34258, 19576, 57518
1003, 3439, 235, 19, 35099, 18726, 57518
1009, 3534, 93, 19, 32572, 21300, 57518
1015, 3638, 94, 19, 4927, 48840, 57518
1021, 3688, 94, 20, 7209, 46507, 57518
1027, 3436, 94, 18, 15199, 38771, 57518
1033, 3664, 93, 19, 18200, 35542, 57518
1039, 3657, 94, 19, 5151, 48597, 57518
1045, 3505, 95, 20, 7240, 46658, 57518
1051, 3463, 95, 18, 14796, 39146, 57518
1057, 3168, 94, 18, 24080, 30158, 57518
1063, 3146, 94, 18, 27185, 27075, 57518
1069, 3186, 94, 18, 30342, 23878, 57518
1075, 3286, 94, 14, 34773, 19351, 57518
1081, 3234, 93, 16, 36704, 17471, 57518
1087, 3281, 94, 15, 36667, 17461, 57518
1093, 3359, 140, 16, 38092, 15911, 57518
1099, 3523, 140, 15, 38487, 15353, 57518
1105, 3539, 140, 16, 38464, 15359, 57518
1111, 3561, 140, 15, 18262, 35540, 57518
1117, 3718, 140, 14, 19395, 34251, 57518
1123, 3650, 140, 13, 21751, 31964, 57518
1129, 3416, 140, 12, 26231, 27719, 57518
1135, 3451, 140, 14, 26684, 27229, 57518
1141, 3339, 94, 13, 29265, 24807, 57518
1147, 3476, 94, 11, 29663, 24274, 57518
1153, 3516, 94, 12, 29460, 24436, 57518
1159, 3414, 94, 12, 29444, 24554, 57518
1165, 3431, 156, 13, 30654, 23264, 57518
1171, 3410, 156, 14, 32640, 21298, 57518
1177, 3417, 156, 15, 30099, 23831, 57518
1183, 3196, 216, 16, 29560, 24530, 57518
1189, 3206, 216, 16, 31348, 22732, 57518
1195, 3201, 217, 14, 34051, 20035, 57518
1201, 3267, 219, 13, 29192, 24827, 57518
1207, 3397, 217, 13, 30023, 23868, 57518
1213, 3405, 259, 15, 14242, 39597, 57518
1219, 3435, 259, 13, 15797, 38014, 57518
1225, 3296, 199, 15, 21424, 32584, 57518
1231, 3366, 198, 16, 23874, 30064, 57518
1237, 3191, 198, 15, 28861, 25253, 57518
1243, 3393, 168, 14, 31652, 22291, 57518
1249, 3350, 206, 13, 33895, 20054, 57518
1255, 3498, 206, 14, 35116, 18684, 57518
1261, 3619, 146, 13, 36542, 17198, 57518
1267, 3640, 147, 12, 37957, 15762, 57518
1273, 3668, 146, 12, 37171, 16521, 57518
1279, 3653, 146, 13, 20355, 33351, 57518
1285, 3618, 133, 12, 22255, 31500, 57518
1291, 3718, 103, 12, 25511, 28174, 57518
1297, 3618, 103, 11, 28047, 25739, 57518
1303, 3752, 104, 11, 12089, 41562, 57518
1309, 3567, 95, 11, 15493, 38352, 57518
1315, 3459, 95, 9, 18819, 35136, 57518
1321, 3614, 94, 7, 20654, 33149, 57518
1327, 3623, 94, 8, 22088, 31705, 57518
1333, 3636, 94, 9, 27323, 26456, 57518
1339, 3580, 94, 10, 30279, 23555, 57518
1345, 3576, 93, 11, 28960, 24878, 57518
1351, 3588, 93, 13, 29084, 24740, 57518
1357, 3711, 94, 14, 31009, 22690, 57518
1363, 3832, 126, 16, 31859, 21685, 57518
1369, 3749, 123, 16, 30411, 23219, 57518
1375, 3751, 125, 13, 6800, 46829, 57518
1381, 3660, 126, 14, 8176, 45542, 57518
1387, 3463, 126, 15, 15030, 38884, 57518
1393, 3433, 125, 14, 20885, 33061, 57518
1399, 3306, 125, 16, 23224, 30847, 57518
1405, 3480, 124, 16, 26358, 27540, 57518
1411, 3490, 123, 16, 29917, 23972, 57518
1417, 3589, 94, 15, 30597, 23223, 57518
1423, 3690, 94, 14, 32660, 21060, 57518
1429, 3908, 94, 14, 33211, 20291, 57518
1435, 3864, 94, 14, 36013, 17533, 57518
1441, 3888, 94, 13, 35848, 17675, 57518
1447, 3732, 94, 14, 35457, 18221, 57518
1453, 3910, 93, 15, 36480, 17020, 57518
1459, 3575, 93, 15, 38321, 15514, 57518
1465, 3529, 93, 12, 38055, 15829, 57518
1471, 3509, 93, 12, 12599, 41305, 57518
1477, 3647, 93, 12, 14082, 39684, 57518
1483, 3565, 93, 13, 20853, 32994, 57518
1489, 3596, 94, 12, 23117, 30699, 57518
1495, 3575, 96, 12, 24658, 29177, 57518
1501, 3422, 97, 12, 29513, 24474, 57518
1507, 3555, 96, 12, 31406, 22449, 57518
1513, 3630, 96, 14, 29006, 24772, 57518
1519, 3596, 96, 13, 29677, 24136, 57518
1525, 3571, 96, 12, 31583, 22256, 57518
1531, 3427, 95, 12, 33268, 20716, 57518
1537, 3425, 95, 10, 34705, 19283, 57518
1543, 3303, 132, 12, 5917, 48154, 57518
1549, 3202, 132, 12, 6852, 47320, 57518
1555, 3306, 132, 12, 11452, 42616, 57518
1561, 3105, 132, 12, 17115, 37154, 57518
1567, 3101, 133, 13, 20352, 33919, 57518
1573, 3142, 133, 12, 27840, 26391, 57518
1579, 3073, 133, 15, 32049, 22248, 57518
1585, 3074, 94, 16, 34192, 20142, 57518
1591, 2965, 93, 15, 34679, 19766, 57518
1597, 2973, 93, 15, 34927, 19510, 57518
1603, 3147, 93, 15, 36193, 18070, 57518
1609, 3358, 94, 16, 36350, 17700, 57518
1615, 3473, 93, 16, 35897, 18039, 57518
1621, 3470, 93, 16, 36224, 17715, 57518
1627, 3334, 93, 16, 37685, 16390, 57518
1633, 3230, 93, 16, 35429, 18750, 57518
1639, 3352, 94, 16, 12040, 42016, 57518
1645, 3375, 94, 16, 13253, 40780, 57518
1651, 3453, 95, 14, 15829, 38127, 57518
1657, 3341, 95, 14, 20285, 33783, 57518
1663, 3444, 94, 15, 22222, 31743, 57518
1669, 3350, 94, 15, 27574, 26485, 57518
1675, 3485, 95, 13, 30234, 23691, 57518
1681, 3581, 160, 12, 31080, 22685, 57518
1687, 3626, 160, 12, 31849, 21871, 57518
1693, 3600, 161, 13, 33580, 20164, 57518
1699, 3574, 161, 15, 34935, 18833, 57518
1705, 3623, 161, 13, 31659, 22062, 57518
1711, 3613, 164, 14, 5883, 47844, 57518
1717, 3367, 161, 14, 7451, 46525, 57518
1723, 3415, 131, 14, 14944, 39014, 57518
