ts, default broker, SPOT, VidyutVanika, total
1291, 3293, 215, 54001, 57509
1297, 3423, 215, 53871, 57509
1303, 3366, 226, 53917, 57509
1309, 3478, 216, 53815, 57509
1315, 3727, 208, 53574, 57509
1321, 3760, 178, 53571, 57509
1327, 3603, 176, 53730, 57509
1333, 3586, 156, 53767, 57509
1339, 3398, 159, 53952, 57509
1345, 3277, 105, 54127, 57509
1351, 3202, 104, 54203, 57509
1357, 3107, 105, 54297, 57509
1363, 3425, 105, 53979, 57509
1369, 3275, 106, 54128, 57509
1375, 3378, 105, 54026, 57509
1381, 3421, 104, 53984, 57509
1387, 3590, 94, 53825, 57509
1393, 3693, 194, 53622, 57509
1399, 3524, 344, 53641, 57509
1405, 3537, 353, 53619, 57509
1411, 3522, 355, 53632, 57509
1417, 3554, 351, 53604, 57509
1423, 3531, 363, 53615, 57509
1429, 3372, 366, 53771, 57509
1435, 3619, 263, 53627, 57509
1441, 3328, 116, 54065, 57509
1447, 3409, 117, 53983, 57509
1453, 3564, 116, 53829, 57509
1459, 3673, 118, 53718, 57509
1465, 3656, 118, 53735, 57509
1471, 3563, 108, 53838, 57509
1477, 3477, 253, 53779, 57509
1483, 3463, 252, 53794, 57509
1489, 3593, 107, 53809, 57509
1495, 3646, 113, 53750, 57509
1501, 3721, 115, 53673, 57509
1507, 3715, 115, 53679, 57509
1513, 3765, 113, 53631, 57509
1519, 3672, 127, 53710, 57509
1525, 3744, 124, 53641, 57509
1531, 3764, 113, 53632, 57509
1537, 3788, 114, 53607, 57509
1543, 3774, 116, 53619, 57509
1549, 3781, 115, 53613, 57509
1555, 3741, 104, 53664, 57509
1561, 3667, 104, 53738, 57509
1567, 3818, 103, 53588, 57509
1573, 3677, 107, 53725, 57509
1579, 3555, 98, 53856, 57509
1585, 3640, 98, 53771, 57509
1591, 3754, 109, 53646, 57509
1597, 3759, 107, 53643, 57509
1603, 3817, 98, 53594, 57509
1609, 3725, 105, 53679, 57509
1615, 3739, 104, 53666, 57509
1621, 3744, 103, 53662, 57509
1627, 3764, 103, 53642, 57509
1633, 3660, 94, 53755, 57509
1639, 3644, 95, 53770, 57509
1645, 3494, 96, 53919, 57509
1651, 3462, 95, 53952, 57509
1657, 3529, 98, 53882, 57509
1663, 3448, 94, 53967, 57509
1669, 3536, 95, 53878, 57509
1675, 3588, 93, 53828, 57509
1681, 3825, 93, 53591, 57509
1687, 3665, 93, 53751, 57509
1693, 3704, 93, 53712, 57509
1699, 3789, 94, 53626, 57509
1705, 3681, 107, 53721, 57509
1711, 3614, 105, 53790, 57509
1717, 3683, 106, 53720, 57509
1723, 3900, 104, 53505, 57509
1729, 3967, 105, 53437, 57509
1735, 3905, 105, 53499, 57509
1741, 3898, 106, 53505, 57509
1747, 3813, 97, 53599, 57509
1753, 3730, 97, 53682, 57509
1759, 3563, 245, 53701, 57509
1765, 3697, 244, 53568, 57509
1771, 3614, 244, 53651, 57509
1777, 3619, 394, 53496, 57509
1783, 3618, 542, 53349, 57509
1789, 3563, 541, 53405, 57509
