ts, default broker, CrocodileAgent, Bunnie, total
1123, 6554, 7612, 43356, 57522
1129, 6647, 8546, 42329, 57522
1135, 6669, 8717, 42136, 57522
1141, 6743, 8771, 42008, 57522
1147, 6752, 8678, 42092, 57522
1153, 6795, 8607, 42120, 57522
1159, 6771, 8635, 42116, 57522
1165, 6477, 8816, 42229, 57522
1171, 6499, 8502, 42521, 57522
1177, 6521, 7918, 43083, 57522
1183, 6557, 6715, 44250, 57522
1189, 6423, 5745, 45354, 57522
1195, 6482, 4076, 46964, 57522
1201, 6497, 2616, 48409, 57522
1207, 6502, 2252, 48768, 57522
1213, 6302, 1942, 49278, 57522
1219, 6141, 1456, 49925, 57522
1225, 6244, 1078, 50200, 57522
1231, 6419, 752, 50351, 57522
1237, 6564, 688, 50270, 57522
1243, 6681, 540, 50301, 57522
1249, 6728, 414, 50380, 57522
1255, 6753, 285, 50484, 57522
1261, 6679, 954, 49889, 57522
1267, 6641, 1808, 49073, 57522
1273, 6682, 2568, 48272, 57522
1279, 6680, 3224, 47618, 57522
1285, 6694, 4440, 46388, 57522
1291, 6646, 6485, 44391, 57522
1297, 6723, 7484, 43315, 57522
1303, 6700, 7885, 42937, 57522
1309, 6724, 7847, 42951, 57522
1315, 6770, 7751, 43001, 57522
1321, 6691, 7806, 43025, 57522
1327, 6750, 7717, 43055, 57522
1333, 6788, 7373, 43361, 57522
1339, 6809, 6852, 43861, 57522
1345, 6683, 6232, 44607, 57522
1351, 6676, 5622, 45224, 57522
1357, 6711, 4949, 45862, 57522
1363, 6711, 3790, 47021, 57522
1369, 6663, 2805, 48054, 57522
1375, 6557, 1998, 48967, 57522
1381, 6449, 1264, 49809, 57522
1387, 6358, 1012, 50152, 57522
1393, 6486, 887, 50149, 57522
1399, 6559, 625, 50338, 57522
1405, 6536, 556, 50430, 57522
1411, 6719, 449, 50354, 57522
1417, 6756, 389, 50377, 57522
1423, 6732, 306, 50484, 57522
1429, 6730, 377, 50415, 57522
1435, 6643, 728, 50151, 57522
1441, 6708, 3745, 47069, 57522
1447, 6669, 4540, 46313, 57522
1453, 6467, 6613, 44442, 57522
1459, 6523, 7478, 43521, 57522
1465, 6587, 8667, 42268, 57522
1471, 6562, 9064, 41896, 57522
1477, 6689, 8947, 41886, 57522
1483, 6599, 9001, 41922, 57522
1489, 6675, 8959, 41888, 57522
1495, 6697, 8905, 41920, 57522
1501, 6147, 9184, 42191, 57522
1507, 5896, 8696, 42930, 57522
1513, 6183, 6727, 44612, 57522
1519, 6267, 5499, 45756, 57522
1525, 6092, 4378, 47052, 57522
1531, 6162, 3652, 47708, 57522
1537, 6362, 2646, 48514, 57522
1543, 6534, 1927, 49061, 57522
1549, 6682, 1623, 49217, 57522
1555, 6721, 1390, 49411, 57522
1561, 6605, 1151, 49766, 57522
1567, 6530, 974, 50018, 57522
1573, 6162, 885, 50475, 57522
1579, 6331, 783, 50408, 57522
1585, 6446, 641, 50435, 57522
1591, 6600, 401, 50521, 57522
1597, 6578, 431, 50513, 57522
1603, 6581, 1493, 49448, 57522
1609, 6623, 2106, 48793, 57522
1615, 6710, 2718, 48094, 57522
1621, 6686, 4492, 46344, 57522
1627, 6737, 6513, 44272, 57522
1633, 6556, 8163, 42803, 57522
1639, 6632, 8684, 42206, 57522
1645, 6743, 8632, 42147, 57522
1651, 6665, 8603, 42254, 57522
1657, 6774, 8394, 42354, 57522
1663, 6748, 8100, 42674, 57522
1669, 6777, 7929, 42816, 57522
1675, 6737, 7190, 43595, 57522
1681, 6789, 6507, 44226, 57522
1687, 6796, 5871, 44855, 57522
1693, 6806, 5117, 45599, 57522
1699, 6810, 3869, 46843, 57522
1705, 6622, 2881, 48019, 57522
1711, 6693, 1796, 49033, 57522
1717, 6773, 1305, 49444, 57522
