ts, default broker, COLDPower18, VidyutVanika, total
1357, 47, 0, 57466, 57513
1363, 45, 0, 57468, 57513
1369, 45, 0, 57468, 57513
1375, 45, 0, 57468, 57513
1381, 46, 0, 57467, 57513
1387, 45, 0, 57468, 57513
1393, 74, 0, 57439, 57513
1399, 82, 0, 57431, 57513
1405, 88, 0, 57425, 57513
1411, 90, 0, 57423, 57513
1417, 87, 0, 57426, 57513
1423, 86, 0, 57427, 57513
1429, 85, 0, 57428, 57513
1435, 88, 0, 57425, 57513
1441, 88, 0, 57425, 57513
1447, 87, 0, 57426, 57513
1453, 78, 0, 57435, 57513
1459, 96, 0, 57417, 57513
1465, 92, 0, 57421, 57513
1471, 51, 0, 57462, 57513
1477, 47, 0, 57466, 57513
1483, 47, 0, 57466, 57513
1489, 45, 0, 57468, 57513
1495, 44, 0, 57469, 57513
1501, 46, 0, 57467, 57513
1513, 44, 0, 57469, 57513
1519, 45, 0, 57468, 57513
1531, 46, 0, 57467, 57513
1543, 46, 0, 57467, 57513
1549, 44, 0, 57469, 57513
1555, 44, 0, 57469, 57513
1561, 42, 0, 57471, 57513
1567, 44, 0, 57469, 57513
1573, 44, 0, 57469, 57513
1579, 44, 0, 57469, 57513
1585, 45, 0, 57468, 57513
1597, 46, 0, 57467, 57513
1603, 47, 0, 57466, 57513
1615, 46, 0, 57467, 57513
1621, 47, 0, 57466, 57513
1633, 45, 0, 57468, 57513
1645, 46, 0, 57467, 57513
1651, 45, 0, 57468, 57513
1657, 46, 0, 57467, 57513
1663, 47, 0, 57466, 57513
1669, 46, 0, 57467, 57513
1675, 45, 0, 57468, 57513
1681, 46, 0, 57467, 57513
1687, 47, 0, 57466, 57513
1693, 47, 0, 57466, 57513
1705, 49, 0, 57464, 57513
1711, 48, 0, 57465, 57513
1717, 48, 0, 57465, 57513
1723, 46, 0, 57467, 57513
1729, 46, 0, 57467, 57513
