ts, default broker, SPOT, COLDPower18, VidyutVanika, Bunnie, total
763, 5, 3, 0, 20345, 37164, 57517
769, 6, 2, 0, 20230, 37279, 57517
775, 6, 2, 0, 20178, 37331, 57517
781, 6, 2, 0, 19906, 37603, 57517
787, 6, 3, 0, 19278, 38230, 57517
793, 6, 4, 0, 17972, 39535, 57517
799, 7, 4, 0, 16871, 40635, 57517
805, 9, 3, 0, 15872, 41633, 57517
811, 7, 4, 0, 14633, 42873, 57517
817, 7, 2, 0, 12763, 44745, 57517
823, 6, 4, 0, 11271, 46236, 57517
829, 6, 4, 0, 9531, 47976, 57517
835, 6, 14, 0, 8769, 48728, 57517
841, 6, 5, 0, 8692, 48814, 57517
847, 5, 7, 0, 8163, 49342, 57517
853, 4, 8, 0, 7981, 49524, 57517
859, 4, 6, 0, 7988, 49519, 57517
865, 3, 5, 0, 19401, 38108, 57517
871, 3, 7, 0, 27500, 30007, 57517
877, 3, 6, 0, 36263, 21245, 57517
883, 3, 6, 0, 41618, 15890, 57517
889, 5, 86, 0, 44163, 13263, 57517
895, 4, 89, 0, 44883, 12541, 57517
901, 3, 92, 0, 47946, 9476, 57517
907, 3, 92, 0, 49103, 8319, 57517
913, 2032, 96, 0, 40495, 14894, 57517
919, 2194, 96, 0, 40093, 15134, 57517
925, 2582, 97, 0, 39918, 14920, 57517
931, 2513, 98, 0, 38698, 16208, 57517
937, 2534, 98, 0, 37641, 17244, 57517
943, 2917, 97, 0, 38050, 16453, 57517
949, 2976, 96, 0, 10271, 44174, 57517
955, 3000, 95, 0, 12695, 41727, 57517
961, 2992, 95, 0, 16744, 37686, 57517
967, 3082, 95, 0, 20869, 33471, 57517
973, 3095, 96, 0, 23963, 30363, 57517
979, 3132, 95, 0, 26708, 27582, 57517
985, 3107, 96, 0, 28544, 25770, 57517
991, 3225, 96, 0, 28753, 25443, 57517
997, 3227, 95, 0, 31542, 22653, 57517
1003, 3208, 96, 0, 33356, 20857, 57517
1009, 3315, 96, 0, 30292, 23814, 57517
1015, 2985, 97, 0, 29690, 24745, 57517
1021, 2903, 95, 0, 30995, 23524, 57517
1027, 3049, 96, 0, 33879, 20493, 57517
1033, 2856, 96, 0, 31081, 23484, 57517
1039, 3120, 96, 0, 5335, 48966, 57517
1045, 3095, 97, 0, 9205, 45120, 57517
1051, 3161, 98, 0, 12775, 41483, 57517
1057, 3179, 98, 0, 15315, 38925, 57517
1063, 3366, 98, 0, 19367, 34686, 57517
1069, 3450, 99, 0, 23704, 30264, 57517
1075, 3524, 100, 0, 26034, 27859, 57517
1081, 3582, 100, 0, 26562, 27273, 57517
1087, 3672, 99, 0, 27776, 25970, 57517
1093, 3798, 98, 0, 30352, 23269, 57517
1099, 3765, 98, 0, 32780, 20874, 57517
1105, 3619, 98, 0, 30470, 23330, 57517
1111, 3383, 98, 0, 31645, 22391, 57517
1117, 3333, 97, 0, 33269, 20818, 57517
1123, 3312, 96, 0, 33999, 20110, 57517
1129, 3339, 95, 0, 34194, 19889, 57517
1135, 3343, 95, 0, 10598, 43481, 57517
1141, 3434, 95, 0, 12884, 41104, 57517
1147, 3312, 96, 0, 17615, 36494, 57517
1153, 3263, 96, 0, 18697, 35461, 57517
1159, 3569, 96, 0, 20901, 32951, 57517
1165, 3452, 95, 0, 26772, 27198, 57517
1171, 3503, 95, 0, 28519, 25400, 57517
1177, 3398, 95, 0, 27598, 26426, 57517
1183, 3388, 95, 0, 5124, 48910, 57517
1189, 3208, 94, 0, 8795, 45420, 57517
1195, 3171, 95, 0, 13334, 40917, 57517
1201, 3193, 94, 0, 19247, 34983, 57517
1207, 3108, 94, 0, 21909, 32406, 57517
1213, 3149, 94, 0, 10139, 44135, 57517
1219, 3249, 94, 0, 11833, 42341, 57517
1225, 3291, 93, 0, 19214, 34919, 57517
1231, 3226, 95, 0, 22505, 31691, 57517
1237, 3236, 95, 0, 25513, 28673, 57517
1243, 3254, 96, 0, 31392, 22775, 57517
1249, 3328, 95, 0, 31797, 22297, 57517
1255, 3314, 95, 0, 32392, 21716, 57517
1261, 3508, 95, 0, 33381, 20533, 57517
1267, 3678, 94, 0, 34693, 19052, 57517
1273, 3692, 95, 0, 34029, 19701, 57517
1279, 3645, 95, 0, 34951, 18826, 57517
1285, 3681, 95, 0, 34588, 19153, 57517
1291, 3647, 95, 0, 36537, 17238, 57517
1297, 3422, 96, 0, 34829, 19170, 57517
1303, 3531, 96, 0, 11298, 42592, 57517
1309, 3611, 96, 0, 14733, 39077, 57517
1315, 3426, 95, 0, 17286, 36710, 57517
1321, 3381, 94, 0, 18758, 35284, 57517
1327, 3273, 94, 0, 8043, 46107, 57517
1333, 3254, 94, 0, 12958, 41211, 57517
1339, 3402, 93, 0, 20124, 33898, 57517
1345, 3561, 93, 0, 22156, 31707, 57517
1351, 3407, 93, 0, 24850, 29167, 57517
1357, 3373, 95, 0, 28684, 25365, 57517
1363, 3449, 95, 0, 32454, 21519, 57517
1369, 3544, 94, 0, 32268, 21611, 57517
1375, 3651, 94, 0, 5300, 48472, 57517
1381, 3716, 94, 0, 6834, 46873, 57517
1387, 3679, 94, 0, 16858, 36886, 57517
1393, 3543, 94, 0, 24141, 29739, 57517
1399, 3635, 94, 0, 26304, 27484, 57517
1405, 3672, 95, 0, 28065, 25685, 57517
1411, 3580, 94, 0, 33900, 19943, 57517
1417, 3519, 94, 0, 34870, 19034, 57517
1423, 3584, 95, 0, 34360, 19478, 57517
1429, 3597, 94, 0, 35451, 18375, 57517
1435, 3664, 94, 0, 37164, 16595, 57517
1441, 3580, 96, 0, 36715, 17126, 57517
1447, 3489, 97, 0, 37518, 16413, 57517
1453, 3456, 97, 0, 39647, 14317, 57517
1459, 3488, 97, 0, 39797, 14135, 57517
1465, 3621, 96, 0, 37949, 15851, 57517
1471, 3593, 97, 0, 12802, 41025, 57517
1477, 3563, 97, 0, 15861, 37996, 57517
1483, 3616, 97, 0, 20797, 33007, 57517
1489, 3476, 97, 0, 24199, 29745, 57517
1495, 3422, 97, 0, 27561, 26437, 57517
1501, 3327, 96, 0, 30548, 23546, 57517
1507, 3599, 96, 0, 32465, 21357, 57517
1513, 3527, 96, 0, 32981, 20913, 57517
1519, 3450, 96, 0, 32323, 21648, 57517
1525, 3326, 98, 0, 33807, 20286, 57517
1531, 3435, 98, 0, 34478, 19506, 57517
1537, 3323, 98, 0, 29894, 24202, 57517
1543, 3454, 98, 0, 7524, 46441, 57517
1549, 3431, 98, 0, 8833, 45155, 57517
1555, 3545, 97, 0, 15922, 37953, 57517
1561, 3588, 97, 0, 24040, 29792, 57517
1567, 3739, 97, 0, 27947, 25734, 57517
1573, 3653, 97, 0, 32176, 21591, 57517
1579, 3622, 96, 0, 35736, 18063, 57517
1585, 3648, 95, 0, 33796, 19978, 57517
1591, 3445, 95, 0, 34733, 19244, 57517
1597, 3459, 95, 0, 36289, 17674, 57517
1603, 3194, 95, 0, 38136, 16092, 57517
1609, 3369, 93, 0, 38112, 15943, 57517
1615, 3274, 93, 0, 38867, 15283, 57517
1621, 3398, 94, 0, 39865, 14160, 57517
1627, 3258, 96, 0, 40841, 13322, 57517
1633, 3220, 97, 0, 37386, 16814, 57517
1639, 3395, 97, 0, 14433, 39592, 57517
1645, 3492, 95, 0, 16736, 37194, 57517
1651, 3627, 94, 0, 23577, 30219, 57517
1657, 3589, 95, 0, 24671, 29162, 57517
1663, 3528, 95, 0, 26483, 27411, 57517
1669, 3522, 95, 0, 28403, 25497, 57517
1675, 3664, 95, 0, 31967, 21791, 57517
1681, 3809, 96, 0, 30712, 22900, 57517
1687, 3582, 95, 0, 31902, 21938, 57517
1693, 3639, 95, 0, 33683, 20100, 57517
1699, 3729, 94, 0, 34896, 18798, 57517
1705, 3767, 95, 0, 33297, 20358, 57517
1711, 3806, 95, 0, 5958, 47658, 57517
1717, 3941, 94, 0, 6896, 46586, 57517
1723, 3676, 94, 0, 13154, 40593, 57517
1729, 3659, 94, 0, 16916, 36848, 57517
1735, 3553, 94, 0, 20641, 33229, 57517
1741, 3682, 95, 0, 23888, 29852, 57517
1747, 3639, 95, 0, 28647, 25136, 57517
