ts, default broker, CrocodileAgent, AgentUDE, total
1735, 7017, 26983, 23517, 57517
1741, 7003, 21748, 28766, 57517
1747, 6944, 14385, 36188, 57517
1753, 6865, 10422, 40230, 57517
1759, 6880, 8727, 41910, 57517
1765, 6951, 6036, 44530, 57517
1771, 6986, 4342, 46189, 57517
1777, 6995, 3110, 47412, 57517
1783, 6959, 2418, 48140, 57517
1789, 6979, 2314, 48224, 57517
