ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
1135, 3451, 314, 71, 53641, 33, 57510
1141, 3382, 157, 73, 53868, 30, 57510
1147, 3380, 126, 74, 53902, 28, 57510
1153, 3275, 103, 76, 54020, 36, 57510
1159, 3385, 103, 74, 53944, 4, 57510
1165, 3237, 103, 74, 54091, 5, 57510
1171, 3351, 105, 73, 53975, 6, 57510
1177, 3333, 112, 74, 53985, 6, 57510
1183, 3388, 216, 79, 53807, 20, 57510
1189, 3299, 482, 81, 53369, 279, 57510
1195, 3226, 481, 77, 53479, 247, 57510
1201, 3436, 511, 76, 53449, 38, 57510
1207, 3369, 615, 76, 53433, 17, 57510
1213, 3305, 640, 78, 53475, 12, 57510
1219, 3242, 672, 80, 53507, 9, 57510
1225, 3274, 588, 78, 53561, 9, 57510
1231, 3347, 398, 76, 53681, 8, 57510
1237, 3460, 362, 75, 53575, 38, 57510
1243, 3427, 596, 75, 53409, 3, 57510
1249, 3422, 391, 78, 53615, 4, 57510
1255, 3438, 572, 78, 53417, 5, 57510
1261, 3523, 615, 75, 53292, 5, 57510
1267, 3591, 673, 73, 53166, 7, 57510
1273, 3552, 759, 77, 53118, 4, 57510
1279, 3518, 730, 76, 53182, 4, 57510
1285, 3670, 697, 78, 53062, 3, 57510
1291, 3632, 610, 79, 53186, 3, 57510
1297, 3603, 578, 77, 53249, 3, 57510
1303, 3590, 488, 75, 53344, 13, 57510
1309, 3421, 337, 72, 53676, 4, 57510
1315, 3657, 217, 73, 53558, 5, 57510
1321, 3595, 152, 74, 53684, 5, 57510
1327, 3510, 128, 74, 53793, 5, 57510
1333, 3526, 98, 73, 53809, 4, 57510
1339, 3460, 98, 71, 53877, 4, 57510
1345, 3527, 130, 71, 53778, 4, 57510
1351, 3369, 833, 74, 53228, 6, 57510
1357, 3190, 1528, 78, 52603, 111, 57510
1363, 3299, 1850, 77, 52175, 109, 57510
1369, 3455, 1893, 76, 52082, 4, 57510
1375, 3590, 2020, 74, 51821, 5, 57510
1381, 3742, 2020, 74, 51669, 5, 57510
1387, 3934, 2085, 74, 51414, 3, 57510
1393, 3824, 1940, 76, 51630, 40, 57510
1399, 3918, 1592, 77, 51919, 4, 57510
1405, 3775, 1317, 79, 52306, 33, 57510
1411, 3752, 989, 79, 52687, 3, 57510
1417, 3694, 1125, 79, 52609, 3, 57510
1423, 3699, 879, 79, 52849, 4, 57510
1429, 3779, 964, 79, 52640, 48, 57510
1435, 3725, 962, 77, 52701, 45, 57510
1441, 3788, 792, 77, 52809, 44, 57510
1447, 3877, 663, 75, 52880, 15, 57510
1453, 3785, 594, 74, 53052, 5, 57510
1459, 3817, 544, 72, 53073, 4, 57510
1465, 3916, 404, 75, 53111, 4, 57510
1471, 3847, 274, 75, 53310, 4, 57510
1477, 3663, 254, 75, 53515, 3, 57510
1483, 3705, 174, 73, 53555, 3, 57510
1489, 3725, 145, 75, 53562, 3, 57510
1495, 3822, 115, 73, 53496, 4, 57510
1501, 3697, 114, 76, 53619, 4, 57510
1507, 3695, 114, 72, 53625, 4, 57510
1513, 3729, 300, 73, 53404, 4, 57510
1519, 3625, 547, 66, 53264, 8, 57510
1525, 3410, 1269, 71, 52752, 8, 57510
1531, 3510, 1269, 69, 52654, 8, 57510
1537, 3578, 1304, 67, 52555, 6, 57510
1543, 3536, 1302, 63, 52604, 5, 57510
1549, 3436, 1302, 67, 52702, 3, 57510
1555, 3419, 1351, 64, 52673, 3, 57510
1561, 3468, 1250, 63, 52726, 3, 57510
1567, 3501, 1064, 65, 52877, 3, 57510
1573, 3623, 891, 64, 52845, 87, 57510
1579, 3866, 871, 67, 52703, 3, 57510
1585, 3786, 782, 70, 52869, 3, 57510
1591, 3713, 647, 65, 53082, 3, 57510
1597, 3582, 913, 68, 52943, 4, 57510
1603, 3614, 812, 64, 53016, 4, 57510
1609, 3440, 820, 65, 53182, 3, 57510
1615, 3438, 731, 64, 53274, 3, 57510
1621, 3402, 666, 64, 53374, 4, 57510
1627, 3407, 623, 61, 53415, 4, 57510
1633, 3414, 535, 58, 53499, 4, 57510
1639, 3312, 343, 56, 53795, 4, 57510
1645, 3410, 243, 57, 53795, 5, 57510
1651, 3510, 212, 59, 53724, 5, 57510
1657, 3527, 181, 58, 53739, 5, 57510
1663, 3613, 190, 57, 53644, 6, 57510
1669, 3530, 191, 58, 53725, 6, 57510
1675, 3616, 144, 56, 53687, 7, 57510
1681, 3744, 387, 60, 53310, 9, 57510
1687, 3773, 1263, 62, 52404, 8, 57510
1693, 3833, 1959, 65, 51645, 8, 57510
1699, 3654, 1958, 66, 51825, 7, 57510
1705, 3721, 2000, 69, 51715, 5, 57510
1711, 3741, 2031, 67, 51667, 4, 57510
1717, 3654, 2030, 78, 51744, 4, 57510
1723, 3690, 2020, 78, 51717, 5, 57510
1729, 3593, 260, 72, 53580, 5, 57510
