ts, default broker, CrocodileAgent, SPOT, AgentUDE, Bunnie, total
1399, 6520, 5466, 90, 12647, 32786, 57509
1405, 6526, 4410, 90, 14822, 31661, 57509
1411, 6515, 3657, 90, 3956, 43291, 57509
1417, 6537, 2685, 90, 4484, 43713, 57509
1423, 6572, 2211, 90, 5138, 43498, 57509
1429, 6471, 1853, 90, 5080, 44015, 57509
1435, 6505, 1519, 90, 5107, 44288, 57509
1441, 6556, 1194, 90, 6395, 43274, 57509
1447, 6551, 960, 90, 6590, 43318, 57509
1453, 6468, 702, 90, 2041, 48208, 57509
1459, 6535, 469, 90, 2869, 47546, 57509
1465, 6601, 344, 90, 2894, 47580, 57509
1471, 6599, 331, 90, 3338, 47151, 57509
1477, 6758, 322, 90, 3931, 46408, 57509
1483, 6768, 805, 91, 4476, 45369, 57509
1489, 6750, 1882, 91, 4806, 43980, 57509
1495, 6714, 3863, 90, 556, 46286, 57509
1501, 6596, 5383, 90, 1142, 44298, 57509
1507, 6600, 6670, 90, 1379, 42770, 57509
1513, 6576, 8556, 90, 1622, 40665, 57509
1519, 6454, 8901, 90, 2052, 40012, 57509
1525, 6615, 8823, 90, 2375, 39606, 57509
1531, 6675, 8781, 196, 2699, 39158, 57509
1537, 6698, 8757, 196, 612, 41246, 57509
1543, 6609, 8807, 196, 611, 41286, 57509
1549, 6576, 8840, 196, 615, 41282, 57509
1555, 6610, 8603, 196, 1066, 41034, 57509
1561, 6625, 7993, 196, 1234, 41461, 57509
1567, 6573, 6928, 196, 1599, 42213, 57509
1573, 6618, 6338, 137, 1606, 42810, 57509
1579, 6690, 5425, 121, 124, 45149, 57509
1585, 6554, 3617, 121, 263, 46954, 57509
1591, 6570, 2691, 91, 312, 47845, 57509
1597, 6741, 1883, 91, 481, 48313, 57509
1603, 6656, 1562, 91, 515, 48685, 57509
1609, 6717, 1177, 91, 510, 49014, 57509
1615, 6571, 833, 91, 651, 49363, 57509
1621, 6562, 690, 91, 730, 49436, 57509
1627, 6606, 614, 91, 928, 49270, 57509
1633, 6567, 585, 91, 1509, 48757, 57509
1639, 6633, 405, 91, 2854, 47526, 57509
1645, 6685, 350, 91, 2316, 48067, 57509
1651, 6654, 889, 92, 1502, 48372, 57509
1657, 6653, 2563, 91, 1612, 46590, 57509
1663, 6669, 3692, 90, 183, 46875, 57509
1669, 6545, 6233, 91, 598, 44042, 57509
1675, 6346, 6953, 91, 786, 43333, 57509
1681, 6437, 7022, 91, 931, 43028, 57509
1687, 6330, 6977, 92, 1355, 42755, 57509
1693, 6505, 6956, 91, 1441, 42516, 57509
1699, 6563, 6894, 91, 1554, 42407, 57509
1705, 6607, 6817, 91, 740, 43254, 57509
1711, 6682, 6778, 90, 972, 42987, 57509
1717, 6759, 6693, 90, 1223, 42744, 57509
1723, 6715, 6634, 90, 1305, 42765, 57509
