ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
1087, 6746, 25271, 24954, 323, 216, 57510
1093, 6354, 30238, 20365, 336, 217, 57510
1099, 6396, 33461, 17222, 213, 218, 57510
1105, 6448, 37241, 13401, 203, 217, 57510
1111, 6552, 39963, 10609, 199, 187, 57510
1117, 6616, 42831, 7890, 170, 3, 57510
1123, 6840, 44483, 6014, 170, 3, 57510
1129, 6842, 45296, 5190, 178, 4, 57510
1135, 6899, 46180, 4246, 181, 4, 57510
1141, 6926, 47141, 3270, 169, 4, 57510
1147, 6898, 47081, 3370, 157, 4, 57510
1153, 6879, 45415, 5057, 154, 5, 57510
1159, 6871, 40226, 10023, 240, 150, 57510
1165, 6743, 36878, 13348, 221, 320, 57510
1171, 6604, 29295, 20864, 210, 537, 57510
1177, 6660, 26497, 23498, 178, 677, 57510
1183, 6706, 21365, 28482, 237, 720, 57510
1189, 6720, 17789, 31880, 228, 893, 57510
1195, 6724, 14046, 35552, 182, 1006, 57510
1201, 6730, 11230, 39030, 237, 283, 57510
1207, 6667, 9472, 40595, 312, 464, 57510
1213, 6703, 6588, 43158, 253, 808, 57510
1219, 6679, 5386, 44212, 333, 900, 57510
1225, 6723, 4162, 45094, 293, 1238, 57510
1231, 6744, 4233, 44557, 379, 1597, 57510
1237, 6687, 5039, 43498, 353, 1933, 57510
1243, 6708, 7661, 42813, 244, 84, 57510
1249, 6712, 13004, 37458, 252, 84, 57510
1255, 6763, 18509, 31960, 194, 84, 57510
1261, 6854, 28269, 22120, 183, 84, 57510
1267, 6896, 33143, 17225, 163, 83, 57510
1273, 6856, 38806, 11615, 149, 84, 57510
1279, 6809, 41431, 9064, 141, 65, 57510
1285, 6817, 44149, 6408, 133, 3, 57510
1291, 6692, 45898, 4795, 122, 3, 57510
1297, 6832, 47044, 3503, 128, 3, 57510
1303, 6840, 47549, 2997, 120, 4, 57510
1309, 6719, 48456, 2215, 115, 5, 57510
1315, 6730, 48294, 2349, 132, 5, 57510
1321, 6722, 46924, 3665, 149, 50, 57510
1327, 6773, 45618, 4979, 135, 5, 57510
1333, 6539, 42317, 8339, 227, 88, 57510
1339, 6627, 33578, 16826, 290, 189, 57510
1345, 6715, 25195, 24733, 361, 506, 57510
1351, 6752, 20077, 29621, 474, 586, 57510
1357, 6875, 18200, 31336, 466, 633, 57510
1363, 6876, 12612, 36626, 537, 859, 57510
1369, 6836, 11164, 38916, 589, 5, 57510
1375, 6897, 9452, 40682, 473, 6, 57510
1381, 6870, 7277, 42773, 438, 152, 57510
1387, 6796, 6501, 43449, 612, 152, 57510
1393, 6824, 5644, 44252, 639, 151, 57510
1399, 6818, 5186, 44824, 530, 152, 57510
1405, 6799, 5323, 44591, 507, 290, 57510
1411, 6662, 9728, 40340, 558, 222, 57510
1417, 6824, 12707, 37265, 501, 213, 57510
1423, 6873, 19362, 30793, 259, 223, 57510
1429, 6534, 28608, 21949, 255, 164, 57510
1435, 6506, 35475, 15164, 201, 164, 57510
1441, 6530, 37731, 12944, 201, 104, 57510
1447, 6708, 40778, 9744, 197, 83, 57510
1453, 6750, 43912, 6669, 176, 3, 57510
1459, 6761, 45770, 4827, 149, 3, 57510
1465, 6777, 50310, 270, 150, 3, 57510
1471, 6762, 50322, 275, 148, 3, 57510
1477, 6718, 50392, 282, 114, 4, 57510
1483, 6668, 50093, 627, 118, 4, 57510
1489, 6774, 48665, 1922, 120, 29, 57510
1495, 6794, 47150, 3328, 125, 113, 57510
1501, 6820, 42636, 7553, 211, 290, 57510
1507, 6845, 34171, 15953, 183, 358, 57510
1513, 6793, 30249, 19738, 162, 568, 57510
1519, 6811, 22978, 26794, 218, 709, 57510
1525, 6824, 20773, 28947, 143, 823, 57510
1531, 6823, 13991, 35468, 272, 956, 57510
1537, 6869, 9141, 41058, 297, 145, 57510
1543, 6781, 5700, 44662, 221, 146, 57510
1549, 6686, 4470, 45986, 182, 186, 57510
1555, 6746, 2773, 47474, 321, 196, 57510
1561, 6807, 2041, 47976, 461, 225, 57510
1567, 6789, 1918, 48123, 457, 223, 57510
1573, 6738, 2940, 47130, 479, 223, 57510
1579, 6669, 3496, 46859, 482, 4, 57510
1585, 6678, 7428, 42968, 298, 138, 57510
1591, 6654, 15757, 34608, 262, 229, 57510
1597, 6496, 21603, 28924, 259, 228, 57510
1603, 6608, 31763, 18803, 137, 199, 57510
1609, 6633, 37593, 13036, 139, 109, 57510
1615, 6789, 40145, 10321, 145, 110, 57510
1621, 6845, 42211, 8302, 147, 5, 57510
1627, 6872, 44339, 6155, 137, 7, 57510
1633, 6759, 45539, 5067, 137, 8, 57510
1639, 6815, 46271, 4288, 127, 9, 57510
1645, 6857, 47326, 3186, 132, 9, 57510
1651, 6835, 47292, 3233, 137, 13, 57510
1657, 6781, 46204, 4334, 117, 74, 57510
1663, 6780, 44720, 5841, 147, 22, 57510
1669, 6850, 40511, 9479, 227, 443, 57510
1675, 6838, 32703, 16155, 695, 1119, 57510
1681, 6865, 26782, 21880, 649, 1334, 57510
1687, 6853, 20643, 27855, 654, 1505, 57510
1693, 6754, 18689, 29914, 480, 1673, 57510
1699, 6820, 15480, 33022, 389, 1799, 57510
1705, 6773, 13017, 37153, 282, 285, 57510
1711, 6810, 11119, 38906, 359, 316, 57510
1717, 6770, 8210, 41910, 331, 289, 57510
1723, 6713, 5876, 44274, 337, 310, 57510
1729, 6787, 4722, 45492, 250, 259, 57510
1735, 6800, 3754, 46476, 182, 298, 57510
1741, 6902, 3537, 46564, 268, 239, 57510
1747, 6917, 5210, 45123, 187, 73, 57510
1753, 6945, 8849, 41475, 169, 72, 57510
1759, 6892, 18194, 32183, 170, 71, 57510
1765, 6917, 24253, 26146, 155, 39, 57510
