ts, default broker, EWIIS3, AgentUDE, total
733, 7090, 85, 50335, 57510
739, 7093, 86, 50331, 57510
745, 7093, 87, 50330, 57510
751, 7093, 86, 50331, 57510
757, 7094, 84, 50332, 57510
763, 7094, 84, 50332, 57510
769, 7094, 83, 50333, 57510
775, 7095, 82, 50333, 57510
781, 7101, 81, 50328, 57510
787, 7100, 80, 50330, 57510
793, 7100, 80, 50330, 57510
799, 7100, 81, 50329, 57510
805, 7101, 82, 50327, 57510
811, 7101, 81, 50328, 57510
817, 7102, 81, 50327, 57510
823, 7099, 81, 50330, 57510
829, 7100, 79, 50331, 57510
835, 7097, 82, 50331, 57510
841, 7097, 81, 50332, 57510
847, 7095, 82, 50333, 57510
853, 7095, 82, 50333, 57510
859, 7094, 80, 50336, 57510
865, 7095, 78, 50337, 57510
871, 7095, 75, 50340, 57510
877, 7095, 76, 50339, 57510
883, 7096, 75, 50339, 57510
889, 7094, 78, 50338, 57510
895, 7092, 80, 50338, 57510
901, 7092, 82, 50336, 57510
907, 7091, 80, 50339, 57510
913, 7092, 80, 50338, 57510
919, 7092, 79, 50339, 57510
925, 7092, 78, 50340, 57510
931, 7093, 68, 50349, 57510
937, 7092, 68, 50350, 57510
943, 7092, 68, 50350, 57510
949, 7093, 67, 50350, 57510
955, 7092, 70, 50348, 57510
961, 7092, 70, 50348, 57510
967, 7092, 71, 50347, 57510
973, 7092, 71, 50347, 57510
979, 7092, 71, 50347, 57510
985, 7091, 72, 50347, 57510
991, 7092, 71, 50347, 57510
997, 7092, 68, 50350, 57510
1003, 7091, 69, 50350, 57510
1009, 7091, 69, 50350, 57510
1015, 7091, 69, 50350, 57510
1021, 7092, 68, 50350, 57510
1027, 7093, 69, 50348, 57510
1033, 7092, 70, 50348, 57510
1039, 7092, 67, 50351, 57510
1045, 7091, 71, 50348, 57510
1051, 7091, 69, 50350, 57510
1057, 7091, 69, 50350, 57510
1063, 7092, 67, 50351, 57510
1069, 7093, 66, 50351, 57510
1075, 7092, 70, 50348, 57510
1081, 7092, 70, 50348, 57510
1087, 7093, 64, 50353, 57510
1093, 7093, 63, 50354, 57510
1099, 7094, 65, 50351, 57510
1105, 7093, 64, 50353, 57510
1111, 7094, 65, 50351, 57510
1117, 7093, 67, 50350, 57510
1123, 7093, 67, 50350, 57510
1129, 7095, 69, 50346, 57510
1135, 7095, 66, 50349, 57510
1141, 7094, 67, 50349, 57510
1147, 7093, 65, 50352, 57510
1153, 7093, 78, 50339, 57510
1159, 7094, 68, 50348, 57510
1165, 7094, 67, 50349, 57510
1171, 7093, 67, 50350, 57510
1177, 7094, 65, 50351, 57510
1183, 7095, 64, 50351, 57510
1189, 7093, 66, 50351, 57510
1195, 7092, 64, 50354, 57510
1201, 7092, 63, 50355, 57510
1207, 7091, 64, 50355, 57510
1213, 7091, 65, 50354, 57510
1219, 7091, 66, 50353, 57510
1225, 7091, 67, 50352, 57510
1231, 7090, 66, 50354, 57510
1237, 7090, 66, 50354, 57510
1243, 7091, 63, 50356, 57510
1249, 7093, 63, 50354, 57510
1255, 7093, 63, 50354, 57510
1261, 7093, 62, 50355, 57510
1267, 7094, 64, 50352, 57510
1273, 7093, 64, 50353, 57510
1279, 7093, 66, 50351, 57510
1285, 7091, 77, 50342, 57510
1291, 7092, 66, 50352, 57510
1297, 7092, 68, 50350, 57510
1303, 7094, 67, 50349, 57510
1309, 7093, 68, 50349, 57510
1315, 7093, 68, 50349, 57510
1321, 7093, 67, 50350, 57510
1327, 7100, 67, 50343, 57510
1333, 7100, 65, 50345, 57510
1339, 7101, 63, 50346, 57510
1345, 7099, 65, 50346, 57510
1351, 7099, 64, 50347, 57510
1357, 7099, 64, 50347, 57510
1363, 7099, 63, 50348, 57510
1369, 7098, 68, 50344, 57510
1375, 7097, 67, 50346, 57510
1381, 7097, 65, 50348, 57510
1387, 7096, 67, 50347, 57510
1393, 7095, 65, 50350, 57510
1399, 7095, 64, 50351, 57510
1405, 7096, 63, 50351, 57510
1411, 7103, 65, 50342, 57510
1417, 7103, 68, 50339, 57510
1423, 7103, 64, 50343, 57510
1429, 7103, 64, 50343, 57510
1435, 7103, 64, 50343, 57510
1441, 7104, 61, 50345, 57510
1447, 7104, 63, 50343, 57510
1453, 7104, 66, 50340, 57510
1459, 7103, 67, 50340, 57510
1465, 7103, 64, 50343, 57510
1471, 7103, 64, 50343, 57510
1477, 7103, 65, 50342, 57510
1483, 7103, 68, 50339, 57510
1489, 7103, 67, 50340, 57510
1495, 7101, 65, 50344, 57510
1501, 7099, 64, 50347, 57510
1507, 7098, 62, 50350, 57510
1513, 7097, 60, 50353, 57510
1519, 7098, 60, 50352, 57510
1525, 7097, 62, 50351, 57510
1531, 7095, 63, 50352, 57510
1537, 7102, 64, 50344, 57510
1543, 7102, 64, 50344, 57510
1549, 7103, 63, 50344, 57510
1555, 7103, 63, 50344, 57510
1561, 7103, 64, 50343, 57510
1567, 7102, 66, 50342, 57510
1573, 7101, 66, 50343, 57510
1579, 7101, 67, 50342, 57510
1585, 7101, 64, 50345, 57510
1591, 7100, 65, 50345, 57510
1597, 7100, 67, 50343, 57510
1603, 7099, 67, 50344, 57510
1609, 7099, 66, 50345, 57510
1615, 7099, 67, 50344, 57510
1621, 7098, 70, 50342, 57510
1627, 7094, 69, 50347, 57510
1633, 7094, 67, 50349, 57510
1639, 7093, 69, 50348, 57510
1645, 7092, 69, 50349, 57510
1651, 7093, 69, 50348, 57510
1657, 7093, 68, 50349, 57510
1663, 7095, 79, 50336, 57510
1669, 7095, 68, 50347, 57510
1675, 7094, 68, 50348, 57510
1681, 7094, 67, 50349, 57510
1687, 7095, 67, 50348, 57510
1693, 7093, 67, 50350, 57510
1699, 7094, 67, 50349, 57510
1705, 7094, 68, 50348, 57510
1711, 7094, 65, 50351, 57510
1717, 7094, 63, 50353, 57510
1723, 7094, 63, 50353, 57510
1729, 7095, 63, 50352, 57510
1735, 7095, 65, 50350, 57510
1741, 7094, 65, 50351, 57510
1747, 7093, 67, 50350, 57510
1753, 7092, 68, 50350, 57510
1759, 7092, 66, 50352, 57510
1765, 7091, 66, 50353, 57510
1771, 7091, 68, 50351, 57510
1777, 7091, 66, 50353, 57510
1783, 7091, 66, 50353, 57510
