ts, default broker, CrocodileAgent, SPOT, total
709, 6957, 50546, 0, 57503
715, 6980, 50523, 0, 57503
721, 6900, 50603, 0, 57503
727, 6828, 50675, 0, 57503
733, 6764, 50739, 0, 57503
739, 6870, 50633, 0, 57503
745, 6910, 50593, 0, 57503
751, 6911, 50592, 0, 57503
757, 6965, 50538, 0, 57503
763, 7008, 50495, 0, 57503
769, 6912, 50591, 0, 57503
775, 6933, 50570, 0, 57503
781, 6860, 50643, 0, 57503
787, 6841, 50662, 0, 57503
793, 6953, 50550, 0, 57503
799, 6852, 50651, 0, 57503
805, 6856, 50647, 0, 57503
811, 6832, 50671, 0, 57503
817, 6785, 50718, 0, 57503
823, 6866, 50637, 0, 57503
829, 6950, 50553, 0, 57503
835, 6924, 50579, 0, 57503
841, 6969, 50534, 0, 57503
847, 6891, 50612, 0, 57503
853, 6724, 50779, 0, 57503
859, 6735, 50768, 0, 57503
865, 6779, 50724, 0, 57503
871, 6706, 50797, 0, 57503
877, 6654, 50849, 0, 57503
883, 6757, 50746, 0, 57503
889, 6851, 50652, 0, 57503
895, 6777, 50726, 0, 57503
901, 6851, 50652, 0, 57503
907, 6942, 50561, 0, 57503
913, 6854, 50649, 0, 57503
919, 6829, 50674, 0, 57503
925, 6651, 50852, 0, 57503
931, 6611, 50892, 0, 57503
937, 6701, 50802, 0, 57503
943, 6781, 50722, 0, 57503
949, 6892, 50611, 0, 57503
955, 6907, 50596, 0, 57503
961, 6862, 50641, 0, 57503
967, 6905, 50598, 0, 57503
973, 6798, 50705, 0, 57503
979, 6703, 50800, 0, 57503
985, 6777, 50726, 0, 57503
991, 6819, 50684, 0, 57503
997, 6849, 50654, 0, 57503
1003, 6896, 50607, 0, 57503
1009, 6746, 50757, 0, 57503
1015, 6719, 50784, 0, 57503
1021, 6795, 50708, 0, 57503
1027, 6763, 50740, 0, 57503
1033, 6861, 50642, 0, 57503
1039, 6862, 50641, 0, 57503
1045, 6883, 50620, 0, 57503
1051, 6823, 50680, 0, 57503
1057, 6830, 50673, 0, 57503
1063, 6829, 50674, 0, 57503
1069, 6950, 50553, 0, 57503
1075, 6918, 50585, 0, 57503
1081, 6910, 50593, 0, 57503
1087, 6885, 50618, 0, 57503
1093, 6888, 50615, 0, 57503
1099, 6860, 50643, 0, 57503
1105, 6887, 50616, 0, 57503
1111, 6784, 50719, 0, 57503
1117, 6956, 50547, 0, 57503
1123, 6768, 50735, 0, 57503
1129, 6846, 50657, 0, 57503
1135, 6869, 50634, 0, 57503
1141, 6831, 50672, 0, 57503
1147, 6870, 50633, 0, 57503
1153, 6874, 50629, 0, 57503
1159, 6967, 50536, 0, 57503
1165, 7029, 50474, 0, 57503
1171, 6885, 50618, 0, 57503
1177, 6799, 50704, 0, 57503
1183, 6705, 50798, 0, 57503
1189, 6721, 50782, 0, 57503
1195, 6788, 50715, 0, 57503
1201, 6774, 50729, 0, 57503
1207, 6871, 50632, 0, 57503
1213, 6870, 50633, 0, 57503
1219, 6815, 50688, 0, 57503
1225, 6807, 50696, 0, 57503
1231, 6818, 50685, 0, 57503
1237, 6846, 50657, 0, 57503
1243, 6939, 50564, 0, 57503
1249, 6956, 50547, 0, 57503
1255, 7028, 50475, 0, 57503
1261, 6989, 50514, 0, 57503
1267, 6989, 50514, 0, 57503
1273, 6913, 50590, 0, 57503
1279, 6834, 50669, 0, 57503
1285, 6879, 50624, 0, 57503
1291, 6842, 50661, 0, 57503
1297, 6898, 50605, 0, 57503
1303, 6835, 50668, 0, 57503
1309, 6840, 50663, 0, 57503
1315, 6909, 50594, 0, 57503
1321, 6972, 50531, 0, 57503
1327, 6843, 50660, 0, 57503
1333, 6449, 51054, 0, 57503
1339, 6675, 50828, 0, 57503
1345, 6793, 50710, 0, 57503
1351, 6790, 50713, 0, 57503
1357, 6835, 50668, 0, 57503
1363, 6840, 50663, 0, 57503
1369, 6874, 50629, 0, 57503
1375, 6775, 50728, 0, 57503
1381, 6876, 50627, 0, 57503
1387, 6885, 50618, 0, 57503
1393, 6869, 50634, 0, 57503
1399, 6939, 50564, 0, 57503
1405, 6933, 50570, 0, 57503
1411, 6935, 50568, 0, 57503
1417, 6915, 50588, 0, 57503
1423, 6877, 50626, 0, 57503
1429, 6797, 50706, 0, 57503
1435, 6761, 50742, 0, 57503
1441, 6778, 50725, 0, 57503
1447, 6704, 50799, 0, 57503
1453, 6722, 50781, 0, 57503
1459, 6720, 50783, 0, 57503
1465, 6694, 50809, 0, 57503
1471, 6783, 50720, 0, 57503
1477, 6922, 50581, 0, 57503
1483, 6904, 50599, 0, 57503
1489, 6980, 50523, 0, 57503
1495, 6831, 50672, 0, 57503
1501, 6650, 50853, 0, 57503
1507, 6785, 50718, 0, 57503
1513, 6780, 50723, 0, 57503
1519, 6834, 50669, 0, 57503
1525, 6907, 50596, 0, 57503
1531, 6957, 50546, 0, 57503
1537, 7013, 50490, 0, 57503
1543, 6932, 50571, 0, 57503
1549, 6882, 50621, 0, 57503
1555, 6919, 50584, 0, 57503
1561, 6886, 50617, 0, 57503
1567, 6792, 50711, 0, 57503
1573, 6807, 50696, 0, 57503
1579, 6856, 50647, 0, 57503
1585, 6912, 50591, 0, 57503
1591, 6848, 50655, 0, 57503
1597, 6899, 50604, 0, 57503
1603, 6915, 50588, 0, 57503
1609, 6930, 50573, 0, 57503
1615, 6911, 50592, 0, 57503
1621, 6827, 50676, 0, 57503
1627, 6776, 50727, 0, 57503
1633, 6864, 50639, 0, 57503
1639, 6763, 50740, 0, 57503
1645, 6337, 51166, 0, 57503
1651, 6426, 51077, 0, 57503
1657, 6508, 50995, 0, 57503
1663, 6781, 50722, 0, 57503
1669, 6862, 50641, 0, 57503
1675, 6917, 50586, 0, 57503
1681, 6898, 50605, 0, 57503
1687, 6847, 50656, 0, 57503
1693, 6857, 50646, 0, 57503
1699, 6869, 50634, 0, 57503
1705, 6803, 50700, 0, 57503
1711, 6814, 50689, 0, 57503
1717, 6926, 50577, 0, 57503
1723, 6894, 50609, 0, 57503
1729, 6876, 50627, 0, 57503
1735, 6905, 50598, 0, 57503
1741, 6913, 50590, 0, 57503
1747, 6879, 50624, 0, 57503
1753, 6936, 50567, 0, 57503
1759, 6956, 50547, 0, 57503
1765, 6803, 50700, 0, 57503
1771, 6887, 50616, 0, 57503
1777, 6868, 50635, 0, 57503
1783, 6889, 50614, 0, 57503
1789, 6806, 50697, 0, 57503
1795, 6829, 50674, 0, 57503
1801, 6872, 50631, 0, 57503
1807, 6917, 50586, 0, 57503
1813, 6850, 50653, 0, 57503
1819, 6798, 50705, 0, 57503
1825, 6848, 50655, 0, 57503
1831, 6907, 50596, 0, 57503
1837, 6861, 50642, 0, 57503
1843, 6890, 50613, 0, 57503
1849, 6870, 50633, 0, 57503
1855, 6905, 50598, 0, 57503
1861, 6925, 50578, 0, 57503
1867, 6939, 50564, 0, 57503
1873, 6841, 50662, 0, 57503
1879, 6905, 50598, 0, 57503
1885, 6887, 50616, 0, 57503
1891, 6910, 50593, 0, 57503
1897, 6921, 50582, 0, 57503
1903, 6950, 50553, 0, 57503
1909, 6983, 50520, 0, 57503
1915, 6930, 50573, 0, 57503
1921, 6953, 50550, 0, 57503
1927, 6886, 50617, 0, 57503
