ts, default broker, SPOT, COLDPower18, VidyutVanika, Bunnie, total
1093, 3289, 96, 0, 32498, 21628, 57511
1099, 3380, 93, 0, 34237, 19801, 57511
1105, 3494, 94, 0, 32285, 21638, 57511
1111, 3536, 95, 0, 31633, 22247, 57511
1117, 3485, 95, 0, 32605, 21326, 57511
1123, 3571, 95, 0, 33988, 19857, 57511
1129, 3486, 96, 0, 33305, 20624, 57511
1135, 3425, 96, 0, 33363, 20627, 57511
1141, 3572, 96, 0, 33746, 20097, 57511
1147, 3564, 95, 0, 33397, 20455, 57511
1153, 3543, 97, 0, 31583, 22288, 57511
1159, 3515, 107, 0, 5650, 48239, 57511
1165, 3462, 108, 0, 6367, 47574, 57511
1171, 3543, 97, 0, 14359, 39512, 57511
1177, 3393, 99, 0, 17913, 36106, 57511
1183, 3423, 99, 0, 20119, 33870, 57511
1189, 3406, 100, 0, 25085, 28920, 57511
1195, 3437, 100, 0, 26333, 27641, 57511
1201, 3348, 100, 0, 27739, 26324, 57511
1207, 3243, 98, 0, 28510, 25660, 57511
1213, 3155, 98, 0, 29255, 25003, 57511
1219, 3267, 176, 0, 31167, 22901, 57511
1225, 3608, 177, 0, 34178, 19548, 57511
1231, 3479, 236, 0, 14581, 39215, 57511
1237, 3545, 233, 0, 17727, 36006, 57511
1243, 3539, 237, 0, 25848, 27887, 57511
1249, 3539, 234, 0, 28166, 25572, 57511
1255, 3603, 235, 0, 27911, 25762, 57511
1261, 3797, 201, 0, 29945, 23568, 57511
1267, 3721, 184, 0, 34971, 18635, 57511
1273, 3736, 155, 0, 32877, 20743, 57511
1279, 3604, 126, 0, 30047, 23734, 57511
1285, 3496, 270, 0, 30774, 22971, 57511
1291, 3496, 271, 0, 32205, 21539, 57511
1297, 3460, 242, 0, 31476, 22333, 57511
1303, 3329, 242, 0, 4507, 49433, 57511
1309, 3364, 242, 0, 6131, 47774, 57511
1315, 3379, 242, 0, 12067, 41823, 57511
1321, 3277, 244, 0, 19549, 34441, 57511
1327, 3241, 213, 0, 20380, 33677, 57511
1333, 3215, 188, 0, 11701, 42407, 57511
1339, 3176, 128, 0, 20091, 34116, 57511
1345, 3116, 128, 0, 23729, 30538, 57511
1351, 3389, 128, 0, 26795, 27199, 57511
1357, 3357, 97, 0, 33329, 20728, 57511
1363, 3410, 96, 0, 34426, 19579, 57511
1369, 3598, 98, 0, 33055, 20760, 57511
1375, 3422, 98, 0, 34485, 19506, 57511
1381, 3364, 98, 0, 36509, 17540, 57511
1387, 3361, 97, 0, 36899, 17154, 57511
1393, 3263, 96, 0, 35471, 18681, 57511
1399, 3237, 168, 0, 19539, 34567, 57511
1405, 3239, 166, 0, 21136, 32970, 57511
1411, 3422, 167, 0, 24630, 29292, 57511
1417, 3555, 167, 0, 28415, 25374, 57511
1423, 3441, 169, 0, 28049, 25852, 57511
1429, 3336, 170, 0, 29906, 24099, 57511
1435, 3214, 170, 0, 31442, 22685, 57511
1441, 3114, 140, 0, 31958, 22299, 57511
1447, 3037, 140, 0, 30675, 23659, 57511
1453, 3060, 127, 0, 32006, 22318, 57511
1459, 2944, 98, 0, 35091, 19378, 57511
1465, 3155, 98, 0, 34638, 19620, 57511
1471, 3208, 109, 0, 5829, 48365, 57511
1477, 3217, 98, 0, 8272, 45924, 57511
1483, 3273, 98, 0, 14117, 40023, 57511
1489, 3348, 94, 0, 18991, 35078, 57511
1495, 3357, 96, 0, 5738, 48320, 57511
1501, 3360, 96, 0, 14863, 39192, 57511
1507, 3233, 96, 0, 19926, 34256, 57511
1513, 3235, 96, 0, 22460, 31720, 57511
1519, 3142, 96, 0, 24055, 30218, 57511
1525, 3144, 94, 0, 30942, 23331, 57511
1531, 3152, 94, 0, 34202, 20063, 57511
1537, 3415, 93, 0, 32604, 21399, 57511
1543, 3274, 95, 0, 34630, 19512, 57511
1549, 3312, 95, 0, 36314, 17790, 57511
1555, 3282, 96, 0, 37217, 16916, 57511
1561, 3298, 99, 0, 35997, 18117, 57511
1567, 3221, 101, 0, 18894, 35295, 57511
1573, 3363, 99, 0, 20921, 33128, 57511
1579, 3390, 107, 0, 25498, 28516, 57511
1585, 3371, 106, 0, 25676, 28358, 57511
1591, 3186, 96, 0, 26705, 27524, 57511
1597, 3278, 97, 0, 31363, 22773, 57511
1603, 3222, 99, 0, 32287, 21903, 57511
1609, 3118, 98, 0, 30511, 23784, 57511
1615, 3071, 99, 0, 29894, 24447, 57511
1621, 2998, 97, 0, 31874, 22542, 57511
1627, 3012, 96, 0, 33095, 21308, 57511
1633, 3084, 97, 0, 33542, 20788, 57511
1639, 3163, 98, 0, 32972, 21278, 57511
1645, 3259, 97, 0, 35268, 18887, 57511
1651, 3311, 96, 0, 37165, 16939, 57511
1657, 3544, 94, 0, 33788, 20085, 57511
1663, 3573, 49, 0, 5528, 48361, 57511
1669, 3419, 47, 0, 6489, 47556, 57511
1675, 3772, 49, 0, 15292, 38398, 57511
1681, 3630, 40, 0, 21209, 32632, 57511
