ts, default broker, SPOT, EWIIS3, total
685, 7017, 4384, 46117, 57518
691, 7017, 4594, 45907, 57518
697, 7017, 4230, 46271, 57518
703, 7017, 4350, 46151, 57518
709, 7017, 4820, 45681, 57518
715, 7018, 4881, 45619, 57518
721, 7019, 5505, 44994, 57518
727, 7020, 6067, 44431, 57518
733, 7020, 7721, 42777, 57518
739, 7019, 8610, 41889, 57518
745, 7019, 12037, 38462, 57518
751, 7019, 13092, 37407, 57518
757, 7021, 14678, 35819, 57518
763, 7020, 14943, 35555, 57518
769, 7020, 16026, 34472, 57518
775, 7020, 15203, 35295, 57518
781, 7020, 15442, 35056, 57518
787, 7019, 14424, 36075, 57518
793, 7020, 14340, 36158, 57518
799, 7021, 13004, 37493, 57518
805, 7020, 14363, 36135, 57518
811, 7019, 13506, 36993, 57518
817, 7019, 14588, 35911, 57518
823, 7020, 14431, 36067, 57518
829, 7020, 15893, 34605, 57518
835, 7019, 16289, 34210, 57518
841, 7019, 18668, 31831, 57518
847, 7019, 18637, 31862, 57518
853, 7019, 20387, 30112, 57518
859, 7019, 20221, 30278, 57518
865, 7018, 20533, 29967, 57518
871, 7018, 18644, 31856, 57518
877, 7018, 18162, 32338, 57518
883, 7018, 17396, 33104, 57518
889, 7019, 18193, 32306, 57518
895, 7018, 17352, 33148, 57518
901, 7018, 16993, 33507, 57518
907, 7018, 17335, 33165, 57518
913, 7019, 19141, 31358, 57518
919, 7019, 18041, 32458, 57518
925, 7019, 18955, 31544, 57518
931, 7021, 19719, 30778, 57518
937, 7020, 21185, 29313, 57518
943, 7019, 20949, 29550, 57518
949, 7018, 20139, 30361, 57518
955, 7019, 20806, 29693, 57518
961, 7019, 22145, 28354, 57518
967, 7019, 21111, 29388, 57518
973, 7019, 19522, 30977, 57518
979, 7018, 19845, 30655, 57518
985, 7018, 20938, 29562, 57518
991, 7018, 20010, 30490, 57518
997, 7019, 20507, 29992, 57518
1003, 7020, 21093, 29405, 57518
1009, 7045, 22897, 27576, 57518
1015, 7039, 22608, 27871, 57518
1021, 7045, 23211, 27262, 57518
1027, 7055, 23318, 27145, 57518
1033, 7048, 25358, 25112, 57518
1039, 7040, 23825, 26653, 57518
1045, 7026, 23511, 26981, 57518
1051, 7023, 23431, 27064, 57518
1057, 7019, 26391, 24108, 57518
1063, 7019, 26557, 23942, 57518
1069, 7018, 27953, 22547, 57518
1075, 7018, 26592, 23908, 57518
1081, 7018, 28474, 22026, 57518
1087, 7018, 28317, 22183, 57518
1093, 7017, 29050, 21451, 57518
1099, 7017, 28384, 22117, 57518
1105, 7017, 29903, 20598, 57518
1111, 7018, 28386, 22114, 57518
1117, 7019, 27592, 22907, 57518
1123, 7019, 24660, 25839, 57518
1129, 7017, 24591, 25910, 57518
1135, 7017, 21691, 28810, 57518
1141, 7017, 20753, 29748, 57518
1147, 7017, 18384, 32117, 57518
1153, 7017, 19909, 30592, 57518
1159, 7017, 19386, 31115, 57518
1165, 7017, 19685, 30816, 57518
1171, 7017, 18738, 31763, 57518
1177, 7017, 19404, 31097, 57518
1183, 7017, 18099, 32402, 57518
1189, 7017, 19858, 30643, 57518
1195, 7018, 19602, 30898, 57518
1201, 7020, 19909, 30589, 57518
1207, 7020, 17308, 33190, 57518
1213, 7020, 19366, 31132, 57518
1219, 7019, 20056, 30443, 57518
1225, 7019, 23169, 27330, 57518
1231, 7018, 23190, 27310, 57518
1237, 7017, 24924, 25577, 57518
1243, 7017, 24696, 25805, 57518
1249, 7017, 26884, 23617, 57518
1255, 7017, 26192, 24309, 57518
1261, 7017, 27369, 23132, 57518
1267, 7017, 26031, 24470, 57518
1273, 7018, 26284, 24216, 57518
1279, 7018, 24942, 25558, 57518
1285, 7018, 25443, 25057, 57518
1291, 7018, 24285, 26215, 57518
1297, 7018, 25330, 25170, 57518
1303, 7018, 22188, 28312, 57518
1309, 7018, 23427, 27073, 57518
1315, 7018, 22425, 28075, 57518
1321, 7018, 24102, 26398, 57518
1327, 7018, 23831, 26669, 57518
1333, 7018, 23921, 26579, 57518
1339, 7017, 24405, 26096, 57518
1345, 7017, 25771, 24730, 57518
1351, 7018, 23306, 27194, 57518
1357, 7020, 23320, 27178, 57518
1363, 7020, 23118, 27380, 57518
1369, 7020, 24443, 26055, 57518
1375, 7020, 23473, 27025, 57518
1381, 7020, 24806, 25692, 57518
1387, 7020, 24676, 25822, 57518
1393, 7020, 27138, 23360, 57518
1399, 7020, 26220, 24278, 57518
1405, 7020, 27128, 23370, 57518
1411, 7020, 25156, 25342, 57518
1417, 7019, 26263, 24236, 57518
1423, 7019, 26926, 23573, 57518
1429, 7019, 27253, 23246, 57518
1435, 7019, 25254, 25245, 57518
1441, 7019, 26500, 23999, 57518
1447, 7020, 25861, 24637, 57518
1453, 7020, 26914, 23584, 57518
1459, 7018, 25685, 24815, 57518
1465, 7018, 26542, 23958, 57518
1471, 7018, 25622, 24878, 57518
1477, 7018, 25644, 24856, 57518
1483, 7018, 24181, 26319, 57518
1489, 7019, 24731, 25768, 57518
1495, 7019, 23755, 26744, 57518
1501, 7018, 23548, 26952, 57518
1507, 7018, 23194, 27306, 57518
1513, 7018, 25374, 25126, 57518
1519, 7018, 22948, 27552, 57518
1525, 7018, 24606, 25894, 57518
1531, 7018, 25827, 24673, 57518
1537, 7019, 29158, 21341, 57518
1543, 7019, 28546, 21953, 57518
1549, 7018, 29736, 20764, 57518
1555, 7018, 30766, 19734, 57518
1561, 7020, 31337, 19161, 57518
1567, 7019, 30363, 20136, 57518
1573, 7019, 30879, 19620, 57518
1579, 7019, 31155, 19344, 57518
1585, 7020, 34708, 15790, 57518
1591, 7020, 32649, 17849, 57518
1597, 7021, 33489, 17008, 57518
1603, 7021, 34983, 15514, 57518
1609, 7021, 36021, 14476, 57518
1615, 7022, 34373, 16123, 57518
1621, 7022, 34746, 15750, 57518
1627, 7022, 34432, 16064, 57518
1633, 7022, 35646, 14850, 57518
1639, 7021, 32937, 17560, 57518
1645, 7020, 32704, 17794, 57518
1651, 7022, 31159, 19337, 57518
1657, 7022, 30931, 19565, 57518
1663, 7021, 23286, 27211, 57518
1669, 7022, 23908, 26588, 57518
1675, 7022, 21567, 28929, 57518
1681, 7022, 24560, 25936, 57518
1687, 7020, 19747, 30751, 57518
1693, 7020, 20404, 30094, 57518
1699, 7020, 21364, 29134, 57518
1705, 7020, 25634, 24864, 57518
