ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
745, 6429, 13773, 37297, 0, 8, 57507
751, 6542, 9952, 41003, 0, 10, 57507
757, 6752, 8028, 42672, 0, 55, 57507
763, 6760, 5598, 45094, 0, 55, 57507
769, 6755, 4906, 45710, 0, 136, 57507
775, 6773, 4029, 46601, 0, 104, 57507
781, 6842, 4432, 46195, 0, 38, 57507
787, 6863, 4722, 45884, 0, 38, 57507
793, 6819, 6752, 43926, 0, 10, 57507
799, 6838, 10894, 39766, 0, 9, 57507
805, 6895, 19120, 31483, 0, 9, 57507
811, 6798, 22618, 28082, 0, 9, 57507
817, 6854, 30237, 20409, 0, 7, 57507
823, 6836, 36632, 14032, 0, 7, 57507
829, 6901, 40537, 10062, 0, 7, 57507
835, 6922, 42205, 8373, 0, 7, 57507
841, 6875, 44313, 6310, 0, 9, 57507
847, 6814, 46631, 4054, 0, 8, 57507
853, 6802, 46782, 3916, 0, 7, 57507
859, 6804, 46543, 4153, 0, 7, 57507
865, 6791, 45651, 5060, 0, 5, 57507
871, 6807, 43605, 7088, 0, 7, 57507
877, 6844, 38505, 12097, 0, 61, 57507
883, 6841, 36123, 14480, 0, 63, 57507
889, 6850, 30989, 19606, 0, 62, 57507
895, 6780, 26642, 23957, 0, 128, 57507
901, 6649, 19845, 30887, 0, 126, 57507
907, 6708, 16942, 33812, 0, 45, 57507
913, 6633, 13022, 37804, 0, 48, 57507
919, 6637, 10650, 40172, 0, 48, 57507
925, 6762, 8755, 41902, 0, 88, 57507
931, 6773, 5873, 44786, 0, 75, 57507
937, 6813, 4059, 46559, 0, 76, 57507
943, 6820, 3540, 47098, 0, 49, 57507
949, 6559, 3684, 47256, 0, 8, 57507
955, 6532, 4910, 46058, 0, 7, 57507
961, 6657, 7528, 43315, 0, 7, 57507
967, 6702, 9672, 41127, 0, 6, 57507
973, 6654, 20281, 30566, 0, 6, 57507
979, 6658, 26206, 24637, 0, 6, 57507
985, 6752, 33062, 17686, 0, 7, 57507
991, 6789, 37367, 13339, 0, 12, 57507
997, 6518, 39354, 11627, 0, 8, 57507
1003, 6382, 41622, 9493, 0, 10, 57507
1009, 6436, 45223, 5838, 0, 10, 57507
1015, 6761, 46217, 4517, 0, 12, 57507
1021, 6845, 46563, 4088, 0, 11, 57507
1027, 6874, 46120, 4501, 0, 12, 57507
1033, 6862, 45145, 5489, 0, 11, 57507
1039, 6796, 43808, 6893, 0, 10, 57507
1045, 6781, 38517, 12199, 0, 10, 57507
1051, 6816, 32391, 18290, 0, 10, 57507
1057, 6794, 29852, 20851, 0, 10, 57507
1063, 6779, 26901, 23816, 0, 11, 57507
1069, 6670, 22160, 28610, 0, 67, 57507
1075, 6704, 18663, 32132, 0, 8, 57507
1081, 6747, 14698, 36055, 0, 7, 57507
1087, 6739, 12676, 38086, 0, 6, 57507
1093, 6898, 9056, 41544, 0, 9, 57507
1099, 6917, 7767, 42813, 0, 10, 57507
1105, 6869, 5995, 44633, 0, 10, 57507
1111, 6793, 5071, 45636, 0, 7, 57507
1117, 6795, 4317, 46388, 0, 7, 57507
1123, 6823, 4902, 45776, 0, 6, 57507
1129, 6840, 7314, 43234, 0, 119, 57507
1135, 6750, 10438, 40198, 0, 121, 57507
1141, 6819, 19942, 30646, 0, 100, 57507
1147, 6840, 23970, 26626, 0, 71, 57507
1153, 6863, 31458, 19114, 0, 72, 57507
1159, 6773, 37773, 12947, 0, 14, 57507
1165, 6696, 39593, 11206, 0, 12, 57507
1171, 6723, 42097, 8673, 0, 14, 57507
1177, 6722, 43625, 7146, 0, 14, 57507
1183, 6790, 44945, 5758, 0, 14, 57507
1189, 6847, 45611, 5021, 0, 28, 57507
1195, 6784, 45492, 5189, 0, 42, 57507
1201, 6796, 44381, 6242, 0, 88, 57507
1207, 6799, 43241, 7381, 0, 86, 57507
1213, 6750, 39896, 10803, 0, 58, 57507
1219, 6787, 35040, 15620, 0, 60, 57507
1225, 6852, 29922, 20684, 0, 49, 57507
1231, 6776, 25307, 25326, 0, 98, 57507
1237, 6787, 21543, 29105, 0, 72, 57507
1243, 6783, 17395, 33285, 0, 44, 57507
1249, 6706, 13464, 37322, 0, 15, 57507
1255, 6666, 9428, 41333, 0, 80, 57507
1261, 6646, 7182, 43569, 0, 110, 57507
1267, 6546, 5613, 45207, 0, 141, 57507
1273, 6623, 4797, 45916, 0, 171, 57507
1279, 6649, 4296, 46478, 0, 84, 57507
1285, 6580, 3278, 47632, 0, 17, 57507
1291, 6632, 3753, 47103, 0, 19, 57507
1297, 6687, 5948, 44730, 0, 142, 57507
1303, 6734, 8208, 42309, 0, 256, 57507
1309, 6773, 16148, 34330, 0, 256, 57507
1315, 6803, 19994, 30572, 0, 138, 57507
1321, 6810, 25645, 24910, 0, 142, 57507
1327, 6810, 32549, 18128, 0, 20, 57507
1333, 6726, 36446, 14316, 0, 19, 57507
1339, 6780, 41625, 9078, 0, 24, 57507
1345, 6821, 43327, 7335, 0, 24, 57507
1351, 6733, 44974, 5776, 0, 24, 57507
1357, 6489, 46023, 4974, 0, 21, 57507
1363, 6541, 46045, 4901, 0, 20, 57507
1369, 6616, 45054, 5812, 0, 25, 57507
1375, 6645, 44008, 6831, 0, 23, 57507
1381, 6782, 41357, 9271, 0, 97, 57507
1387, 6798, 36930, 13473, 0, 306, 57507
1393, 6698, 34018, 16544, 0, 247, 57507
1399, 6780, 30440, 19980, 0, 307, 57507
1405, 6882, 24251, 25987, 0, 387, 57507
1411, 6917, 18565, 32012, 0, 13, 57507
1417, 6926, 14266, 36222, 0, 93, 57507
1423, 6892, 11266, 39217, 0, 132, 57507
1429, 6898, 10417, 40056, 0, 136, 57507
1435, 6934, 7600, 42786, 0, 187, 57507
1441, 6955, 6079, 44287, 0, 186, 57507
1447, 6872, 4947, 45472, 0, 216, 57507
1453, 6894, 4230, 46242, 0, 141, 57507
1459, 6889, 5456, 45000, 0, 162, 57507
1465, 6846, 5894, 44604, 0, 163, 57507
1471, 6734, 10004, 40611, 0, 158, 57507
1477, 6504, 20405, 30471, 0, 127, 57507
1483, 6283, 27636, 23457, 0, 131, 57507
1489, 6404, 33623, 17374, 0, 106, 57507
1495, 6572, 37923, 12986, 0, 26, 57507
1501, 6650, 40926, 9911, 0, 20, 57507
1507, 6805, 43001, 7681, 0, 20, 57507
1513, 6880, 43790, 6817, 0, 20, 57507
1519, 6817, 46406, 4268, 0, 16, 57507
1525, 6778, 46987, 3725, 0, 17, 57507
1531, 6702, 47079, 3710, 0, 16, 57507
1537, 6751, 45887, 4846, 0, 23, 57507
1543, 6731, 44442, 6279, 0, 55, 57507
1549, 6752, 42280, 8420, 0, 55, 57507
1555, 6730, 39302, 11416, 0, 59, 57507
1561, 6769, 32269, 18322, 0, 147, 57507
1567, 6835, 27041, 23365, 0, 266, 57507
1573, 6786, 19776, 30164, 0, 781, 57507
1579, 6829, 16240, 34308, 0, 130, 57507
1585, 6754, 12725, 37961, 0, 67, 57507
1591, 6784, 8432, 42238, 0, 53, 57507
1597, 6826, 6606, 44022, 0, 53, 57507
1603, 6829, 4607, 45968, 0, 103, 57507
1609, 6838, 3583, 47013, 0, 73, 57507
1615, 6819, 2894, 47722, 0, 72, 57507
1621, 6747, 2597, 47040, 0, 1123, 57507
1627, 6727, 5341, 43988, 0, 1451, 57507
1633, 6683, 19700, 29038, 0, 2086, 57507
1639, 6680, 32854, 16402, 0, 1571, 57507
1645, 6752, 43815, 5451, 0, 1489, 57507
1651, 6736, 47267, 2364, 0, 1140, 57507
1657, 6804, 49347, 573, 0, 783, 57507
1663, 6714, 50374, 320, 0, 99, 57507
1669, 6605, 50511, 324, 0, 67, 57507
1675, 6592, 50525, 325, 0, 65, 57507
1681, 6611, 50509, 324, 0, 63, 57507
1687, 6713, 50403, 327, 0, 64, 57507
1693, 6431, 50655, 361, 0, 60, 57507
1699, 6469, 50291, 629, 0, 118, 57507
1705, 6455, 47697, 3144, 0, 211, 57507
1711, 6596, 40825, 9877, 0, 209, 57507
1717, 6744, 34064, 16129, 0, 570, 57507
1723, 6754, 28273, 21763, 0, 717, 57507
1729, 6791, 24188, 25903, 0, 625, 57507
1735, 6696, 19764, 30482, 0, 565, 57507
1741, 6826, 12321, 37943, 0, 417, 57507
1747, 6859, 9261, 41265, 0, 122, 57507
1753, 6839, 7359, 43155, 0, 154, 57507
1759, 6835, 5336, 45182, 0, 154, 57507
