ts, default broker, CrocodileAgent, Bunnie, total
1585, 6495, 894, 50128, 57517
1591, 6427, 728, 50362, 57517
1597, 6596, 539, 50382, 57517
1603, 6718, 383, 50416, 57517
1609, 6511, 545, 50461, 57517
1615, 6603, 514, 50400, 57517
1621, 6710, 569, 50238, 57517
1627, 6682, 1501, 49334, 57517
1633, 6716, 1721, 49080, 57517
1639, 6747, 2360, 48410, 57517
1645, 6593, 4901, 46023, 57517
1651, 6535, 5827, 45155, 57517
1657, 6627, 5853, 45037, 57517
1663, 6627, 6581, 44309, 57517
1669, 6576, 6639, 44302, 57517
1675, 6540, 6711, 44266, 57517
1681, 6532, 6622, 44363, 57517
1687, 6496, 6402, 44619, 57517
1693, 6599, 5850, 45068, 57517
1699, 6788, 5078, 45651, 57517
1705, 6841, 4143, 46533, 57517
1711, 6818, 3229, 47470, 57517
1717, 6807, 3019, 47691, 57517
1723, 6835, 2173, 48509, 57517
1729, 6776, 1972, 48769, 57517
1735, 6732, 1827, 48958, 57517
1741, 6792, 1069, 49656, 57517
1747, 6738, 884, 49895, 57517
