ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
1579, 6560, 50133, 0, 343, 476, 57512
1585, 6658, 50279, 0, 270, 305, 57512
1591, 6728, 50260, 0, 270, 254, 57512
1597, 6925, 50177, 0, 256, 154, 57512
1603, 6975, 50171, 0, 241, 125, 57512
1609, 6987, 50156, 0, 245, 124, 57512
1615, 6941, 50212, 0, 213, 146, 57512
1621, 6901, 50355, 0, 222, 34, 57512
1627, 6892, 50245, 0, 224, 151, 57512
1633, 6946, 49977, 0, 181, 408, 57512
1639, 6956, 49623, 0, 214, 719, 57512
1645, 7054, 48788, 0, 210, 1460, 57512
1651, 6966, 42353, 0, 326, 7867, 57512
1657, 6980, 29585, 0, 421, 20526, 57512
1663, 6973, 30102, 0, 1651, 18786, 57512
1669, 6899, 26366, 0, 1604, 22643, 57512
1675, 6887, 21224, 0, 1590, 27811, 57512
1681, 6840, 20363, 0, 1500, 28809, 57512
1687, 6878, 19219, 0, 1837, 29578, 57512
1693, 6925, 18121, 0, 1713, 30753, 57512
1699, 6922, 14325, 0, 1785, 34480, 57512
1705, 6770, 14715, 0, 1955, 34072, 57512
1711, 6770, 14311, 0, 1501, 34930, 57512
1717, 6675, 13616, 0, 1064, 36157, 57512
1723, 6772, 13517, 0, 1025, 36198, 57512
