ts, default broker, CrocodileAgent, COLDPower18, total
1129, 6769, 50732, 0, 57501
1135, 6867, 50634, 0, 57501
1141, 6911, 50590, 0, 57501
1147, 6986, 50515, 0, 57501
1153, 7002, 50499, 0, 57501
1159, 6988, 50513, 0, 57501
1165, 6634, 50867, 0, 57501
1171, 6664, 50837, 0, 57501
1177, 6718, 50783, 0, 57501
1183, 6745, 50756, 0, 57501
1189, 6874, 50627, 0, 57501
1195, 6758, 50743, 0, 57501
1201, 6784, 50717, 0, 57501
1207, 6743, 50758, 0, 57501
1213, 6841, 50660, 0, 57501
1219, 6849, 50652, 0, 57501
1225, 6848, 50653, 0, 57501
1231, 6868, 50633, 0, 57501
1237, 6888, 50613, 0, 57501
1243, 6884, 50617, 0, 57501
1249, 6866, 50635, 0, 57501
1255, 6838, 50663, 0, 57501
1261, 6880, 50621, 0, 57501
1267, 6936, 50565, 0, 57501
1273, 6968, 50533, 0, 57501
1279, 6892, 50609, 0, 57501
1285, 6895, 50606, 0, 57501
1291, 6860, 50641, 0, 57501
1297, 6905, 50596, 0, 57501
1303, 6944, 50557, 0, 57501
1309, 6996, 50505, 0, 57501
1315, 6920, 50581, 0, 57501
1321, 6927, 50574, 0, 57501
1327, 6857, 50644, 0, 57501
1333, 6876, 50625, 0, 57501
1339, 6943, 50558, 0, 57501
1345, 6804, 50697, 0, 57501
1351, 6835, 50666, 0, 57501
1357, 6605, 50896, 0, 57501
1363, 6689, 50812, 0, 57501
1369, 6634, 50867, 0, 57501
1375, 6634, 50867, 0, 57501
1381, 6767, 50734, 0, 57501
1387, 6775, 50726, 0, 57501
1393, 6757, 50744, 0, 57501
1399, 6782, 50719, 0, 57501
1405, 6871, 50630, 0, 57501
1411, 6841, 50660, 0, 57501
1417, 6826, 50675, 0, 57501
1423, 6871, 50630, 0, 57501
1429, 6910, 50591, 0, 57501
1435, 6933, 50568, 0, 57501
1441, 6916, 50585, 0, 57501
1447, 6917, 50584, 0, 57501
1453, 6972, 50529, 0, 57501
1459, 6992, 50509, 0, 57501
1465, 7027, 50474, 0, 57501
1471, 7021, 50480, 0, 57501
1477, 6931, 50570, 0, 57501
1483, 6883, 50618, 0, 57501
1489, 6891, 50610, 0, 57501
1495, 6853, 50648, 0, 57501
1501, 6926, 50575, 0, 57501
1507, 6940, 50561, 0, 57501
1513, 6891, 50610, 0, 57501
1519, 6836, 50665, 0, 57501
1525, 6893, 50608, 0, 57501
1531, 6856, 50645, 0, 57501
1537, 6743, 50758, 0, 57501
1543, 6878, 50623, 0, 57501
1549, 6893, 50608, 0, 57501
1555, 6882, 50619, 0, 57501
1561, 6929, 50572, 0, 57501
1567, 6921, 50580, 0, 57501
1573, 6812, 50689, 0, 57501
1579, 6791, 50710, 0, 57501
1585, 6821, 50680, 0, 57501
1591, 6825, 50676, 0, 57501
1597, 6412, 51089, 0, 57501
1603, 6407, 51094, 0, 57501
1609, 6565, 50936, 0, 57501
1615, 6576, 50925, 0, 57501
1621, 6708, 50793, 0, 57501
1627, 6785, 50716, 0, 57501
1633, 6740, 50761, 0, 57501
1639, 6732, 50769, 0, 57501
1645, 6921, 50580, 0, 57501
1651, 6888, 50613, 0, 57501
1657, 6905, 50596, 0, 57501
1663, 6910, 50591, 0, 57501
1669, 6825, 50676, 0, 57501
1675, 6770, 50731, 0, 57501
