ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
775, 11, 365, 86, 39838, 17219, 57519
781, 5, 495, 84, 55072, 1863, 57519
787, 1, 570, 82, 54964, 1902, 57519
793, 1, 695, 82, 54817, 1924, 57519
799, 1, 938, 84, 54603, 1893, 57519
805, 2, 1075, 82, 54526, 1834, 57519
811, 4, 1344, 80, 54233, 1858, 57519
817, 1, 1960, 83, 53445, 2030, 57519
823, 9, 3068, 85, 54100, 257, 57519
829, 6, 3284, 83, 53574, 572, 57519
835, 7, 3329, 80, 52253, 1850, 57519
841, 21, 3257, 82, 49831, 4328, 57519
847, 25, 3194, 85, 47359, 6856, 57519
853, 23, 3132, 86, 37763, 16515, 57519
859, 20, 3060, 87, 35984, 18368, 57519
865, 20, 2817, 71, 54377, 234, 57519
871, 14, 2698, 67, 54463, 277, 57519
877, 6, 2502, 68, 54632, 311, 57519
883, 8, 2378, 65, 54749, 319, 57519
889, 5, 2022, 64, 55059, 369, 57519
895, 3, 1578, 66, 55504, 368, 57519
901, 1, 1335, 59, 55754, 370, 57519
907, 1, 1015, 46, 56192, 265, 57519
913, 1, 743, 47, 55856, 872, 57519
919, 0, 623, 48, 55785, 1063, 57519
925, 0, 431, 49, 55393, 1646, 57519
931, 0, 350, 49, 55430, 1690, 57519
937, 0, 332, 46, 54078, 3063, 57519
943, 14, 663, 46, 23336, 33460, 57519
949, 13, 2160, 48, 54232, 1066, 57519
955, 11, 2039, 47, 54398, 1024, 57519
961, 7, 1988, 45, 54468, 1011, 57519
967, 7, 2007, 47, 54464, 994, 57519
973, 5, 2056, 47, 54417, 994, 57519
979, 4, 2077, 48, 54397, 993, 57519
985, 4, 2069, 47, 54429, 970, 57519
991, 4, 2041, 44, 55344, 86, 57519
997, 2, 2039, 39, 55282, 157, 57519
1003, 2, 2005, 41, 55313, 158, 57519
1009, 1, 1924, 42, 55385, 167, 57519
1015, 13, 1805, 42, 47694, 7965, 57519
1021, 1, 1319, 43, 47882, 8274, 57519
1027, 1, 919, 41, 47825, 8733, 57519
1033, 0, 617, 42, 55342, 1518, 57519
1039, 2, 439, 36, 55348, 1694, 57519
1045, 10, 538, 34, 17464, 39473, 57519
1051, 1, 461, 36, 17508, 39513, 57519
1057, 2, 296, 31, 17564, 39626, 57519
1063, 2, 247, 30, 17521, 39719, 57519
1069, 1, 243, 34, 17518, 39723, 57519
1075, 1, 136, 28, 43109, 14245, 57519
1081, 1, 135, 31, 42536, 14816, 57519
1087, 1, 133, 33, 40165, 17187, 57519
1093, 0, 129, 37, 37369, 19984, 57519
1099, 0, 130, 34, 33827, 23528, 57519
1105, 0, 130, 34, 31636, 25719, 57519
1111, 0, 128, 35, 29087, 28269, 57519
1117, 7, 2220, 31, 30610, 24651, 57519
1123, 6, 2195, 31, 30670, 24617, 57519
1129, 4, 2194, 32, 30622, 24667, 57519
1135, 3, 2134, 35, 30686, 24661, 57519
1141, 3, 2139, 32, 30687, 24658, 57519
1147, 3, 2136, 32, 30671, 24677, 57519
1153, 2, 2132, 34, 30639, 24712, 57519
1159, 3, 2695, 36, 52452, 2333, 57519
1165, 2, 2805, 38, 52054, 2620, 57519
1171, 1, 2773, 38, 51677, 3030, 57519
1177, 2, 2747, 35, 51383, 3352, 57519
1183, 11, 2753, 31, 31030, 23694, 57519
1189, 7, 1904, 30, 31571, 24007, 57519
1195, 7, 1309, 32, 31598, 24573, 57519
1201, 11, 724, 31, 11539, 45214, 57519
1207, 11, 701, 25, 8754, 48028, 57519
1213, 12, 670, 23, 8272, 48542, 57519
1219, 12, 668, 27, 8191, 48621, 57519
1225, 12, 579, 26, 8170, 48732, 57519
1231, 10, 162, 29, 7491, 49827, 57519
1237, 13, 16, 27, 7440, 50023, 57519
1243, 4, 17, 37, 29754, 27707, 57519
1249, 4, 19, 30, 29765, 27701, 57519
1255, 4, 16, 34, 29733, 27732, 57519
1261, 2, 20, 31, 29731, 27735, 57519
1267, 5, 18, 28, 29703, 27765, 57519
1273, 2, 19, 30, 29712, 27756, 57519
1279, 2, 17, 32, 29715, 27753, 57519
1285, 11, 1484, 31, 55206, 787, 57519
1291, 11, 1481, 34, 55206, 787, 57519
1297, 12, 1483, 38, 55188, 798, 57519
1303, 12, 1504, 37, 55170, 796, 57519
1309, 11, 1506, 37, 55167, 798, 57519
1315, 10, 1860, 38, 54791, 820, 57519
1321, 10, 2459, 40, 54186, 824, 57519
1327, 6, 2884, 41, 54320, 268, 57519
1333, 4, 2983, 43, 53779, 710, 57519
1339, 3, 3044, 43, 52307, 2122, 57519
1345, 2, 3106, 43, 50609, 3759, 57519
1351, 2, 3165, 41, 48537, 5774, 57519
1357, 2, 2597, 44, 39076, 15800, 57519
1363, 2, 2123, 41, 32982, 22371, 57519
1369, 6, 1971, 40, 38834, 16668, 57519
1375, 4, 1832, 40, 38234, 17409, 57519
1381, 4, 1833, 39, 36478, 19165, 57519
1387, 4, 1743, 37, 35088, 20647, 57519
1393, 4, 1373, 36, 34620, 21486, 57519
1399, 1, 900, 32, 34100, 22486, 57519
1405, 3, 871, 33, 33740, 22872, 57519
1411, 9, 692, 33, 40978, 15807, 57519
1417, 12, 626, 25, 40187, 16669, 57519
1423, 9, 483, 28, 39306, 17693, 57519
1429, 9, 360, 32, 38034, 19084, 57519
1435, 8, 274, 29, 37586, 19622, 57519
1441, 8, 249, 38, 36706, 20518, 57519
1447, 7, 199, 33, 36589, 20691, 57519
1453, 12, 1578, 26, 55680, 223, 57519
1459, 14, 1710, 33, 55552, 210, 57519
1465, 13, 1905, 33, 55359, 209, 57519
1471, 13, 2188, 28, 55081, 209, 57519
1477, 11, 2731, 34, 54531, 212, 57519
1483, 10, 3630, 32, 53647, 200, 57519
1489, 10, 4480, 33, 52788, 208, 57519
1495, 10, 4742, 33, 52599, 135, 57519
1501, 11, 4837, 33, 52411, 227, 57519
1507, 10, 4832, 32, 50879, 1766, 57519
1513, 7, 4774, 30, 48467, 4241, 57519
1519, 6, 4733, 32, 45742, 7006, 57519
1525, 5, 4683, 33, 39526, 13272, 57519
1531, 5, 4083, 34, 38168, 15229, 57519
1537, 4, 3920, 35, 39386, 14174, 57519
1543, 4, 3779, 35, 37958, 15743, 57519
1549, 3, 3359, 35, 36077, 18045, 57519
1555, 2, 2938, 37, 34190, 20352, 57519
1561, 2, 2178, 36, 31271, 24032, 57519
1567, 3, 1927, 37, 30177, 25375, 57519
1573, 3, 1414, 41, 29533, 26528, 57519
1579, 5, 820, 44, 32876, 23774, 57519
1585, 5, 713, 39, 30857, 25905, 57519
1591, 3, 631, 41, 29831, 27013, 57519
1597, 2, 542, 38, 27905, 29032, 57519
1603, 3, 391, 36, 26594, 30495, 57519
1609, 2, 310, 38, 25842, 31327, 57519
1615, 0, 338, 34, 25182, 31965, 57519
1621, 3, 1983, 36, 52976, 2521, 57519
1627, 1, 1997, 29, 52964, 2528, 57519
1633, 3, 2419, 28, 52542, 2527, 57519
1639, 4, 2885, 28, 52076, 2526, 57519
1645, 3, 3108, 28, 51857, 2523, 57519
1651, 3, 3502, 28, 51466, 2520, 57519
1657, 2, 4142, 31, 50774, 2570, 57519
1663, 2, 5439, 33, 50966, 1079, 57519
1669, 3, 5605, 33, 47729, 4149, 57519
1675, 2, 5385, 30, 42123, 9979, 57519
1681, 2, 5322, 33, 37680, 14482, 57519
1687, 2, 5272, 32, 36307, 15906, 57519
1693, 2, 3911, 37, 12703, 40866, 57519
1699, 2, 3648, 34, 9769, 44066, 57519
