ts, default broker, CrocodileAgent, SPOT, EWIIS3, Bunnie, total
955, 6547, 466, 94, 26, 50382, 57515
961, 6486, 398, 94, 25, 50512, 57515
967, 6519, 367, 94, 26, 50509, 57515
973, 6680, 564, 95, 25, 50151, 57515
979, 6791, 668, 95, 25, 49936, 57515
985, 6787, 1799, 95, 24, 48810, 57515
991, 6645, 3221, 95, 24, 47530, 57515
997, 6188, 4170, 95, 26, 47036, 57515
1003, 6296, 5839, 96, 26, 45258, 57515
1009, 6227, 6564, 96, 25, 44603, 57515
1015, 6384, 6871, 96, 25, 44139, 57515
1021, 6645, 6835, 95, 24, 43916, 57515
1027, 6695, 6799, 95, 25, 43901, 57515
1033, 6703, 6738, 94, 25, 43955, 57515
1039, 6801, 6689, 94, 25, 43906, 57515
1045, 6850, 6570, 95, 25, 43975, 57515
1051, 6775, 6513, 95, 23, 44109, 57515
1057, 6777, 6269, 95, 23, 44351, 57515
1063, 6781, 5796, 94, 24, 44820, 57515
1069, 6721, 5045, 94, 23, 45632, 57515
1075, 6711, 3904, 95, 22, 46783, 57515
1081, 6591, 3082, 95, 21, 47726, 57515
1087, 6586, 2192, 95, 21, 48621, 57515
1093, 6674, 1686, 95, 24, 49036, 57515
1099, 6633, 1178, 95, 23, 49586, 57515
1105, 6592, 968, 95, 22, 49838, 57515
1111, 6487, 541, 95, 22, 50370, 57515
1117, 6602, 469, 95, 22, 50327, 57515
1123, 6626, 379, 94, 23, 50393, 57515
1129, 6557, 296, 94, 21, 50547, 57515
1135, 6474, 298, 93, 22, 50628, 57515
1141, 6520, 239, 93, 22, 50641, 57515
1147, 6531, 887, 93, 21, 49983, 57515
1153, 6548, 2532, 93, 20, 48322, 57515
1159, 6589, 3307, 93, 20, 47506, 57515
1165, 6275, 4809, 93, 22, 46316, 57515
1171, 6194, 5923, 227, 22, 45149, 57515
1177, 6334, 6578, 227, 22, 44354, 57515
1183, 6333, 7179, 227, 21, 43755, 57515
1189, 6452, 7114, 227, 22, 43700, 57515
1195, 6605, 6985, 227, 22, 43676, 57515
1201, 6616, 6976, 227, 21, 43675, 57515
1207, 6642, 6940, 227, 21, 43685, 57515
1213, 6725, 6869, 168, 22, 43731, 57515
1219, 6734, 6872, 167, 24, 43718, 57515
1225, 6763, 6204, 167, 24, 44357, 57515
1231, 6752, 5331, 167, 22, 45243, 57515
1237, 6466, 4780, 167, 23, 46079, 57515
1243, 6633, 3958, 168, 21, 46735, 57515
1249, 6488, 3529, 138, 22, 47338, 57515
1255, 6552, 2530, 138, 21, 48274, 57515
1261, 6567, 1672, 138, 23, 49115, 57515
1267, 6502, 1436, 137, 26, 49414, 57515
1273, 6544, 1148, 107, 26, 49690, 57515
1279, 6514, 688, 107, 27, 50179, 57515
1285, 6114, 813, 107, 28, 50453, 57515
1291, 6050, 737, 93, 26, 50609, 57515
1297, 6139, 641, 93, 24, 50618, 57515
1303, 6321, 546, 94, 24, 50530, 57515
1309, 6559, 659, 95, 23, 50179, 57515
1315, 6597, 856, 95, 24, 49943, 57515
1321, 6573, 2129, 96, 24, 48693, 57515
1327, 6662, 2521, 95, 26, 48211, 57515
1333, 6595, 3504, 95, 26, 47295, 57515
1339, 6660, 4723, 95, 27, 46010, 57515
1345, 6660, 5261, 95, 26, 45473, 57515
1351, 6642, 5807, 95, 24, 44947, 57515
1357, 6659, 5868, 95, 26, 44867, 57515
1363, 6673, 5851, 97, 23, 44871, 57515
1369, 6701, 5764, 97, 21, 44932, 57515
1375, 6720, 5684, 97, 21, 44993, 57515
1381, 6820, 5522, 98, 22, 45053, 57515
1387, 6814, 5295, 97, 23, 45286, 57515
1393, 6611, 4979, 96, 24, 45805, 57515
1399, 6643, 4482, 95, 26, 46269, 57515
1405, 6701, 3808, 95, 25, 46886, 57515
1411, 6780, 2897, 94, 26, 47718, 57515
1417, 6652, 2054, 93, 25, 48691, 57515
1423, 6651, 1335, 93, 23, 49413, 57515
1429, 6200, 1148, 93, 22, 50052, 57515
1435, 6207, 1059, 93, 23, 50133, 57515
1441, 6296, 858, 93, 23, 50245, 57515
1447, 6368, 722, 94, 19, 50312, 57515
1453, 6372, 587, 94, 21, 50441, 57515
1459, 6277, 620, 94, 22, 50502, 57515
1465, 6348, 541, 94, 22, 50510, 57515
1471, 6472, 594, 57, 19, 50373, 57515
1477, 6740, 586, 41, 19, 50129, 57515
1483, 6809, 941, 44, 19, 49702, 57515
1489, 6770, 2641, 51, 20, 48033, 57515
1495, 6762, 4982, 44, 19, 45708, 57515
1501, 6797, 6545, 85, 21, 44067, 57515
1507, 6573, 9139, 94, 21, 41688, 57515
1513, 6541, 9655, 94, 22, 41203, 57515
1519, 6554, 9932, 94, 23, 40912, 57515
1525, 6512, 10044, 94, 22, 40843, 57515
1531, 6532, 9938, 93, 24, 40928, 57515
1537, 6497, 9945, 93, 23, 40957, 57515
1543, 6543, 9832, 93, 21, 41026, 57515
1549, 6563, 9821, 93, 23, 41015, 57515
1555, 6559, 9651, 93, 22, 41190, 57515
1561, 6562, 9286, 93, 22, 41552, 57515
1567, 6622, 8473, 94, 22, 42304, 57515
1573, 6227, 7569, 94, 22, 43603, 57515
1579, 6160, 5275, 94, 21, 45965, 57515
1585, 6103, 3481, 94, 22, 47815, 57515
1591, 6268, 2980, 94, 22, 48151, 57515
1597, 6394, 1900, 94, 23, 49104, 57515
1603, 6332, 1742, 94, 24, 49323, 57515
1609, 6436, 1301, 94, 24, 49660, 57515
1615, 6452, 1139, 95, 25, 49804, 57515
1621, 6650, 853, 95, 24, 49893, 57515
1627, 6621, 600, 95, 24, 50175, 57515
1633, 6578, 523, 95, 23, 50296, 57515
1639, 6675, 303, 95, 23, 50419, 57515
1645, 6641, 313, 95, 22, 50444, 57515
1651, 6697, 1213, 94, 23, 49488, 57515
1657, 6764, 2494, 94, 25, 48138, 57515
1663, 6792, 3572, 94, 25, 47032, 57515
1669, 6795, 6723, 94, 24, 43879, 57515
1675, 6691, 8149, 94, 24, 42557, 57515
1681, 6674, 8900, 94, 24, 41823, 57515
1687, 6673, 8922, 95, 23, 41802, 57515
1693, 6116, 9269, 95, 22, 42013, 57515
1699, 6269, 9156, 95, 21, 41974, 57515
1705, 6408, 9224, 95, 23, 41765, 57515
1711, 6446, 9111, 95, 25, 41838, 57515
1717, 6568, 9012, 94, 26, 41815, 57515
