ts, default broker, CrocodileAgent, VidyutVanika, total
715, 19, 1474, 56010, 57503
721, 19, 1120, 56364, 57503
727, 20, 888, 56595, 57503
733, 20, 701, 56782, 57503
739, 19, 831, 56653, 57503
745, 19, 893, 56591, 57503
751, 18, 844, 56641, 57503
757, 18, 731, 56754, 57503
763, 18, 1041, 56444, 57503
769, 18, 2176, 55309, 57503
775, 32, 3156, 54315, 57503
781, 40, 4212, 53251, 57503
787, 48, 5465, 51990, 57503
793, 45, 6147, 51311, 57503
799, 43, 6884, 50576, 57503
805, 42, 7277, 50184, 57503
811, 47, 7427, 50029, 57503
817, 26, 7491, 49986, 57503
823, 23, 7256, 50224, 57503
829, 18, 7236, 50249, 57503
835, 16, 7097, 50390, 57503
841, 16, 6529, 50958, 57503
847, 18, 5626, 51859, 57503
853, 18, 5276, 52209, 57503
859, 18, 4316, 53169, 57503
865, 16, 4035, 53452, 57503
871, 15, 3389, 54099, 57503
877, 30, 2417, 55056, 57503
883, 36, 1914, 55553, 57503
889, 39, 1299, 56165, 57503
895, 42, 488, 56973, 57503
901, 16, 304, 57183, 57503
907, 9, 246, 57248, 57503
913, 1709, 170, 55624, 57503
919, 2112, 143, 55248, 57503
925, 2552, 114, 54837, 57503
931, 2905, 184, 54414, 57503
937, 3538, 1695, 52270, 57503
943, 3405, 2020, 52078, 57503
949, 3191, 2328, 51984, 57503
955, 3087, 2785, 51631, 57503
961, 3369, 3994, 50140, 57503
967, 3378, 4064, 50061, 57503
973, 3515, 3965, 50023, 57503
979, 3543, 3926, 50034, 57503
985, 3456, 3869, 50178, 57503
991, 3606, 4455, 49442, 57503
997, 3623, 4493, 49387, 57503
1003, 3617, 4384, 49502, 57503
1009, 3679, 3939, 49885, 57503
1015, 3659, 3457, 50387, 57503
1021, 3795, 3025, 50683, 57503
1027, 3739, 2612, 51152, 57503
1033, 3655, 2019, 51829, 57503
1039, 3361, 1756, 52386, 57503
1045, 3207, 1624, 52672, 57503
1051, 3452, 1525, 52526, 57503
1057, 3447, 1334, 52722, 57503
1063, 3405, 1035, 53063, 57503
1069, 3507, 973, 53023, 57503
1075, 3407, 597, 53499, 57503
1081, 3321, 638, 53544, 57503
1087, 3509, 569, 53425, 57503
1093, 3553, 857, 53093, 57503
1099, 3375, 2837, 51291, 57503
1105, 3184, 4668, 49651, 57503
1111, 3346, 5216, 48941, 57503
1117, 3317, 6049, 48137, 57503
1123, 3408, 6218, 47877, 57503
1129, 3390, 6897, 47216, 57503
1135, 3563, 7056, 46884, 57503
1141, 3627, 7045, 46831, 57503
1147, 3593, 7028, 46882, 57503
1153, 3608, 7033, 46862, 57503
1159, 3542, 7093, 46868, 57503
1165, 3550, 6867, 47086, 57503
1171, 3501, 6063, 47939, 57503
1177, 3504, 4959, 49040, 57503
1183, 3495, 4157, 49851, 57503
1189, 3449, 3274, 50780, 57503
1195, 3513, 2886, 51104, 57503
1201, 3506, 2089, 51908, 57503
1207, 3582, 1553, 52368, 57503
1213, 3645, 1254, 52604, 57503
1219, 3646, 1055, 52802, 57503
1225, 3650, 831, 53022, 57503
1231, 3639, 671, 53193, 57503
1237, 3688, 528, 53287, 57503
1243, 3502, 610, 53391, 57503
1249, 3525, 841, 53137, 57503
1255, 3558, 766, 53179, 57503
1261, 3390, 782, 53331, 57503
1267, 3489, 937, 53077, 57503
1273, 3448, 1511, 52544, 57503
1279, 3621, 1810, 52072, 57503
1285, 3397, 3040, 51066, 57503
1291, 3210, 4229, 50064, 57503
1297, 3265, 4711, 49527, 57503
1303, 3407, 6113, 47983, 57503
1309, 3406, 6505, 47592, 57503
1315, 3396, 6363, 47744, 57503
1321, 3243, 6238, 48022, 57503
1327, 3152, 6431, 47920, 57503
1333, 3117, 6167, 48219, 57503
1339, 3185, 6109, 48209, 57503
1345, 3175, 5776, 48552, 57503
1351, 3378, 5598, 48527, 57503
1357, 3346, 5157, 49000, 57503
1363, 3504, 4814, 49185, 57503
1369, 3458, 3927, 50118, 57503
1375, 3375, 2456, 51672, 57503
1381, 3436, 2044, 52023, 57503
1387, 3341, 1692, 52470, 57503
1393, 3264, 1322, 52917, 57503
1399, 3257, 984, 53262, 57503
1405, 3370, 910, 53223, 57503
1411, 3289, 941, 53273, 57503
1417, 3249, 1127, 53127, 57503
1423, 3442, 990, 53071, 57503
1429, 3738, 961, 52804, 57503
1435, 3650, 1244, 52609, 57503
1441, 3618, 1886, 51999, 57503
1447, 3570, 2857, 51076, 57503
1453, 3493, 4658, 49352, 57503
1459, 3337, 5482, 48684, 57503
1465, 3377, 6820, 47306, 57503
1471, 3672, 8569, 45262, 57503
1477, 3608, 8752, 45143, 57503
1483, 3756, 8711, 45036, 57503
1489, 3749, 8554, 45200, 57503
1495, 3840, 8441, 45222, 57503
1501, 3866, 8253, 45384, 57503
1507, 3696, 7962, 45845, 57503
1513, 3737, 7755, 46011, 57503
1519, 3581, 7350, 46572, 57503
1525, 3595, 6419, 47489, 57503
1531, 3530, 5281, 48692, 57503
1537, 2252, 4245, 51006, 57503
1543, 1434, 3239, 52830, 57503
1549, 1027, 2433, 54043, 57503
1555, 779, 1938, 54786, 57503
1561, 588, 1678, 55237, 57503
1567, 509, 1388, 55606, 57503
1573, 437, 1090, 55976, 57503
1579, 304, 1264, 55935, 57503
1585, 192, 1567, 55744, 57503
1591, 111, 1401, 55991, 57503
1597, 90, 1365, 56048, 57503
1603, 56, 1303, 56144, 57503
1609, 35, 3273, 54195, 57503
1615, 35, 4711, 52757, 57503
1621, 28, 5109, 52366, 57503
1627, 26, 6679, 50798, 57503
1633, 12, 10983, 46508, 57503
1639, 5, 11669, 45829, 57503
1645, 4, 11834, 45665, 57503
1651, 3, 12025, 45475, 57503
1657, 3, 11929, 45571, 57503
1663, 18, 11780, 45705, 57503
1669, 18, 11625, 45860, 57503
1675, 17, 11357, 46129, 57503
1681, 18, 10989, 46496, 57503
1687, 14, 10108, 47381, 57503
1693, 10, 9178, 48315, 57503
