ts, default broker, COLDPower18, EWIIS3, AgentUDE, Bunnie, total
751, 6868, 0, 12, 4, 50622, 57506
757, 6907, 0, 14, 3, 50582, 57506
763, 6913, 0, 13, 4, 50576, 57506
769, 6940, 0, 14, 5, 50547, 57506
775, 6935, 0, 14, 6, 50551, 57506
781, 6967, 0, 14, 6, 50519, 57506
787, 6913, 0, 15, 6, 50572, 57506
793, 6892, 0, 16, 156, 50442, 57506
799, 6917, 0, 17, 160, 50412, 57506
805, 6947, 0, 17, 129, 50413, 57506
811, 7009, 0, 17, 99, 50381, 57506
817, 6949, 0, 18, 99, 50440, 57506
823, 6921, 0, 17, 15, 50553, 57506
829, 6956, 0, 18, 15, 50517, 57506
835, 6957, 0, 18, 14, 50517, 57506
841, 6933, 0, 16, 4, 50553, 57506
847, 6919, 0, 16, 14, 50557, 57506
853, 6950, 0, 15, 5, 50536, 57506
859, 6980, 0, 15, 5, 50506, 57506
865, 7022, 0, 12, 5, 50467, 57506
871, 7033, 0, 13, 6, 50454, 57506
877, 7049, 0, 13, 155, 50289, 57506
883, 6972, 0, 14, 155, 50365, 57506
889, 6973, 0, 15, 156, 50362, 57506
895, 6832, 0, 15, 155, 50504, 57506
901, 6810, 0, 16, 303, 50377, 57506
907, 6875, 0, 18, 4, 50609, 57506
913, 6909, 0, 17, 5, 50575, 57506
919, 6917, 0, 16, 5, 50568, 57506
925, 6961, 0, 18, 4, 50523, 57506
931, 6991, 0, 18, 4, 50493, 57506
937, 6983, 0, 18, 4, 50501, 57506
943, 6929, 0, 16, 15, 50546, 57506
949, 6970, 0, 15, 16, 50505, 57506
955, 6998, 0, 14, 20, 50474, 57506
961, 6979, 0, 15, 20, 50492, 57506
967, 6952, 0, 15, 11, 50528, 57506
973, 6793, 0, 15, 9, 50689, 57506
979, 6604, 0, 15, 9, 50878, 57506
985, 6685, 0, 14, 8, 50799, 57506
991, 6627, 0, 13, 14, 50852, 57506
997, 6722, 0, 14, 171, 50599, 57506
1003, 6757, 0, 14, 176, 50559, 57506
1009, 6774, 0, 15, 329, 50388, 57506
1015, 6790, 0, 15, 272, 50429, 57506
1021, 6698, 0, 14, 186, 50608, 57506
1027, 6717, 0, 15, 188, 50586, 57506
1033, 6651, 0, 15, 5, 50835, 57506
1039, 6708, 0, 13, 5, 50780, 57506
1045, 6806, 0, 13, 158, 50529, 57506
1051, 6838, 0, 15, 127, 50526, 57506
1057, 6826, 0, 14, 98, 50568, 57506
1063, 6842, 0, 13, 99, 50552, 57506
1069, 6802, 0, 12, 71, 50621, 57506
1075, 6640, 0, 15, 6, 50845, 57506
1081, 6648, 0, 15, 6, 50837, 57506
1087, 6743, 0, 14, 6, 50743, 57506
1093, 6776, 0, 14, 7, 50709, 57506
1099, 6863, 0, 13, 158, 50472, 57506
1105, 6905, 0, 14, 158, 50429, 57506
1111, 6932, 0, 14, 98, 50462, 57506
1117, 6965, 0, 14, 305, 50222, 57506
1123, 6987, 0, 15, 276, 50228, 57506
1129, 6980, 0, 16, 275, 50235, 57506
1135, 6959, 0, 15, 245, 50287, 57506
1141, 6929, 0, 16, 186, 50375, 57506
1147, 6984, 0, 16, 188, 50318, 57506
1153, 6996, 0, 16, 307, 50187, 57506
1159, 6973, 0, 16, 5, 50512, 57506
1165, 6867, 0, 14, 6, 50619, 57506
1171, 6939, 0, 14, 8, 50545, 57506
1177, 6931, 0, 18, 10, 50547, 57506
1183, 6883, 0, 17, 11, 50595, 57506
1189, 6903, 0, 18, 10, 50575, 57506
1195, 6915, 0, 16, 160, 50415, 57506
1201, 6907, 0, 16, 3, 50580, 57506
1207, 6857, 0, 16, 3, 50630, 57506
1213, 6839, 0, 16, 4, 50647, 57506
1219, 6823, 0, 17, 4, 50662, 57506
1225, 6879, 0, 15, 4, 50608, 57506
1231, 6925, 0, 16, 3, 50562, 57506
1237, 6666, 0, 16, 4, 50820, 57506
1243, 6702, 0, 15, 4, 50785, 57506
1249, 6818, 0, 14, 5, 50669, 57506
1255, 6880, 0, 15, 5, 50606, 57506
1261, 6946, 0, 16, 4, 50540, 57506
1267, 6852, 0, 14, 5, 50635, 57506
1273, 6920, 0, 13, 6, 50567, 57506
1279, 6941, 0, 15, 6, 50544, 57506
1285, 6922, 0, 17, 5, 50562, 57506
1291, 6922, 0, 17, 5, 50562, 57506
1297, 6944, 0, 17, 7, 50538, 57506
1303, 6921, 0, 16, 7, 50562, 57506
1309, 6918, 0, 17, 8, 50563, 57506
1315, 6939, 0, 16, 6, 50545, 57506
1321, 6803, 0, 18, 4, 50681, 57506
1327, 6857, 0, 18, 8, 50623, 57506
1333, 6814, 0, 18, 14, 50660, 57506
1339, 6825, 0, 18, 16, 50647, 57506
1345, 6864, 0, 18, 22, 50602, 57506
1351, 6926, 0, 17, 24, 50539, 57506
1357, 6902, 0, 17, 27, 50560, 57506
1363, 6876, 0, 17, 28, 50585, 57506
1369, 6859, 0, 17, 16, 50614, 57506
1375, 6832, 0, 17, 17, 50640, 57506
1381, 6822, 0, 17, 18, 50649, 57506
1387, 6806, 0, 18, 19, 50663, 57506
1393, 6873, 0, 18, 20, 50595, 57506
1399, 6778, 0, 18, 21, 50689, 57506
1405, 6792, 0, 16, 23, 50675, 57506
1411, 6848, 0, 16, 6, 50636, 57506
1417, 6890, 0, 16, 5, 50595, 57506
1423, 6937, 0, 17, 5, 50547, 57506
1429, 6956, 0, 17, 5, 50528, 57506
1435, 6950, 0, 16, 4, 50536, 57506
1441, 6956, 0, 14, 5, 50531, 57506
1447, 6919, 0, 15, 6, 50566, 57506
1453, 6959, 0, 14, 8, 50525, 57506
1459, 6969, 0, 12, 9, 50516, 57506
1465, 6872, 0, 12, 10, 50612, 57506
1471, 6912, 0, 11, 14, 50569, 57506
1477, 6947, 0, 10, 15, 50534, 57506
1483, 6978, 0, 11, 14, 50503, 57506
1489, 6982, 0, 11, 15, 50498, 57506
1495, 7026, 0, 10, 7, 50463, 57506
1501, 6939, 0, 13, 7, 50547, 57506
1507, 6867, 0, 12, 7, 50620, 57506
1513, 6800, 0, 13, 7, 50686, 57506
1519, 6775, 0, 14, 7, 50710, 57506
1525, 6873, 0, 15, 6, 50612, 57506
1531, 6835, 0, 14, 8, 50649, 57506
1537, 6841, 0, 14, 7, 50644, 57506
1543, 6822, 0, 14, 8, 50662, 57506
1549, 6849, 0, 14, 8, 50635, 57506
1555, 6885, 0, 16, 6, 50599, 57506
1561, 6938, 0, 16, 6, 50546, 57506
1567, 6834, 0, 16, 6, 50650, 57506
1573, 6825, 0, 17, 5, 50659, 57506
1579, 6882, 0, 17, 6, 50601, 57506
1585, 6911, 0, 16, 5, 50574, 57506
1591, 6881, 0, 15, 6, 50604, 57506
1597, 6888, 0, 17, 5, 50596, 57506
1603, 6839, 0, 14, 7, 50646, 57506
1609, 6900, 0, 15, 7, 50584, 57506
1615, 6921, 0, 15, 7, 50563, 57506
1621, 6911, 0, 18, 3, 50574, 57506
1627, 6972, 0, 17, 4, 50513, 57506
1633, 6977, 0, 17, 4, 50508, 57506
1639, 6971, 0, 17, 4, 50514, 57506
1645, 6996, 0, 16, 4, 50490, 57506
1651, 6896, 0, 18, 4, 50588, 57506
1657, 6931, 0, 17, 5, 50553, 57506
1663, 6948, 0, 16, 4, 50538, 57506
1669, 6910, 0, 15, 5, 50576, 57506
1675, 6923, 0, 15, 5, 50563, 57506
1681, 6877, 0, 16, 4, 50609, 57506
1687, 6920, 0, 16, 4, 50566, 57506
1693, 6781, 0, 17, 14, 50694, 57506
1699, 6755, 0, 18, 13, 50720, 57506
1705, 6803, 0, 17, 3, 50683, 57506
1711, 6785, 0, 18, 3, 50700, 57506
1717, 6859, 0, 18, 3, 50626, 57506
1723, 6936, 0, 19, 3, 50548, 57506
1729, 6953, 0, 18, 3, 50532, 57506
1735, 6922, 0, 18, 3, 50563, 57506
1741, 6966, 0, 16, 4, 50520, 57506
1747, 6934, 0, 18, 3, 50551, 57506
1753, 6902, 0, 14, 6, 50584, 57506
1759, 6889, 0, 15, 6, 50596, 57506
1765, 6793, 0, 15, 6, 50692, 57506
1771, 6785, 0, 15, 5, 50701, 57506
1777, 6773, 0, 14, 5, 50714, 57506
1783, 6737, 0, 14, 6, 50749, 57506
1789, 6794, 0, 14, 6, 50692, 57506
1795, 6835, 0, 15, 6, 50650, 57506
1801, 6762, 0, 13, 7, 50724, 57506
1807, 6796, 0, 14, 5, 50691, 57506
1813, 6815, 0, 16, 5, 50670, 57506
1819, 6790, 0, 16, 6, 50694, 57506
1825, 6842, 0, 18, 6, 50640, 57506
1831, 6866, 0, 18, 5, 50617, 57506
1837, 6885, 0, 20, 5, 50596, 57506
1843, 6821, 0, 20, 6, 50659, 57506
1849, 6811, 0, 18, 8, 50669, 57506
1855, 6800, 0, 16, 9, 50681, 57506
1861, 6857, 0, 16, 10, 50623, 57506
1867, 6834, 0, 16, 13, 50643, 57506
