ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
1219, 3647, 14618, 165, 36668, 2424, 57522
1225, 3692, 14366, 301, 33737, 5426, 57522
1231, 3655, 14055, 371, 32204, 7237, 57522
1237, 3509, 13537, 396, 29326, 10754, 57522
1243, 3517, 12466, 427, 36316, 4796, 57522
1249, 3190, 10609, 450, 36721, 6552, 57522
1255, 3435, 9637, 500, 35387, 8563, 57522
1261, 3404, 7936, 425, 35802, 9955, 57522
1267, 3226, 5417, 322, 38360, 10197, 57522
1273, 3398, 2967, 221, 40286, 10650, 57522
1279, 3335, 1172, 195, 42358, 10462, 57522
1285, 3445, 446, 194, 45893, 7544, 57522
1291, 3506, 309, 223, 46299, 7185, 57522
1297, 3526, 279, 162, 46127, 7428, 57522
1303, 3459, 295, 183, 45766, 7819, 57522
1309, 3454, 203, 182, 45156, 8527, 57522
1315, 3539, 203, 152, 45049, 8579, 57522
1321, 3584, 238, 155, 44583, 8962, 57522
1327, 3669, 620, 218, 51528, 1487, 57522
1333, 3607, 1196, 184, 52124, 411, 57522
1339, 3479, 2154, 182, 51448, 259, 57522
1345, 3568, 4214, 151, 49416, 173, 57522
1351, 3537, 5952, 168, 47581, 284, 57522
1357, 3459, 8234, 164, 45543, 122, 57522
1363, 3592, 10083, 121, 43618, 108, 57522
1369, 3604, 12359, 90, 41346, 123, 57522
1375, 3713, 14433, 92, 39184, 100, 57522
1381, 3493, 15422, 92, 38414, 101, 57522
1387, 3442, 16390, 153, 37109, 428, 57522
1393, 3544, 16457, 91, 35977, 1453, 57522
1399, 3481, 16502, 123, 33275, 4141, 57522
1405, 3410, 16213, 270, 31521, 6108, 57522
1411, 3445, 15949, 327, 35480, 2321, 57522
1417, 3408, 14682, 239, 36195, 2998, 57522
1423, 3520, 13631, 189, 37014, 3168, 57522
1429, 3737, 12891, 161, 37361, 3372, 57522
1435, 3583, 10886, 172, 39274, 3607, 57522
1441, 3628, 8550, 189, 40909, 4246, 57522
1447, 3558, 6825, 192, 42552, 4395, 57522
1453, 3434, 4646, 322, 41467, 7653, 57522
1459, 3399, 3015, 292, 42598, 8218, 57522
1465, 3324, 2203, 272, 42680, 9043, 57522
1471, 3189, 1681, 253, 42703, 9696, 57522
1477, 3372, 1556, 281, 41399, 10914, 57522
1483, 3344, 1204, 273, 41424, 11277, 57522
1489, 3233, 869, 240, 40637, 12543, 57522
1495, 3306, 1359, 192, 51534, 1131, 57522
1501, 3367, 1365, 130, 51550, 1110, 57522
1507, 3406, 1500, 122, 51431, 1063, 57522
1513, 3214, 1990, 121, 51120, 1077, 57522
1519, 3243, 2996, 92, 50138, 1053, 57522
1525, 3244, 3635, 91, 49485, 1067, 57522
1531, 3344, 4614, 91, 48411, 1062, 57522
1537, 3223, 6020, 90, 48160, 29, 57522
1543, 3144, 7014, 90, 47162, 112, 57522
1549, 3222, 7204, 90, 46883, 123, 57522
1555, 3298, 7035, 90, 46744, 355, 57522
1561, 3334, 6973, 92, 46408, 715, 57522
1567, 3295, 6918, 91, 46353, 865, 57522
1573, 3209, 6952, 315, 38680, 8366, 57522
1579, 3077, 6166, 422, 39736, 8121, 57522
1585, 3096, 5947, 421, 38908, 9150, 57522
1591, 3236, 5576, 420, 37193, 11097, 57522
1597, 3100, 5409, 420, 36286, 12307, 57522
1603, 2998, 4923, 421, 36452, 12728, 57522
1609, 3131, 1808, 420, 36883, 15280, 57522
1615, 3226, 708, 220, 35090, 18278, 57522
1621, 3305, 228, 148, 38404, 15437, 57522
1627, 3274, 147, 135, 38667, 15299, 57522
1633, 3470, 157, 100, 36989, 16806, 57522
1639, 3190, 201, 98, 35988, 18045, 57522
1645, 3089, 141, 158, 32522, 21612, 57522
1651, 3190, 143, 159, 31872, 22158, 57522
1657, 3323, 238, 159, 31135, 22667, 57522
1663, 3293, 653, 203, 48479, 4894, 57522
1669, 3397, 700, 194, 48304, 4927, 57522
1675, 3458, 953, 194, 48151, 4766, 57522
1681, 3411, 1947, 196, 47311, 4657, 57522
1687, 3378, 2077, 136, 47441, 4490, 57522
1693, 3267, 2906, 120, 46987, 4242, 57522
1699, 3022, 3025, 120, 47173, 4182, 57522
1705, 3029, 4905, 91, 49416, 81, 57522
1711, 3136, 5278, 90, 48864, 154, 57522
1717, 3160, 5298, 92, 48631, 341, 57522
1723, 3122, 5244, 91, 47875, 1190, 57522
1729, 3254, 5326, 91, 47069, 1782, 57522
1735, 3312, 5102, 164, 46690, 2254, 57522
1741, 3302, 5074, 274, 34195, 14677, 57522
1747, 2516, 4940, 274, 44098, 5694, 57522
1753, 3745, 4527, 272, 41010, 7968, 57522
1759, 3762, 4243, 270, 40417, 8830, 57522
1765, 3449, 4050, 338, 40030, 9655, 57522
1771, 3309, 3460, 369, 39974, 10410, 57522
1777, 3235, 3008, 267, 38257, 12755, 57522
1783, 3162, 2257, 220, 38954, 12929, 57522
1789, 3169, 1866, 189, 32052, 20246, 57522
1795, 3133, 1408, 188, 31655, 21138, 57522
1801, 3067, 884, 188, 30753, 22630, 57522
1807, 3325, 763, 188, 29610, 23636, 57522
1813, 3297, 709, 92, 24935, 28489, 57522
1819, 3141, 612, 92, 24650, 29027, 57522
1825, 3261, 470, 121, 23727, 29943, 57522
1831, 3152, 988, 131, 40404, 12847, 57522
1837, 3126, 984, 131, 40642, 12639, 57522
1843, 3144, 1178, 131, 40655, 12414, 57522
1849, 3137, 2007, 120, 40628, 11630, 57522
1855, 3374, 2148, 120, 40838, 11042, 57522
1861, 3238, 2874, 121, 40627, 10662, 57522
1867, 3125, 3405, 92, 40870, 10030, 57522
1873, 3214, 6891, 91, 46673, 653, 57522
1879, 3101, 7266, 91, 46350, 714, 57522
1885, 3094, 7192, 90, 46111, 1035, 57522
1891, 3125, 7159, 91, 45068, 2079, 57522
1897, 3051, 7144, 91, 43720, 3516, 57522
1903, 3223, 6901, 90, 40344, 6964, 57522
1909, 3377, 6946, 92, 32702, 14405, 57522
1915, 3389, 6945, 102, 34963, 12123, 57522
1921, 4279, 6803, 92, 31781, 14567, 57522
1927, 4087, 6477, 90, 30543, 16325, 57522
1933, 4088, 5506, 92, 26962, 20874, 57522
1939, 3959, 5059, 91, 25072, 23341, 57522
