ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
739, 6, 19618, 158, 37712, 8, 57502
745, 12, 19319, 239, 37923, 9, 57502
751, 10, 19356, 236, 37892, 8, 57502
757, 9, 19230, 322, 37935, 6, 57502
763, 8, 18702, 316, 38469, 7, 57502
769, 12, 16151, 344, 40989, 6, 57502
775, 9, 13727, 338, 43420, 8, 57502
781, 8, 9839, 255, 47393, 7, 57502
787, 9, 6448, 157, 50881, 7, 57502
793, 10, 3933, 158, 53396, 5, 57502
799, 6, 1096, 136, 56253, 11, 57502
805, 9, 538, 174, 56773, 8, 57502
811, 8, 151, 309, 57029, 5, 57502
817, 9, 152, 356, 56976, 9, 57502
823, 9, 112, 327, 57046, 8, 57502
829, 9, 118, 480, 56889, 6, 57502
835, 7, 586, 621, 56278, 10, 57502
841, 12, 1262, 572, 55649, 7, 57502
847, 12, 1726, 499, 55258, 7, 57502
853, 10, 1723, 368, 55393, 8, 57502
859, 7, 2406, 321, 54761, 7, 57502
865, 4, 2503, 297, 54693, 5, 57502
871, 4, 2494, 211, 54784, 9, 57502
877, 3, 2569, 93, 54826, 11, 57502
883, 1, 2685, 75, 54731, 10, 57502
889, 2, 9232, 76, 48182, 10, 57502
895, 3, 9516, 65, 47911, 7, 57502
901, 5, 9648, 63, 47781, 5, 57502
907, 8, 9386, 3, 48101, 4, 57502
913, 2140, 8847, 158, 46347, 10, 57502
919, 2359, 8218, 219, 46701, 5, 57502
925, 2490, 8179, 442, 46383, 8, 57502
931, 2711, 8015, 435, 46332, 9, 57502
937, 2909, 7424, 428, 46733, 8, 57502
943, 3057, 7385, 428, 46624, 8, 57502
949, 3057, 7262, 426, 46748, 9, 57502
955, 3287, 7133, 361, 46711, 10, 57502
961, 3509, 1098, 334, 52556, 5, 57502
967, 3515, 410, 122, 53448, 7, 57502
973, 3509, 254, 96, 53638, 5, 57502
979, 3512, 206, 94, 53685, 5, 57502
985, 3390, 246, 96, 53764, 6, 57502
991, 3477, 272, 93, 53655, 5, 57502
997, 3518, 483, 124, 53370, 7, 57502
1003, 3454, 499, 122, 53421, 6, 57502
1009, 3484, 677, 125, 53210, 6, 57502
1015, 3389, 1091, 123, 52893, 6, 57502
1021, 3238, 1119, 122, 53015, 8, 57502
1027, 3224, 1231, 122, 52919, 6, 57502
1033, 3007, 1637, 123, 52732, 3, 57502
1039, 3141, 2222, 93, 52040, 6, 57502
1045, 3262, 3130, 93, 51012, 5, 57502
1051, 3162, 5008, 92, 49234, 6, 57502
1057, 3116, 5973, 92, 48314, 7, 57502
1063, 3220, 7033, 93, 47149, 7, 57502
1069, 3175, 7650, 93, 46577, 7, 57502
1075, 3199, 7760, 95, 46443, 5, 57502
1081, 3331, 7725, 300, 46137, 9, 57502
1087, 3030, 7488, 686, 46288, 10, 57502
1093, 3069, 7377, 1087, 45962, 7, 57502
1099, 3120, 7037, 1179, 46156, 10, 57502
1105, 3099, 7057, 1196, 46139, 11, 57502
1111, 3223, 6700, 1195, 46374, 10, 57502
1117, 3282, 6338, 1287, 46579, 16, 57502
1123, 3226, 5284, 1265, 47711, 16, 57502
1129, 3252, 4619, 184, 49404, 43, 57502
1135, 3246, 3887, 123, 50200, 46, 57502
1141, 3305, 2669, 124, 51350, 54, 57502
1147, 3331, 2246, 123, 51787, 15, 57502
1153, 3372, 2011, 90, 52005, 24, 57502
1159, 3335, 1649, 91, 52421, 6, 57502
1165, 3322, 1264, 91, 52817, 8, 57502
1171, 3508, 1143, 124, 52719, 8, 57502
1177, 3634, 684, 152, 53026, 6, 57502
1183, 3619, 451, 151, 53276, 5, 57502
1189, 3530, 399, 152, 53415, 6, 57502
1195, 3511, 1078, 152, 52754, 7, 57502
1201, 3447, 3664, 153, 50230, 8, 57502
1207, 3725, 6261, 154, 47356, 6, 57502
1213, 3805, 9221, 124, 44347, 5, 57502
1219, 3536, 11719, 123, 42117, 7, 57502
1225, 3447, 14523, 92, 39434, 6, 57502
1231, 3393, 16680, 93, 37327, 9, 57502
1237, 3515, 17256, 91, 36634, 6, 57502
1243, 3652, 17578, 179, 36086, 7, 57502
1249, 3598, 17524, 208, 36162, 10, 57502
1255, 3467, 17556, 242, 36230, 7, 57502
1261, 3507, 17545, 247, 36200, 3, 57502
1267, 3256, 16776, 240, 37224, 6, 57502
1273, 3307, 14439, 259, 39491, 6, 57502
1279, 3364, 11854, 262, 42017, 5, 57502
1285, 3324, 8927, 284, 44955, 12, 57502
1291, 3335, 6386, 278, 47499, 4, 57502
1297, 3575, 3579, 238, 50101, 9, 57502
1303, 3487, 1441, 137, 52430, 7, 57502
1309, 3437, 723, 140, 53189, 13, 57502
1315, 3376, 744, 141, 53230, 11, 57502
1321, 3391, 404, 119, 53580, 8, 57502
1327, 3392, 356, 120, 53627, 7, 57502
1333, 3469, 267, 93, 53668, 5, 57502
1339, 3293, 271, 93, 53837, 8, 57502
1345, 3503, 408, 93, 53491, 7, 57502
1351, 3441, 523, 96, 53436, 6, 57502
1357, 3485, 867, 91, 53053, 6, 57502
1363, 3455, 2347, 93, 51603, 4, 57502
1369, 3465, 4152, 93, 49771, 21, 57502
1375, 3353, 6962, 93, 47086, 8, 57502
1381, 3259, 9087, 93, 45042, 21, 57502
1387, 3302, 11276, 91, 42826, 7, 57502
1393, 3163, 14464, 92, 39761, 22, 57502
1399, 3226, 16797, 94, 37374, 11, 57502
1405, 3268, 17432, 91, 36689, 22, 57502
1411, 3282, 17934, 92, 36186, 8, 57502
1417, 3154, 17817, 115, 36407, 9, 57502
1423, 3276, 17844, 311, 36051, 20, 57502
1429, 3378, 17702, 563, 35763, 96, 57502
1435, 3288, 16802, 724, 36672, 16, 57502
1441, 3308, 14329, 258, 39600, 7, 57502
1447, 3314, 11629, 168, 42384, 7, 57502
1453, 3209, 9440, 166, 44680, 7, 57502
1459, 3411, 7286, 165, 46632, 8, 57502
1465, 3437, 6443, 92, 47494, 36, 57502
1471, 3385, 5145, 123, 48811, 38, 57502
1477, 3598, 4068, 125, 49665, 46, 57502
1483, 3523, 3490, 122, 50361, 6, 57502
1489, 3634, 2526, 123, 51210, 9, 57502
1495, 3349, 692, 122, 53332, 7, 57502
1501, 3357, 399, 124, 53612, 10, 57502
1507, 3394, 402, 184, 53511, 11, 57502
1513, 3443, 789, 125, 53136, 9, 57502
1519, 3612, 1706, 94, 52082, 8, 57502
1525, 3808, 1938, 94, 51656, 6, 57502
1531, 3827, 3647, 91, 49931, 6, 57502
1537, 3782, 5358, 92, 48248, 22, 57502
1543, 3708, 6805, 92, 46884, 13, 57502
1549, 3792, 7740, 90, 45864, 16, 57502
1555, 3468, 8139, 92, 45784, 19, 57502
1561, 3476, 9332, 91, 44579, 24, 57502
1567, 3473, 10282, 92, 43639, 16, 57502
1573, 3494, 10432, 92, 43465, 19, 57502
1579, 3388, 10452, 93, 43563, 6, 57502
1585, 3404, 10356, 191, 43546, 5, 57502
1591, 3349, 9327, 350, 44468, 8, 57502
1597, 3232, 9078, 600, 44588, 4, 57502
1603, 3129, 7330, 588, 46448, 7, 57502
1609, 3296, 6703, 593, 46903, 7, 57502
1615, 3246, 6261, 593, 47395, 7, 57502
1621, 3422, 5751, 592, 47730, 7, 57502
1627, 3499, 5280, 560, 48156, 7, 57502
1633, 3454, 1847, 456, 51737, 8, 57502
1639, 3566, 651, 100, 53173, 12, 57502
1645, 3734, 442, 97, 53217, 12, 57502
1651, 3664, 408, 95, 53234, 101, 57502
1657, 3813, 268, 181, 53141, 99, 57502
1663, 3767, 293, 184, 53241, 17, 57502
1669, 3605, 302, 184, 53392, 19, 57502
1675, 3406, 393, 181, 53500, 22, 57502
1681, 3384, 578, 182, 53339, 19, 57502
1687, 3328, 746, 182, 53228, 18, 57502
1693, 3454, 794, 183, 53051, 20, 57502
1699, 3587, 1094, 95, 52705, 21, 57502
1705, 3681, 1788, 91, 51935, 7, 57502
1711, 3760, 2532, 92, 51111, 7, 57502
