ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
871, 0, 191, 85, 57223, 5, 57504
877, 0, 170, 72, 57257, 5, 57504
883, 1, 169, 70, 57259, 5, 57504
889, 1, 141, 59, 57299, 4, 57504
895, 1, 127, 60, 57312, 4, 57504
901, 0, 133, 59, 57308, 4, 57504
907, 0, 105, 59, 57025, 315, 57504
913, 0, 106, 57, 56831, 510, 57504
919, 0, 106, 57, 56927, 414, 57504
925, 1, 106, 59, 10758, 46580, 57504
931, 2, 87, 58, 26347, 31010, 57504
937, 2, 85, 59, 31694, 25664, 57504
943, 2, 85, 58, 36837, 20522, 57504
949, 4, 85, 57, 57262, 96, 57504
955, 3, 85, 58, 57294, 64, 57504
961, 3, 85, 57, 57290, 69, 57504
967, 3, 84, 57, 57292, 68, 57504
973, 4, 521, 60, 49771, 7148, 57504
979, 4, 496, 59, 52393, 4552, 57504
985, 3, 477, 59, 53465, 3500, 57504
991, 3, 469, 59, 56970, 3, 57504
997, 3, 458, 58, 56981, 4, 57504
1003, 1, 455, 60, 56985, 3, 57504
1009, 1, 451, 59, 56990, 3, 57504
1015, 2, 356, 57, 57086, 3, 57504
1021, 10, 238, 55, 57187, 14, 57504
1027, 7, 175, 55, 57255, 12, 57504
1033, 5, 175, 57, 57261, 6, 57504
1039, 3, 99, 56, 57341, 5, 57504
1045, 3, 66, 56, 57374, 5, 57504
1051, 3, 65, 56, 57376, 4, 57504
1057, 2, 63, 56, 57378, 5, 57504
1063, 2, 2, 56, 57439, 5, 57504
1069, 2, 1, 57, 57439, 5, 57504
1075, 1, 1, 57, 57440, 5, 57504
1081, 1, 1, 58, 57440, 4, 57504
1087, 2, 1, 57, 57440, 4, 57504
1093, 10, 3173, 59, 40308, 13954, 57504
1099, 8, 3168, 57, 40334, 13937, 57504
1105, 7, 3138, 56, 40369, 13934, 57504
1111, 7, 3171, 55, 40342, 13929, 57504
1117, 6, 3171, 58, 54221, 48, 57504
1123, 5, 3171, 57, 54148, 123, 57504
1129, 4, 3195, 58, 54152, 95, 57504
1135, 4, 2191, 58, 55159, 92, 57504
1141, 10, 1707, 60, 53318, 2409, 57504
1147, 1862, 1189, 58, 52276, 2119, 57504
1153, 3190, 90, 57, 52164, 2003, 57504
1159, 3088, 90, 57, 54262, 7, 57504
1165, 3147, 90, 57, 54203, 7, 57504
1171, 3362, 91, 57, 53989, 5, 57504
1177, 4357, 91, 60, 52939, 57, 57504
1183, 4103, 91, 58, 53163, 89, 57504
1189, 4083, 121, 57, 53158, 85, 57504
1195, 3856, 121, 57, 53417, 53, 57504
1201, 3904, 90, 56, 53449, 5, 57504
1207, 3989, 90, 57, 53363, 5, 57504
1213, 3796, 90, 56, 53556, 6, 57504
1219, 3887, 197, 56, 53358, 6, 57504
1225, 3629, 197, 56, 53617, 5, 57504
1231, 3422, 197, 57, 53823, 5, 57504
1237, 3218, 197, 57, 54027, 5, 57504
1243, 3211, 298, 59, 53924, 12, 57504
1249, 3289, 328, 61, 53810, 16, 57504
1255, 3317, 365, 57, 53748, 17, 57504
1261, 3539, 1404, 65, 52172, 324, 57504
1267, 3522, 1489, 63, 52112, 318, 57504
1273, 3441, 1548, 60, 52139, 316, 57504
1279, 3371, 1516, 59, 52241, 317, 57504
1285, 3284, 1455, 58, 52698, 9, 57504
1291, 3319, 1426, 57, 52693, 9, 57504
1297, 3352, 1393, 60, 52686, 13, 57504
1303, 3233, 1196, 59, 53007, 9, 57504
1309, 3306, 919, 59, 53207, 13, 57504
1315, 3520, 745, 58, 53170, 11, 57504
1321, 3520, 525, 55, 53392, 12, 57504
1327, 3501, 408, 55, 53535, 5, 57504
1333, 3637, 287, 154, 53418, 8, 57504
1339, 3402, 284, 155, 53655, 8, 57504
1345, 3531, 282, 127, 53534, 30, 57504
1351, 3735, 224, 125, 53391, 29, 57504
1357, 3651, 203, 124, 53519, 7, 57504
1363, 3576, 184, 65, 53672, 7, 57504
1369, 3508, 153, 65, 53775, 3, 57504
1375, 3538, 122, 66, 53775, 3, 57504
1381, 3486, 122, 65, 53827, 4, 57504
1387, 3435, 122, 64, 53879, 4, 57504
1393, 3366, 92, 58, 53984, 4, 57504
1399, 3335, 92, 59, 54014, 4, 57504
1405, 3478, 93, 56, 53873, 4, 57504
1411, 3342, 93, 57, 54008, 4, 57504
1417, 3316, 191, 58, 53934, 5, 57504
1423, 3182, 191, 59, 54067, 5, 57504
1429, 3357, 894, 67, 53178, 8, 57504
1435, 3325, 894, 59, 53219, 7, 57504
1441, 3464, 895, 59, 53080, 6, 57504
1447, 3395, 896, 62, 53145, 6, 57504
1453, 3288, 895, 62, 53254, 5, 57504
1459, 3441, 833, 60, 53161, 9, 57504
1465, 3354, 878, 59, 53205, 8, 57504
1471, 3384, 666, 61, 53383, 10, 57504
1477, 3188, 657, 62, 53506, 91, 57504
1483, 3278, 547, 58, 53532, 89, 57504
1489, 3250, 458, 58, 53648, 90, 57504
1495, 3249, 158, 104, 53919, 74, 57504
1501, 3294, 167, 56, 53812, 175, 57504
1507, 3667, 175, 57, 53519, 86, 57504
1513, 3628, 132, 55, 53604, 85, 57504
1519, 3690, 132, 49, 53530, 103, 57504
1525, 3563, 132, 46, 53658, 105, 57504
1531, 3504, 131, 48, 53716, 105, 57504
1537, 3674, 131, 49, 53646, 4, 57504
1543, 3534, 131, 48, 53787, 4, 57504
1549, 3483, 131, 47, 53839, 4, 57504
1555, 3503, 131, 48, 53819, 3, 57504
1561, 3265, 90, 49, 54097, 3, 57504
1567, 3302, 91, 50, 54057, 4, 57504
1573, 3300, 91, 48, 54060, 5, 57504
1579, 3364, 90, 47, 53969, 34, 57504
1585, 3322, 170, 48, 53849, 115, 57504
1591, 3368, 238, 44, 53736, 118, 57504
1597, 3429, 1687, 42, 51675, 671, 57504
1603, 3409, 1781, 39, 51605, 670, 57504
1609, 3410, 1852, 38, 51535, 669, 57504
1615, 3388, 1849, 40, 51562, 665, 57504
1621, 3421, 1871, 41, 52163, 8, 57504
1627, 3471, 1842, 43, 52138, 10, 57504
1633, 3488, 1930, 43, 52030, 13, 57504
1639, 3556, 1570, 41, 52284, 53, 57504
1645, 3664, 1446, 41, 52298, 55, 57504
1651, 3787, 1226, 43, 52394, 54, 57504
1657, 3715, 90, 44, 53603, 52, 57504
1663, 3625, 138, 43, 53691, 7, 57504
1669, 3639, 138, 45, 53675, 7, 57504
1675, 3650, 169, 45, 53633, 7, 57504
1681, 3613, 169, 44, 53638, 40, 57504
1687, 3495, 169, 46, 53782, 12, 57504
1693, 3517, 170, 43, 53766, 8, 57504
1699, 3456, 170, 44, 53829, 5, 57504
1705, 3335, 169, 45, 53951, 4, 57504
1711, 3448, 169, 46, 53838, 3, 57504
1717, 3515, 171, 40, 53774, 4, 57504
1723, 3669, 170, 40, 53621, 4, 57504
1729, 3761, 90, 42, 53607, 4, 57504
