ts, default broker, CrocodileAgent, AgentUDE, total
1219, 6661, 2791, 48057, 57509
1225, 6618, 2772, 48119, 57509
1231, 6610, 3349, 47550, 57509
1237, 6774, 6346, 44389, 57509
1243, 6755, 44053, 6701, 57509
1249, 6846, 47937, 2726, 57509
1255, 6845, 48290, 2374, 57509
1261, 6754, 48577, 2178, 57509
1267, 6801, 48728, 1980, 57509
1273, 6868, 48772, 1869, 57509
1279, 6860, 48824, 1825, 57509
1285, 6848, 49962, 699, 57509
1291, 6643, 50002, 864, 57509
1297, 6722, 49659, 1128, 57509
1303, 6683, 49248, 1578, 57509
1309, 6677, 48152, 2680, 57509
1315, 6759, 39133, 11617, 57509
1321, 6757, 30183, 20569, 57509
1327, 6842, 21266, 29401, 57509
1333, 6806, 16428, 34275, 57509
1339, 6586, 13734, 37189, 57509
1345, 6669, 10058, 40782, 57509
1351, 6772, 6165, 44572, 57509
1357, 6875, 4680, 45954, 57509
1363, 6923, 4289, 46297, 57509
1369, 6864, 3392, 47253, 57509
1375, 6805, 2701, 48003, 57509
1381, 6877, 1755, 48877, 57509
1387, 6820, 1722, 48967, 57509
1393, 6844, 1682, 48983, 57509
1399, 6811, 1635, 49063, 57509
1405, 6765, 1690, 49054, 57509
1411, 6775, 41618, 9116, 57509
1417, 6776, 46564, 4169, 57509
1423, 6756, 47803, 2950, 57509
1429, 6898, 48290, 2321, 57509
1435, 6906, 48872, 1731, 57509
1441, 6846, 49244, 1419, 57509
1447, 6855, 49414, 1240, 57509
1453, 6870, 49990, 649, 57509
1459, 6905, 49748, 856, 57509
1465, 6760, 49624, 1125, 57509
1471, 6785, 49499, 1225, 57509
1477, 6728, 49474, 1307, 57509
1483, 6836, 38438, 12235, 57509
1489, 6826, 29322, 21361, 57509
1495, 6791, 18838, 31880, 57509
1501, 6826, 16464, 34219, 57509
1507, 6838, 11541, 39130, 57509
1513, 6786, 9385, 41338, 57509
1519, 6854, 7260, 43395, 57509
1525, 6862, 6469, 44178, 57509
1531, 6853, 5443, 45213, 57509
1537, 6832, 4407, 46270, 57509
1543, 6888, 3517, 47104, 57509
1549, 6836, 2923, 47750, 57509
1555, 6891, 2407, 48211, 57509
1561, 6854, 2390, 48265, 57509
1567, 6917, 2304, 48288, 57509
1573, 6957, 2243, 48309, 57509
1579, 6969, 48431, 2109, 57509
1585, 6921, 48913, 1675, 57509
1591, 6786, 49678, 1045, 57509
1597, 6584, 50188, 737, 57509
1603, 6664, 50246, 599, 57509
1609, 6712, 50295, 502, 57509
1615, 6706, 50406, 397, 57509
1621, 6854, 49974, 681, 57509
1627, 6895, 48744, 1870, 57509
1633, 6882, 48280, 2347, 57509
1639, 6842, 48255, 2412, 57509
1645, 6953, 48143, 2413, 57509
1651, 6965, 4652, 45892, 57509
1657, 6946, 1889, 48674, 57509
1663, 6869, 2031, 48609, 57509
1669, 6724, 1736, 49049, 57509
1675, 6677, 1422, 49410, 57509
1681, 6774, 1079, 49656, 57509
1687, 6802, 984, 49723, 57509
1693, 6852, 831, 49826, 57509
1699, 6869, 656, 49984, 57509
