ts, default broker, SPOT, Bunnie, total
733, 6860, 62, 50588, 57510
739, 6864, 63, 50583, 57510
745, 6844, 53, 50613, 57510
751, 6803, 75, 50632, 57510
757, 6725, 75, 50710, 57510
763, 6752, 75, 50683, 57510
769, 6802, 81, 50627, 57510
775, 6881, 90, 50539, 57510
781, 6684, 95, 50731, 57510
787, 6775, 96, 50639, 57510
793, 6889, 94, 50527, 57510
799, 6912, 94, 50504, 57510
805, 6919, 96, 50495, 57510
811, 6926, 96, 50488, 57510
817, 6928, 94, 50488, 57510
823, 6910, 94, 50506, 57510
829, 6870, 94, 50546, 57510
835, 6891, 95, 50524, 57510
841, 6893, 93, 50524, 57510
847, 6846, 95, 50569, 57510
853, 6873, 96, 50541, 57510
859, 6832, 96, 50582, 57510
865, 6818, 94, 50598, 57510
871, 6761, 94, 50655, 57510
877, 6789, 95, 50626, 57510
883, 6865, 98, 50547, 57510
889, 6855, 96, 50559, 57510
895, 6889, 98, 50523, 57510
901, 6931, 97, 50482, 57510
907, 6943, 98, 50469, 57510
913, 6909, 100, 50501, 57510
919, 6896, 100, 50514, 57510
925, 6956, 66, 50488, 57510
931, 6945, 59, 50506, 57510
937, 6889, 70, 50551, 57510
943, 6808, 92, 50610, 57510
949, 6898, 94, 50518, 57510
955, 6925, 95, 50490, 57510
961, 6871, 94, 50545, 57510
967, 6906, 94, 50510, 57510
973, 6873, 94, 50543, 57510
979, 6825, 96, 50589, 57510
985, 6855, 93, 50562, 57510
991, 6874, 94, 50542, 57510
997, 6815, 94, 50601, 57510
1003, 6825, 95, 50590, 57510
1009, 6793, 93, 50624, 57510
1015, 6889, 95, 50526, 57510
1021, 6889, 96, 50525, 57510
1027, 6911, 96, 50503, 57510
1033, 6934, 93, 50483, 57510
1039, 6880, 93, 50537, 57510
1045, 6847, 94, 50569, 57510
1051, 6868, 95, 50547, 57510
1057, 6841, 94, 50575, 57510
1063, 6864, 94, 50552, 57510
1069, 6891, 94, 50525, 57510
1075, 6913, 94, 50503, 57510
1081, 6935, 93, 50482, 57510
1087, 6886, 93, 50531, 57510
1093, 6763, 93, 50654, 57510
1099, 6794, 93, 50623, 57510
1105, 6802, 93, 50615, 57510
1111, 6828, 95, 50587, 57510
1117, 6829, 95, 50586, 57510
1123, 6735, 94, 50681, 57510
1129, 6808, 93, 50609, 57510
1135, 6905, 94, 50511, 57510
1141, 6401, 95, 51014, 57510
1147, 6353, 95, 51062, 57510
1153, 6535, 93, 50882, 57510
1159, 6755, 93, 50662, 57510
1165, 6820, 93, 50597, 57510
1171, 6836, 94, 50580, 57510
1177, 6856, 94, 50560, 57510
1183, 6848, 95, 50567, 57510
1189, 6808, 96, 50606, 57510
1195, 6876, 97, 50537, 57510
1201, 6916, 96, 50498, 57510
1207, 6889, 97, 50524, 57510
1213, 6800, 97, 50613, 57510
1219, 6795, 97, 50618, 57510
1225, 6839, 94, 50577, 57510
1231, 6712, 95, 50703, 57510
1237, 6837, 96, 50577, 57510
1243, 6866, 95, 50549, 57510
1249, 6920, 97, 50493, 57510
1255, 6887, 97, 50526, 57510
1261, 6903, 96, 50511, 57510
1267, 6811, 97, 50602, 57510
1273, 6822, 93, 50595, 57510
1279, 6885, 93, 50532, 57510
1285, 6934, 93, 50483, 57510
1291, 6939, 95, 50476, 57510
1297, 6933, 95, 50482, 57510
1303, 6889, 96, 50525, 57510
1309, 6780, 98, 50632, 57510
1315, 6800, 99, 50611, 57510
1321, 6787, 95, 50628, 57510
1327, 6853, 96, 50561, 57510
1333, 6862, 94, 50554, 57510
1339, 6899, 94, 50517, 57510
1345, 6866, 93, 50551, 57510
1351, 6894, 93, 50523, 57510
1357, 6888, 93, 50529, 57510
1363, 6856, 93, 50561, 57510
1369, 6885, 93, 50532, 57510
1375, 6832, 95, 50583, 57510
1381, 6863, 96, 50551, 57510
1387, 6789, 96, 50625, 57510
1393, 6751, 96, 50663, 57510
1399, 6836, 96, 50578, 57510
1405, 6756, 96, 50658, 57510
1411, 6840, 95, 50575, 57510
1417, 6801, 93, 50616, 57510
1423, 6870, 94, 50546, 57510
1429, 6845, 94, 50571, 57510
1435, 6845, 94, 50571, 57510
1441, 6778, 93, 50639, 57510
1447, 6802, 93, 50615, 57510
1453, 6723, 93, 50694, 57510
1459, 6786, 93, 50631, 57510
1465, 6773, 93, 50644, 57510
1471, 6833, 93, 50584, 57510
1477, 6796, 93, 50621, 57510
1483, 6809, 94, 50607, 57510
1489, 6885, 94, 50531, 57510
1495, 6901, 94, 50515, 57510
1501, 6927, 94, 50489, 57510
1507, 6900, 95, 50515, 57510
1513, 6945, 57, 50508, 57510
1519, 6935, 50, 50525, 57510
1525, 6833, 79, 50598, 57510
1531, 6839, 95, 50576, 57510
1537, 6857, 93, 50560, 57510
1543, 6824, 93, 50593, 57510
1549, 6887, 93, 50530, 57510
1555, 6908, 94, 50508, 57510
1561, 6930, 93, 50487, 57510
1567, 6937, 93, 50480, 57510
1573, 6965, 95, 50450, 57510
1579, 6981, 95, 50434, 57510
1585, 6962, 94, 50454, 57510
1591, 6956, 94, 50460, 57510
1597, 6929, 94, 50487, 57510
1603, 6766, 95, 50649, 57510
1609, 6836, 94, 50580, 57510
1615, 6884, 96, 50530, 57510
1621, 6849, 96, 50565, 57510
1627, 6705, 96, 50709, 57510
1633, 6711, 97, 50702, 57510
1639, 6774, 97, 50639, 57510
1645, 6743, 96, 50671, 57510
1651, 6727, 96, 50687, 57510
1657, 6756, 95, 50659, 57510
1663, 6812, 95, 50603, 57510
1669, 6826, 96, 50588, 57510
1675, 6854, 95, 50561, 57510
1681, 6782, 59, 50669, 57510
1687, 6830, 53, 50627, 57510
1693, 6905, 52, 50553, 57510
1699, 6908, 46, 50556, 57510
1705, 6912, 52, 50546, 57510
1711, 6917, 50, 50543, 57510
1717, 6772, 51, 50687, 57510
1723, 6780, 53, 50677, 57510
1729, 6828, 40, 50642, 57510
1735, 6739, 40, 50731, 57510
1741, 6876, 44, 50590, 57510
1747, 6838, 47, 50625, 57510
1753, 6830, 46, 50634, 57510
1759, 6853, 45, 50612, 57510
1765, 6824, 44, 50642, 57510
1771, 6906, 49, 50555, 57510
