ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
727, 6517, 47397, 1415, 1221, 953, 57503
733, 6634, 43945, 2550, 1204, 3170, 57503
739, 6722, 36922, 3476, 1637, 8746, 57503
745, 6659, 29337, 1351, 1771, 18385, 57503
751, 6757, 22698, 1753, 1865, 24430, 57503
757, 6891, 18471, 2023, 1787, 28331, 57503
763, 6864, 13316, 2504, 1715, 33104, 57503
769, 6818, 10952, 1246, 1581, 36906, 57503
775, 6746, 9624, 1855, 1477, 37801, 57503
781, 6647, 1937, 2143, 1245, 45531, 57503
787, 6690, 868, 2288, 1164, 46493, 57503
793, 6766, 951, 2597, 1131, 46058, 57503
799, 6796, 2582, 2863, 1134, 44128, 57503
805, 6785, 4916, 2862, 1134, 41806, 57503
811, 6760, 10824, 1837, 1130, 36952, 57503
817, 6823, 15990, 1162, 1104, 32424, 57503
823, 6723, 48003, 1213, 1107, 457, 57503
829, 6577, 48173, 1194, 1102, 457, 57503
835, 6502, 48617, 953, 1094, 337, 57503
841, 6523, 49684, 93, 1006, 197, 57503
847, 6639, 49632, 93, 982, 157, 57503
853, 6752, 49632, 93, 917, 109, 57503
859, 6808, 49592, 93, 919, 91, 57503
865, 6849, 49778, 92, 760, 24, 57503
871, 6846, 49860, 94, 680, 23, 57503
877, 6857, 49785, 94, 679, 88, 57503
883, 6860, 49188, 144, 681, 630, 57503
889, 6737, 48954, 146, 687, 979, 57503
895, 6735, 45147, 177, 693, 4751, 57503
901, 6771, 35899, 372, 836, 13625, 57503
907, 6764, 21788, 6155, 1983, 20813, 57503
913, 6791, 11897, 9220, 1417, 28178, 57503
919, 6774, 8111, 10657, 1767, 30194, 57503
925, 6746, 5254, 11920, 1003, 32580, 57503
931, 6761, 2298, 12239, 893, 35312, 57503
937, 6805, 1609, 12855, 732, 35502, 57503
943, 6792, 1050, 13304, 1106, 35251, 57503
949, 6834, 3117, 13780, 1556, 32216, 57503
955, 6908, 2792, 11516, 1446, 34841, 57503
961, 6868, 3711, 9460, 1184, 36280, 57503
967, 6740, 5649, 8509, 1067, 35538, 57503
973, 6744, 10516, 6720, 940, 32583, 57503
979, 6847, 13308, 5305, 903, 31140, 57503
985, 6889, 22467, 3698, 954, 23495, 57503
991, 6807, 45518, 2907, 1038, 1233, 57503
997, 6721, 45849, 2735, 979, 1219, 57503
1003, 6745, 46998, 1944, 905, 911, 57503
1009, 6789, 49332, 91, 733, 558, 57503
1015, 6651, 49873, 91, 589, 299, 57503
1021, 6616, 50019, 91, 539, 238, 57503
1027, 6619, 50142, 91, 464, 187, 57503
1033, 6612, 50317, 92, 430, 52, 57503
1039, 6694, 50268, 94, 411, 36, 57503
1045, 6283, 50695, 95, 397, 33, 57503
1051, 6425, 50269, 213, 394, 202, 57503
1057, 6513, 49038, 267, 374, 1311, 57503
1063, 6514, 47570, 268, 433, 2718, 57503
1069, 6641, 41003, 415, 585, 8859, 57503
1075, 6727, 36165, 2177, 929, 11505, 57503
1081, 6801, 30909, 2604, 1189, 16000, 57503
1087, 6850, 25980, 3279, 1482, 19912, 57503
1093, 6892, 21836, 3835, 1526, 23414, 57503
1099, 6887, 19654, 4168, 1442, 25352, 57503
1105, 6863, 17521, 1627, 1249, 30243, 57503
1111, 6897, 15360, 1816, 1049, 32381, 57503
1117, 6896, 15620, 3304, 991, 30692, 57503
1123, 6720, 13112, 3665, 960, 33046, 57503
1129, 6797, 11113, 3868, 785, 34940, 57503
1135, 6768, 11171, 3936, 667, 34961, 57503
1141, 6757, 10495, 3936, 591, 35724, 57503
1147, 6689, 11716, 3416, 553, 35129, 57503
1153, 6801, 13661, 3027, 495, 33519, 57503
1159, 6811, 46839, 2464, 628, 761, 57503
1165, 6866, 47517, 1914, 488, 718, 57503
1171, 6871, 48030, 1550, 447, 605, 57503
1177, 6902, 48435, 1238, 439, 489, 57503
1183, 6907, 48783, 1030, 434, 349, 57503
1189, 6800, 49146, 855, 392, 310, 57503
1195, 6755, 49470, 695, 303, 280, 57503
1201, 6827, 49807, 471, 283, 115, 57503
1207, 6770, 49978, 386, 280, 89, 57503
1213, 6759, 49949, 307, 248, 240, 57503
1219, 6767, 49702, 230, 240, 564, 57503
1225, 6823, 48464, 212, 249, 1755, 57503
1231, 6800, 42951, 173, 388, 7191, 57503
1237, 6807, 36861, 183, 345, 13307, 57503
1243, 6807, 33737, 636, 510, 15813, 57503
1249, 6804, 28068, 908, 559, 21164, 57503
1255, 6782, 23324, 1115, 619, 25663, 57503
1261, 6858, 17233, 1224, 622, 31566, 57503
1267, 6855, 15156, 1398, 540, 33554, 57503
1273, 6803, 11566, 1501, 485, 37148, 57503
1279, 6774, 10179, 1653, 491, 38406, 57503
1285, 6765, 9217, 2035, 544, 38942, 57503
1291, 6883, 7076, 1922, 470, 41152, 57503
1297, 6876, 6260, 1813, 431, 42123, 57503
1303, 6910, 5829, 1634, 334, 42796, 57503
1309, 6650, 5814, 1477, 298, 43264, 57503
1315, 6625, 6344, 1294, 361, 42879, 57503
1321, 6588, 9174, 1143, 312, 40286, 57503
1327, 6628, 47685, 772, 303, 2115, 57503
1333, 6746, 48232, 554, 238, 1733, 57503
1339, 6797, 48785, 414, 235, 1272, 57503
1345, 6740, 49115, 283, 233, 1132, 57503
1351, 6742, 49312, 214, 233, 1002, 57503
1357, 6731, 49579, 183, 230, 780, 57503
1363, 6637, 49718, 182, 226, 740, 57503
1369, 6600, 50477, 134, 237, 55, 57503
1375, 6620, 50458, 133, 234, 58, 57503
1381, 6690, 50386, 133, 237, 57, 57503
1387, 6764, 50170, 175, 244, 150, 57503
1393, 6814, 49833, 184, 250, 422, 57503
1399, 6827, 46157, 319, 336, 3864, 57503
1405, 6869, 40563, 401, 352, 9318, 57503
1411, 6897, 33615, 656, 500, 15835, 57503
1417, 6898, 28411, 743, 503, 20948, 57503
1423, 6898, 22965, 746, 503, 26391, 57503
1429, 6727, 17114, 823, 461, 32378, 57503
1435, 6673, 14982, 801, 432, 34615, 57503
1441, 6744, 10465, 913, 490, 38891, 57503
1447, 6771, 8801, 969, 501, 40461, 57503
1453, 6820, 3104, 911, 712, 45956, 57503
1459, 6842, 770, 928, 326, 48637, 57503
1465, 6863, 1241, 709, 406, 48284, 57503
1471, 6829, 6900, 1012, 691, 42071, 57503
1477, 6667, 10735, 855, 371, 38875, 57503
1483, 6514, 18601, 1051, 243, 31094, 57503
1489, 6676, 25994, 949, 242, 23642, 57503
1495, 6639, 46184, 909, 244, 3527, 57503
1501, 6699, 48809, 811, 235, 949, 57503
1507, 6781, 48996, 788, 227, 711, 57503
1513, 6724, 49212, 739, 221, 607, 57503
1519, 6752, 49520, 612, 221, 398, 57503
1525, 6834, 49575, 532, 220, 342, 57503
1531, 6817, 49705, 450, 218, 313, 57503
1537, 6877, 49977, 390, 221, 38, 57503
1543, 6778, 50167, 269, 220, 69, 57503
1549, 6651, 50401, 161, 227, 63, 57503
1555, 6689, 50139, 222, 312, 141, 57503
1561, 6619, 48555, 252, 420, 1657, 57503
1567, 6624, 46428, 519, 722, 3210, 57503
1573, 6718, 42213, 761, 757, 7054, 57503
1579, 6849, 35120, 2696, 1029, 11809, 57503
1585, 6818, 32026, 2861, 917, 14881, 57503
1591, 6783, 26129, 3313, 1955, 19323, 57503
1597, 6560, 21488, 3607, 1365, 24483, 57503
1603, 6620, 16954, 4094, 1304, 28531, 57503
1609, 6687, 13243, 4349, 1254, 31970, 57503
1615, 6768, 11266, 4435, 1724, 33310, 57503
1621, 6829, 10856, 4741, 1932, 33145, 57503
1627, 6842, 8720, 5539, 1984, 34418, 57503
1633, 6849, 9873, 5120, 1674, 33987, 57503
1639, 6902, 11864, 4726, 1934, 32077, 57503
1645, 6922, 15564, 4132, 1637, 29248, 57503
1651, 6830, 24655, 2924, 1012, 22082, 57503
1657, 6825, 29487, 2444, 706, 18041, 57503
1663, 6813, 47974, 1915, 567, 234, 57503
1669, 6795, 48870, 1126, 529, 183, 57503
1675, 6857, 49439, 655, 407, 145, 57503
1681, 6829, 49626, 574, 348, 126, 57503
1687, 6765, 49901, 440, 321, 76, 57503
1693, 6831, 49941, 397, 262, 72, 57503
1699, 6851, 49925, 391, 256, 80, 57503
1705, 6810, 50341, 58, 270, 24, 57503
1711, 6755, 50392, 72, 267, 17, 57503
