ts, default broker, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, total
1483, 3775, 0, 96, 52097, 1541, 57509
1489, 3687, 0, 94, 52188, 1540, 57509
1495, 3740, 0, 91, 53468, 210, 57509
1501, 3637, 0, 91, 53457, 324, 57509
1507, 3772, 0, 88, 53210, 439, 57509
1513, 3870, 0, 88, 53111, 440, 57509
1519, 3860, 0, 93, 53118, 438, 57509
1525, 3830, 0, 92, 53148, 439, 57509
1531, 4007, 0, 95, 52968, 439, 57509
1537, 3814, 0, 90, 53595, 10, 57509
1543, 3827, 0, 91, 53438, 153, 57509
1549, 3783, 0, 93, 53481, 152, 57509
1555, 3803, 0, 95, 53459, 152, 57509
1561, 3863, 0, 98, 53394, 154, 57509
1567, 3928, 0, 100, 53386, 95, 57509
1573, 3753, 0, 90, 53601, 65, 57509
1579, 3647, 0, 90, 53761, 11, 57509
1585, 3743, 0, 89, 53665, 12, 57509
1591, 3686, 0, 89, 53721, 13, 57509
1597, 3667, 0, 92, 53737, 13, 57509
1603, 3651, 0, 88, 53757, 13, 57509
1609, 3632, 0, 89, 53775, 13, 57509
1615, 3607, 0, 90, 53799, 13, 57509
1621, 3539, 0, 88, 53873, 9, 57509
1627, 3666, 0, 87, 53747, 9, 57509
1633, 3856, 0, 94, 53400, 159, 57509
1639, 3941, 0, 97, 53312, 159, 57509
1645, 3830, 0, 99, 53272, 308, 57509
1651, 3890, 0, 98, 53243, 278, 57509
1657, 3724, 0, 97, 53500, 188, 57509
1663, 3639, 0, 93, 53765, 12, 57509
1669, 3651, 0, 93, 53748, 17, 57509
1675, 3697, 0, 92, 53700, 20, 57509
1681, 3555, 0, 93, 53842, 19, 57509
1687, 3580, 0, 93, 53816, 20, 57509
1693, 3582, 0, 87, 53817, 23, 57509
1699, 3433, 0, 87, 53966, 23, 57509
1705, 3417, 0, 89, 53991, 12, 57509
1711, 3391, 0, 87, 54018, 13, 57509
1717, 3393, 0, 87, 54014, 15, 57509
1723, 3595, 0, 85, 53814, 15, 57509
1729, 3542, 0, 89, 53864, 14, 57509
1735, 3488, 0, 89, 53919, 13, 57509
1741, 3381, 0, 90, 54026, 12, 57509
1747, 3567, 0, 90, 53847, 5, 57509
1753, 3544, 0, 90, 53870, 5, 57509
1759, 3684, 0, 92, 53728, 5, 57509
1765, 3681, 0, 87, 53735, 6, 57509
1771, 3674, 0, 86, 53743, 6, 57509
1777, 3609, 0, 87, 53808, 5, 57509
1783, 3544, 0, 86, 53874, 5, 57509
1789, 3676, 0, 86, 53741, 6, 57509
1795, 3575, 0, 96, 53832, 6, 57509
1801, 3329, 0, 100, 54074, 6, 57509
1807, 3593, 0, 91, 53819, 6, 57509
1813, 3596, 0, 88, 53218, 607, 57509
1819, 3634, 0, 89, 53538, 248, 57509
1825, 3536, 0, 91, 53723, 159, 57509
1831, 3615, 0, 89, 53800, 5, 57509
1837, 3719, 0, 91, 53694, 5, 57509
1843, 3642, 0, 91, 53771, 5, 57509
1849, 3515, 0, 90, 53899, 5, 57509
1855, 3230, 0, 85, 54185, 9, 57509
1861, 3242, 0, 87, 54173, 7, 57509
1867, 3307, 0, 88, 54108, 6, 57509
1873, 3349, 0, 94, 53910, 156, 57509
1879, 3538, 0, 91, 53753, 127, 57509
1885, 3476, 0, 90, 53842, 101, 57509
1891, 3514, 0, 92, 53888, 15, 57509
