ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, total
1093, 6707, 45898, 121, 0, 0, 28, 4748, 57502
1099, 6681, 43985, 122, 0, 0, 30, 6684, 57502
1105, 6688, 33126, 121, 0, 0, 35, 17532, 57502
1111, 6683, 23767, 121, 0, 0, 37, 26894, 57502
1117, 6761, 20302, 186, 0, 0, 41, 30212, 57502
1123, 6765, 14164, 187, 0, 0, 76, 36310, 57502
1129, 6746, 11623, 187, 0, 0, 73, 38873, 57502
1135, 6743, 8946, 156, 0, 0, 45, 41612, 57502
1141, 6689, 7035, 186, 0, 0, 39, 43553, 57502
1147, 6668, 5516, 216, 0, 0, 40, 45062, 57502
1153, 6730, 4354, 216, 0, 0, 36, 46166, 57502
1159, 6781, 4295, 272, 0, 0, 36, 46118, 57502
1165, 6718, 3557, 252, 0, 0, 32, 46943, 57502
1171, 6736, 3482, 252, 0, 0, 27, 47005, 57502
1177, 6767, 3414, 90, 0, 0, 26, 47205, 57502
1183, 6771, 3833, 90, 0, 0, 26, 46782, 57502
1189, 6752, 9027, 91, 0, 0, 24, 41608, 57502
1195, 6771, 15729, 92, 0, 0, 21, 34889, 57502
1201, 6782, 50043, 90, 0, 0, 26, 561, 57502
1207, 6814, 50007, 91, 0, 0, 25, 565, 57502
1213, 6814, 50001, 91, 0, 0, 24, 572, 57502
1219, 6795, 50022, 91, 0, 0, 22, 572, 57502
1225, 6810, 50007, 91, 0, 0, 23, 571, 57502
1231, 6717, 50098, 91, 0, 0, 21, 575, 57502
1237, 6731, 49895, 92, 0, 0, 19, 765, 57502
1243, 6748, 49231, 92, 0, 0, 28, 1403, 57502
1249, 6765, 48831, 92, 0, 0, 26, 1788, 57502
1255, 6767, 48549, 91, 0, 0, 28, 2067, 57502
1261, 6776, 46784, 91, 0, 0, 30, 3821, 57502
1267, 6775, 45091, 91, 0, 0, 34, 5511, 57502
1273, 6778, 33961, 91, 0, 0, 36, 16636, 57502
1279, 6841, 24050, 91, 0, 0, 37, 26483, 57502
1285, 6870, 17821, 967, 0, 0, 466, 31378, 57502
1291, 6803, 13652, 1040, 0, 0, 422, 35585, 57502
1297, 6727, 12632, 1070, 0, 0, 484, 36589, 57502
1303, 6734, 10031, 1160, 0, 0, 414, 39163, 57502
1309, 6723, 7388, 1161, 0, 0, 361, 41869, 57502
1315, 6714, 4948, 1191, 0, 0, 298, 44351, 57502
1321, 6655, 4138, 1191, 0, 0, 269, 45249, 57502
1327, 6652, 3127, 897, 0, 0, 192, 46634, 57502
1333, 6627, 2677, 761, 0, 0, 191, 47246, 57502
1339, 6611, 2032, 641, 0, 0, 162, 48056, 57502
1345, 6679, 1647, 90, 0, 0, 68, 49018, 57502
1351, 6716, 1520, 90, 0, 0, 74, 49102, 57502
1357, 6652, 1584, 90, 0, 0, 67, 49109, 57502
1363, 6682, 1542, 90, 0, 0, 66, 49122, 57502
1369, 6725, 50579, 90, 0, 0, 61, 47, 57502
1375, 6750, 50559, 90, 0, 0, 55, 48, 57502
1381, 6708, 50605, 90, 0, 0, 51, 48, 57502
1387, 6731, 50582, 90, 0, 0, 52, 47, 57502
1393, 6730, 50582, 90, 0, 0, 52, 48, 57502
1399, 6688, 50603, 90, 0, 0, 55, 66, 57502
1405, 6697, 50580, 91, 0, 0, 55, 79, 57502
1411, 6669, 50612, 91, 0, 0, 68, 62, 57502
1417, 6664, 50460, 90, 0, 0, 38, 250, 57502
1423, 6727, 50265, 90, 0, 0, 38, 382, 57502
1429, 6771, 50088, 90, 0, 0, 37, 516, 57502
1435, 6806, 50021, 90, 0, 0, 37, 548, 57502
1441, 6841, 38292, 92, 0, 0, 180, 12097, 57502
1447, 6906, 28874, 93, 0, 0, 150, 21479, 57502
1453, 6903, 20204, 93, 0, 0, 126, 30176, 57502
1459, 6814, 15875, 92, 0, 0, 127, 34594, 57502
1465, 6774, 11634, 91, 0, 0, 129, 38874, 57502
1471, 6762, 8600, 92, 0, 0, 72, 41976, 57502
1477, 6757, 6196, 91, 0, 0, 38, 44420, 57502
1483, 6781, 5057, 90, 0, 0, 39, 45535, 57502
1489, 6710, 3213, 90, 0, 0, 37, 47452, 57502
1495, 6673, 3670, 90, 0, 0, 49, 47020, 57502
1501, 6635, 3329, 91, 0, 0, 39, 47408, 57502
1507, 6643, 3186, 91, 0, 0, 39, 47543, 57502
1513, 6600, 3067, 90, 0, 0, 40, 47705, 57502
1519, 6697, 2972, 91, 0, 0, 40, 47702, 57502
1525, 6686, 2994, 91, 0, 0, 37, 47694, 57502
1531, 6735, 2954, 91, 0, 0, 31, 47691, 57502
1537, 6786, 45488, 90, 0, 0, 33, 5105, 57502
1543, 6769, 50024, 90, 0, 0, 29, 590, 57502
1549, 6801, 50004, 90, 0, 0, 28, 579, 57502
1555, 6670, 50136, 90, 0, 0, 30, 576, 57502
1561, 6696, 50108, 90, 0, 0, 27, 581, 57502
1567, 6753, 50051, 91, 0, 0, 26, 581, 57502
1573, 6761, 50030, 90, 0, 0, 25, 596, 57502
1579, 6764, 50261, 90, 0, 0, 31, 356, 57502
1585, 6736, 49973, 90, 0, 0, 30, 673, 57502
1591, 6706, 49639, 90, 0, 0, 32, 1035, 57502
1597, 6674, 49488, 90, 0, 0, 30, 1220, 57502
1603, 6803, 49079, 90, 0, 0, 27, 1503, 57502
1609, 6799, 38530, 90, 0, 0, 27, 12056, 57502
1615, 6820, 30014, 90, 0, 0, 31, 20547, 57502
1621, 6774, 23030, 161, 0, 0, 115, 27422, 57502
1627, 6794, 19136, 218, 0, 0, 107, 31247, 57502
1633, 6698, 16793, 90, 0, 0, 65, 33856, 57502
1639, 6648, 14282, 90, 0, 0, 63, 36419, 57502
1645, 6575, 10865, 90, 0, 0, 30, 39942, 57502
1651, 6602, 8241, 91, 0, 0, 29, 42539, 57502
1657, 6659, 6751, 90, 0, 0, 30, 43972, 57502
1663, 6731, 7479, 230, 0, 0, 39, 43023, 57502
1669, 6764, 7026, 260, 0, 0, 39, 43413, 57502
1675, 6806, 6402, 260, 0, 0, 38, 43996, 57502
1681, 6851, 6338, 261, 0, 0, 38, 44014, 57502
1687, 6825, 6306, 260, 0, 0, 37, 44074, 57502
1693, 6836, 6306, 260, 0, 0, 33, 44067, 57502
1699, 6768, 6361, 260, 0, 0, 35, 44078, 57502
1705, 6768, 46124, 260, 0, 0, 31, 4319, 57502
1711, 6786, 49834, 260, 0, 0, 30, 592, 57502
1717, 6585, 50617, 200, 0, 0, 27, 73, 57502
1723, 6562, 50740, 140, 0, 0, 26, 34, 57502
1729, 6627, 50683, 140, 0, 0, 25, 27, 57502
1735, 6665, 50679, 111, 0, 0, 19, 28, 57502
1741, 6791, 50514, 91, 0, 0, 18, 88, 57502
1747, 6797, 50414, 90, 0, 0, 27, 174, 57502
1753, 6664, 50454, 90, 0, 0, 34, 260, 57502
1759, 6662, 49519, 91, 0, 0, 31, 1199, 57502
1765, 6637, 48688, 91, 0, 0, 29, 2057, 57502
1771, 6633, 47712, 91, 0, 0, 35, 3031, 57502
