ts, default broker, COLDPower18, VidyutVanika, EWIIS3, Bunnie, total
1093, 3540, 0, 29615, 17, 24339, 57511
1099, 3461, 0, 32837, 18, 21195, 57511
1105, 3461, 0, 33429, 18, 20603, 57511
1111, 3409, 0, 33101, 17, 20984, 57511
1117, 3415, 0, 36469, 18, 17609, 57511
1123, 3412, 0, 36960, 19, 17120, 57511
1129, 3423, 0, 36242, 18, 17828, 57511
1135, 3463, 0, 4400, 18, 49630, 57511
1141, 3480, 0, 8326, 19, 45686, 57511
1147, 3345, 0, 14423, 24, 39719, 57511
1153, 3245, 0, 20810, 25, 33431, 57511
1159, 3466, 0, 4922, 16, 49107, 57511
1165, 3632, 0, 13343, 16, 40520, 57511
1171, 3717, 0, 20062, 15, 33717, 57511
1177, 3529, 0, 23566, 15, 30401, 57511
1183, 3430, 0, 26154, 16, 27911, 57511
1189, 3534, 0, 29345, 15, 24617, 57511
1195, 3599, 0, 33133, 13, 20766, 57511
1201, 3632, 0, 36947, 16, 16916, 57511
1207, 3653, 0, 36650, 17, 17191, 57511
1213, 3653, 0, 38806, 16, 15036, 57511
1219, 3491, 0, 39684, 15, 14321, 57511
1225, 3579, 0, 39897, 18, 14017, 57511
1231, 3445, 0, 17475, 19, 36572, 57511
1237, 3176, 0, 18363, 19, 35953, 57511
1243, 3097, 0, 21306, 18, 33090, 57511
1249, 3218, 0, 26040, 19, 28234, 57511
1255, 3370, 0, 26564, 19, 27558, 57511
1261, 3481, 0, 29045, 18, 24967, 57511
1267, 3569, 0, 30466, 19, 23457, 57511
1273, 3604, 0, 30828, 17, 23062, 57511
1279, 3458, 0, 28478, 14, 25561, 57511
1285, 3635, 0, 30078, 17, 23781, 57511
1291, 3684, 0, 32590, 18, 21219, 57511
1297, 3729, 0, 34559, 18, 19205, 57511
1303, 3759, 0, 5614, 15, 48123, 57511
1309, 3597, 0, 8217, 15, 45682, 57511
1315, 3412, 0, 18862, 17, 35220, 57511
1321, 3413, 0, 21093, 16, 32989, 57511
1327, 3530, 0, 6159, 17, 47805, 57511
1333, 3522, 0, 14668, 17, 39304, 57511
1339, 3441, 0, 18908, 17, 35145, 57511
1345, 3560, 0, 22074, 17, 31860, 57511
1351, 3409, 0, 23977, 18, 30107, 57511
1357, 3435, 0, 30056, 16, 24004, 57511
1363, 3510, 0, 32564, 15, 21422, 57511
1369, 3437, 0, 33309, 15, 20750, 57511
1375, 3545, 0, 34477, 15, 19474, 57511
1381, 3625, 0, 34708, 16, 19162, 57511
1387, 3654, 0, 35421, 17, 18419, 57511
1393, 3428, 0, 37006, 18, 17059, 57511
1399, 3258, 0, 15672, 18, 38563, 57511
1405, 3323, 0, 17462, 17, 36709, 57511
1411, 3114, 0, 21298, 16, 33083, 57511
1417, 3243, 0, 27292, 16, 26960, 57511
1423, 3366, 0, 12731, 15, 41399, 57511
1429, 3306, 0, 20082, 15, 34108, 57511
1435, 3360, 0, 21991, 15, 32145, 57511
1441, 3328, 0, 23591, 15, 30577, 57511
1447, 3417, 0, 24839, 15, 29240, 57511
1453, 3221, 0, 27237, 17, 27036, 57511
1459, 3074, 0, 30330, 17, 24090, 57511
1465, 3181, 0, 32344, 18, 21968, 57511
1471, 3363, 0, 33247, 19, 20882, 57511
1477, 3574, 0, 35534, 19, 18384, 57511
1483, 3529, 0, 38405, 17, 15560, 57511
1489, 3561, 0, 37107, 18, 16825, 57511
1495, 3373, 0, 5944, 18, 48176, 57511
1501, 3212, 0, 8833, 19, 45447, 57511
1507, 3181, 0, 18901, 18, 35411, 57511
1513, 3441, 0, 25112, 19, 28939, 57511
1519, 3411, 0, 25968, 19, 28113, 57511
1525, 3345, 0, 28474, 19, 25673, 57511
1531, 3415, 0, 32265, 18, 21813, 57511
1537, 3410, 0, 33652, 17, 20432, 57511
1543, 3330, 0, 34257, 18, 19906, 57511
1549, 3480, 0, 35216, 17, 18798, 57511
1555, 3558, 0, 37054, 18, 16881, 57511
1561, 3682, 0, 35543, 18, 18268, 57511
1567, 3424, 0, 16880, 16, 37191, 57511
1573, 3380, 0, 18975, 16, 35140, 57511
1579, 3360, 0, 21698, 15, 32438, 57511
1585, 3351, 0, 23795, 16, 30349, 57511
1591, 3601, 0, 12411, 14, 41485, 57511
1597, 3897, 0, 15779, 15, 37820, 57511
1603, 3749, 0, 21719, 15, 32028, 57511
1609, 3617, 0, 25203, 14, 28677, 57511
1615, 3638, 0, 28281, 15, 25577, 57511
1621, 3753, 0, 29032, 15, 24711, 57511
1627, 3677, 0, 31059, 16, 22759, 57511
1633, 3619, 0, 29866, 15, 24011, 57511
1639, 3478, 0, 30283, 17, 23733, 57511
1645, 3520, 0, 32120, 17, 21854, 57511
1651, 3499, 0, 33066, 16, 20930, 57511
1657, 3446, 0, 33474, 16, 20575, 57511
1663, 3244, 0, 34698, 16, 19553, 57511
1669, 3307, 0, 14457, 14, 39733, 57511
1675, 3479, 0, 18545, 15, 35472, 57511
1681, 3417, 0, 22788, 14, 31292, 57511
1687, 3434, 0, 26766, 14, 27297, 57511
1693, 3253, 0, 32807, 14, 21437, 57511
