ts, default broker, AgentUDE, Bunnie, total
685, 6918, 50106, 494, 57518
691, 6890, 50121, 507, 57518
697, 6847, 49165, 1506, 57518
703, 6833, 49294, 1391, 57518
709, 6842, 50272, 404, 57518
715, 6898, 50358, 262, 57518
721, 6918, 50362, 238, 57518
727, 6909, 50392, 217, 57518
733, 6890, 50390, 238, 57518
739, 6892, 48813, 1813, 57518
745, 6915, 48815, 1788, 57518
751, 6927, 50259, 332, 57518
757, 6952, 50392, 174, 57518
763, 6989, 50358, 171, 57518
769, 6963, 50358, 197, 57518
775, 6985, 50387, 146, 57518
781, 6902, 44127, 6489, 57518
787, 6891, 44023, 6604, 57518
793, 6963, 45213, 5342, 57518
799, 6963, 45642, 4913, 57518
805, 6941, 45881, 4696, 57518
811, 6961, 46329, 4228, 57518
817, 6967, 46735, 3816, 57518
823, 6908, 40100, 10510, 57518
829, 6491, 40512, 10515, 57518
835, 6323, 41924, 9271, 57518
841, 6470, 42945, 8103, 57518
847, 6577, 44004, 6937, 57518
853, 6623, 44771, 6124, 57518
859, 6731, 45561, 5226, 57518
865, 6828, 43359, 7331, 57518
871, 6837, 43709, 6972, 57518
877, 6907, 44629, 5982, 57518
883, 6929, 45690, 4899, 57518
889, 6860, 45583, 5075, 57518
895, 6870, 46076, 4572, 57518
901, 6911, 45652, 4955, 57518
907, 6931, 47743, 2844, 57518
913, 6887, 48381, 2250, 57518
919, 6889, 48758, 1871, 57518
925, 6441, 49280, 1797, 57518
931, 6435, 49922, 1161, 57518
937, 6579, 49744, 1195, 57518
943, 6734, 48983, 1801, 57518
949, 6800, 46954, 3764, 57518
955, 6790, 47012, 3716, 57518
961, 6784, 47081, 3653, 57518
967, 6807, 47694, 3017, 57518
973, 6821, 47368, 3329, 57518
979, 6902, 47654, 2962, 57518
985, 6946, 46949, 3623, 57518
991, 6791, 44387, 6340, 57518
997, 6792, 44095, 6631, 57518
1003, 6808, 46941, 3769, 57518
1009, 6901, 46352, 4265, 57518
1015, 6930, 45764, 4824, 57518
1021, 6841, 46441, 4236, 57518
1027, 6857, 47869, 2792, 57518
1033, 6848, 45104, 5566, 57518
1039, 6705, 45604, 5209, 57518
1045, 6653, 46980, 3885, 57518
1051, 6595, 47776, 3147, 57518
1057, 6713, 48447, 2358, 57518
1063, 6788, 48969, 1761, 57518
1069, 6800, 49202, 1516, 57518
1075, 6883, 48172, 2463, 57518
1081, 6915, 48900, 1703, 57518
1087, 6942, 49099, 1477, 57518
1093, 6960, 49956, 602, 57518
1099, 6957, 49830, 731, 57518
1105, 7000, 50170, 348, 57518
1111, 6983, 48979, 1556, 57518
1117, 7008, 45540, 4970, 57518
1123, 7014, 46351, 4153, 57518
1129, 7023, 49350, 1145, 57518
1135, 7004, 49773, 741, 57518
1141, 6954, 50198, 366, 57518
1147, 6841, 50222, 455, 57518
1153, 6832, 50151, 535, 57518
1159, 6792, 45746, 4980, 57518
1165, 6746, 44976, 5796, 57518
1171, 6898, 45238, 5382, 57518
1177, 6877, 46138, 4503, 57518
1183, 6883, 46685, 3950, 57518
1189, 6900, 47652, 2966, 57518
1195, 6951, 47587, 2980, 57518
1201, 6950, 41590, 8978, 57518
1207, 6922, 41809, 8787, 57518
1213, 6982, 42938, 7598, 57518
1219, 7019, 43680, 6819, 57518
1225, 6926, 44692, 5900, 57518
1231, 6939, 44782, 5797, 57518
1237, 6960, 45445, 5113, 57518
1243, 6911, 32521, 18086, 57518
1249, 6848, 32741, 17929, 57518
1255, 6887, 35121, 15510, 57518
1261, 6933, 36936, 13649, 57518
1267, 6942, 38730, 11846, 57518
1273, 6934, 41173, 9411, 57518
1279, 6906, 42198, 8414, 57518
1285, 6955, 37033, 13530, 57518
1291, 6953, 38672, 11893, 57518
1297, 6977, 41830, 8711, 57518
1303, 6944, 42698, 7876, 57518
1309, 6898, 44557, 6063, 57518
1315, 6946, 45186, 5386, 57518
1321, 6934, 46350, 4234, 57518
1327, 6945, 45439, 5134, 57518
1333, 6969, 48123, 2426, 57518
1339, 6950, 49447, 1121, 57518
1345, 6990, 50143, 385, 57518
1351, 6937, 50236, 345, 57518
1357, 6854, 50294, 370, 57518
1363, 6864, 50381, 273, 57518
1369, 6884, 40754, 9880, 57518
1375, 6901, 40754, 9863, 57518
1381, 6522, 42370, 8626, 57518
1387, 6573, 43444, 7501, 57518
1393, 6631, 44545, 6342, 57518
1399, 6735, 45276, 5507, 57518
1405, 6865, 46216, 4437, 57518
1411, 6868, 34989, 15661, 57518
1417, 6804, 35284, 15430, 57518
1423, 6890, 35790, 14838, 57518
1429, 6886, 38785, 11847, 57518
1435, 6831, 40104, 10583, 57518
1441, 6793, 41607, 9118, 57518
1447, 6839, 43160, 7519, 57518
1453, 6904, 35340, 15274, 57518
1459, 6953, 36472, 14093, 57518
1465, 6918, 39328, 11272, 57518
1471, 6968, 41085, 9465, 57518
1477, 6990, 42542, 7986, 57518
1483, 6831, 43172, 7515, 57518
1489, 6844, 43434, 7240, 57518
1495, 6913, 28671, 21934, 57518
1501, 6879, 29591, 21048, 57518
1507, 6925, 31987, 18606, 57518
1513, 6876, 34795, 15847, 57518
1519, 6902, 36963, 13653, 57518
1525, 6767, 38615, 12136, 57518
1531, 6742, 39377, 11399, 57518
1537, 6757, 34007, 16754, 57518
1543, 6739, 34952, 15827, 57518
1549, 6764, 37720, 13034, 57518
1555, 6840, 39438, 11240, 57518
1561, 6857, 40760, 9901, 57518
1567, 6818, 42290, 8410, 57518
1573, 6660, 43415, 7443, 57518
1579, 6627, 34048, 16843, 57518
1585, 6697, 34985, 15836, 57518
1591, 6778, 36793, 13947, 57518
1597, 6844, 38749, 11925, 57518
1603, 6875, 39962, 10681, 57518
1609, 6905, 41005, 9608, 57518
1615, 6922, 42474, 8122, 57518
1621, 6986, 40952, 9580, 57518
1627, 6956, 43775, 6787, 57518
1633, 6892, 46921, 3705, 57518
1639, 6829, 48262, 2427, 57518
1645, 6829, 49651, 1038, 57518
1651, 6715, 49940, 863, 57518
1657, 6782, 50128, 608, 57518
1663, 6892, 25763, 24863, 57518
1669, 6810, 25820, 24888, 57518
1675, 6862, 27455, 23201, 57518
1681, 6875, 29226, 21417, 57518
1687, 6891, 29974, 20653, 57518
1693, 6883, 31480, 19155, 57518
1699, 6917, 32244, 18357, 57518
1705, 6852, 27857, 22809, 57518
