ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
649, 5, 1982, 2, 52284, 3245, 57518
655, 7, 1670, 200, 54827, 814, 57518
661, 4, 1291, 200, 54865, 1158, 57518
667, 4, 1079, 200, 54907, 1328, 57518
673, 4, 1128, 199, 54773, 1414, 57518
679, 5, 1105, 138, 54861, 1409, 57518
685, 6, 1073, 122, 54912, 1405, 57518
691, 6, 1196, 92, 54826, 1398, 57518
697, 6, 2586, 0, 54855, 71, 57518
703, 6, 3437, 1, 54033, 41, 57518
709, 5, 4257, 2, 53208, 46, 57518
715, 4, 5313, 1, 52036, 164, 57518
721, 4, 7131, 1, 50100, 282, 57518
727, 4, 8483, 1, 48624, 406, 57518
733, 4, 8645, 0, 48342, 527, 57518
739, 4, 8793, 2, 48298, 421, 57518
745, 6, 8852, 3, 47891, 766, 57518
751, 5, 8788, 121, 47662, 942, 57518
757, 5, 8473, 122, 46260, 2658, 57518
763, 7, 8381, 121, 46238, 2771, 57518
769, 8, 7904, 120, 46691, 2795, 57518
775, 7, 7329, 120, 47241, 2821, 57518
781, 9, 6838, 120, 49898, 653, 57518
787, 9, 5923, 120, 50982, 484, 57518
793, 7, 4964, 60, 51891, 596, 57518
799, 6, 3282, 30, 53603, 597, 57518
805, 5, 2684, 30, 54091, 708, 57518
811, 5, 2145, 29, 54546, 793, 57518
817, 5, 1273, 30, 55161, 1049, 57518
823, 8, 925, 30, 55831, 724, 57518
829, 5, 815, 28, 55499, 1171, 57518
835, 7, 783, 0, 55475, 1253, 57518
841, 5, 675, 1, 55470, 1367, 57518
847, 4, 732, 1, 55415, 1366, 57518
853, 6, 1052, 2, 54972, 1486, 57518
859, 6, 1661, 3, 54362, 1486, 57518
865, 3, 2576, 2, 54839, 98, 57518
871, 2, 3997, 2, 53512, 5, 57518
877, 4, 4955, 2, 52552, 5, 57518
883, 3, 5479, 2, 52029, 5, 57518
889, 2244, 6994, 92, 48182, 6, 57518
895, 2477, 7654, 92, 47286, 9, 57518
901, 2681, 7916, 92, 46798, 31, 57518
907, 2694, 8141, 92, 46091, 500, 57518
913, 2811, 8216, 91, 45202, 1198, 57518
919, 3192, 8302, 92, 44615, 1317, 57518
925, 3340, 8315, 113, 36545, 9205, 57518
931, 3480, 7961, 112, 36635, 9330, 57518
937, 3450, 7229, 112, 36936, 9791, 57518
943, 3245, 6436, 112, 37879, 9846, 57518
949, 3297, 5932, 112, 40372, 7805, 57518
955, 3320, 5289, 112, 41485, 7312, 57518
961, 3387, 4337, 93, 41709, 7992, 57518
967, 3361, 3533, 93, 42383, 8148, 57518
973, 3450, 2852, 91, 42289, 8836, 57518
979, 3562, 2373, 92, 42079, 9412, 57518
985, 3561, 1955, 93, 41410, 10499, 57518
991, 3560, 1658, 124, 51321, 855, 57518
997, 3530, 1166, 123, 51726, 973, 57518
1003, 3446, 993, 122, 51985, 972, 57518
1009, 3487, 927, 121, 51976, 1007, 57518
1015, 3484, 706, 121, 52203, 1004, 57518
1021, 3462, 848, 122, 52088, 998, 57518
1027, 3722, 1353, 123, 51322, 998, 57518
1033, 3644, 2236, 126, 51440, 72, 57518
1039, 3721, 3122, 50, 50615, 10, 57518
1045, 3702, 3616, 39, 50132, 29, 57518
1051, 3661, 4331, 45, 49454, 27, 57518
1057, 3524, 4781, 63, 49131, 19, 57518
1063, 3393, 5737, 83, 48288, 17, 57518
1069, 3325, 6492, 91, 47479, 131, 57518
1075, 3273, 6410, 93, 47737, 5, 57518
1081, 3445, 6436, 123, 46870, 644, 57518
1087, 3466, 6579, 124, 46368, 981, 57518
1093, 3434, 6785, 123, 45725, 1451, 57518
1099, 3451, 6533, 123, 45747, 1664, 57518
1105, 3303, 6143, 91, 46211, 1770, 57518
1111, 3467, 5713, 92, 46363, 1883, 57518
1117, 3553, 5015, 91, 48527, 332, 57518
1123, 3589, 4507, 91, 48808, 523, 57518
1129, 3560, 3845, 111, 49458, 544, 57518
1135, 3488, 3739, 111, 49636, 544, 57518
1141, 3403, 2884, 111, 50307, 813, 57518
1147, 3358, 1938, 111, 51003, 1108, 57518
1153, 3410, 1779, 112, 50924, 1293, 57518
1159, 3346, 1410, 112, 52444, 206, 57518
1165, 3397, 1173, 112, 52666, 170, 57518
1171, 3530, 901, 93, 52658, 336, 57518
1177, 3514, 923, 95, 52341, 645, 57518
1183, 3527, 1038, 94, 52216, 643, 57518
1189, 3496, 1119, 94, 52168, 641, 57518
1195, 3253, 1667, 92, 51868, 638, 57518
1201, 3404, 3110, 93, 50872, 39, 57518
1207, 3639, 4857, 92, 48919, 11, 57518
1213, 3371, 6313, 92, 47733, 9, 57518
1219, 3366, 7082, 93, 46968, 9, 57518
1225, 3363, 8256, 91, 45797, 11, 57518
1231, 3363, 8697, 91, 45354, 13, 57518
1237, 3471, 8906, 91, 44957, 93, 57518
1243, 3358, 8828, 91, 45076, 165, 57518
1249, 3242, 8591, 121, 45165, 399, 57518
1255, 3050, 8547, 121, 45213, 587, 57518
1261, 3053, 8781, 121, 42899, 2664, 57518
1267, 3154, 8550, 122, 42748, 2944, 57518
1273, 3150, 7845, 121, 43366, 3036, 57518
1279, 3274, 6782, 120, 44307, 3035, 57518
1285, 3154, 5648, 151, 47624, 941, 57518
1291, 3159, 4407, 123, 48994, 835, 57518
1297, 3189, 3299, 122, 49842, 1066, 57518
1303, 3267, 2328, 122, 50687, 1114, 57518
1309, 3279, 1645, 122, 51229, 1243, 57518
1315, 3164, 1393, 122, 51588, 1251, 57518
1321, 3181, 1277, 122, 51658, 1280, 57518
1327, 3235, 1118, 121, 52882, 162, 57518
1333, 3250, 834, 91, 52971, 372, 57518
1339, 3285, 840, 90, 52809, 494, 57518
1345, 3287, 836, 90, 52496, 809, 57518
1351, 3251, 932, 91, 52434, 810, 57518
1357, 2933, 1460, 91, 52195, 839, 57518
1363, 3104, 1750, 92, 51763, 809, 57518
1369, 3168, 3107, 92, 51050, 101, 57518
1375, 3159, 3807, 91, 50449, 12, 57518
1381, 3411, 4826, 92, 49167, 22, 57518
1387, 3421, 6066, 91, 47925, 15, 57518
1393, 3451, 7356, 92, 46601, 18, 57518
1399, 3554, 7980, 92, 45873, 19, 57518
1405, 3541, 8294, 91, 45463, 129, 57518
1411, 3449, 8378, 91, 45466, 134, 57518
1417, 3506, 8285, 121, 45043, 563, 57518
1423, 3456, 8289, 152, 44312, 1309, 57518
1429, 3572, 8115, 122, 43167, 2542, 57518
1435, 3536, 7828, 122, 42946, 3086, 57518
1441, 3580, 7216, 90, 43000, 3632, 57518
1447, 3419, 6251, 90, 43808, 3950, 57518
1453, 3307, 5885, 92, 46855, 1379, 57518
1459, 3404, 5007, 93, 47701, 1313, 57518
1465, 3396, 3964, 93, 48261, 1804, 57518
1471, 3494, 3139, 94, 48934, 1857, 57518
1477, 3432, 2568, 93, 49251, 2174, 57518
1483, 3346, 1868, 91, 49780, 2433, 57518
1489, 3329, 1631, 90, 49851, 2617, 57518
1495, 3401, 1269, 91, 52102, 655, 57518
1501, 3343, 973, 91, 52427, 684, 57518
1507, 3499, 718, 167, 52303, 831, 57518
1513, 3389, 1007, 167, 51865, 1090, 57518
1519, 3501, 1063, 167, 51818, 969, 57518
1525, 3448, 985, 139, 52271, 675, 57518
1531, 3445, 2165, 123, 51422, 363, 57518
1537, 3479, 3225, 123, 50687, 4, 57518
1543, 3426, 5101, 93, 48894, 4, 57518
1549, 3355, 6013, 93, 48051, 6, 57518
1555, 3224, 7044, 92, 47149, 9, 57518
1561, 3251, 8549, 91, 45618, 9, 57518
1567, 3288, 9585, 91, 44545, 9, 57518
1573, 3206, 10151, 91, 43768, 302, 57518
1579, 3092, 10316, 91, 43800, 219, 57518
1585, 3284, 10496, 90, 42777, 871, 57518
1591, 3241, 10288, 91, 42342, 1556, 57518
1597, 3163, 10239, 90, 41701, 2325, 57518
1603, 3058, 9688, 91, 42137, 2544, 57518
1609, 3158, 9211, 92, 42483, 2574, 57518
1615, 3253, 8504, 91, 43111, 2559, 57518
1621, 3238, 7184, 91, 45335, 1670, 57518
1627, 3416, 6043, 91, 46388, 1580, 57518
1633, 3146, 4936, 91, 47356, 1989, 57518
1639, 3200, 3669, 93, 47916, 2640, 57518
1645, 3337, 2050, 94, 48698, 3339, 57518
1651, 3250, 1728, 93, 48655, 3792, 57518
1657, 3051, 1275, 93, 49013, 4086, 57518
1663, 3096, 997, 92, 52222, 1111, 57518
1669, 3160, 892, 93, 51684, 1689, 57518
1675, 3311, 938, 94, 51296, 1879, 57518
1681, 3160, 1029, 94, 50189, 3046, 57518
1687, 3247, 1195, 94, 49875, 3107, 57518
1693, 3287, 1419, 95, 49564, 3153, 57518
