ts, default broker, COLDPower18, VidyutVanika, AgentUDE, Bunnie, total
1273, 6, 0, 49400, 7, 8107, 57520
1279, 5, 0, 50959, 9, 6547, 57520
1285, 6, 0, 52021, 9, 5484, 57520
1291, 5, 0, 52872, 9, 4634, 57520
1297, 4, 0, 53012, 10, 4494, 57520
1303, 4, 0, 53175, 10, 4331, 57520
1309, 3, 0, 52915, 10, 4592, 57520
1315, 3, 0, 53787, 11, 3719, 57520
1321, 3, 0, 53223, 10, 4284, 57520
1327, 3, 0, 53608, 10, 3899, 57520
1333, 4, 0, 54272, 14, 3230, 57520
1339, 4, 0, 28002, 16, 29498, 57520
1345, 3, 0, 28865, 15, 28637, 57520
1351, 5, 0, 36963, 16, 20536, 57520
1357, 6, 0, 41825, 14, 15675, 57520
1363, 6, 0, 46590, 14, 10910, 57520
1369, 5, 0, 47907, 15, 9593, 57520
1375, 4, 0, 50476, 16, 7024, 57520
1381, 4, 0, 51280, 16, 6220, 57520
1387, 4, 0, 52500, 17, 4999, 57520
1393, 5, 0, 52781, 19, 4715, 57520
1399, 4, 0, 29430, 25, 28061, 57520
1405, 5, 0, 30669, 22, 26824, 57520
1411, 6, 0, 34806, 18, 22690, 57520
1417, 6, 0, 39140, 21, 18353, 57520
1423, 6, 0, 41278, 21, 16215, 57520
1429, 10, 0, 17240, 27, 40243, 57520
1435, 9, 0, 19361, 27, 38123, 57520
1441, 9, 0, 31249, 28, 26234, 57520
1447, 8, 0, 37328, 30, 20154, 57520
1453, 12, 0, 39274, 26, 18208, 57520
1459, 9, 0, 42229, 27, 15255, 57520
1465, 10, 0, 44788, 29, 12693, 57520
1471, 9, 0, 46259, 32, 11220, 57520
1477, 7, 0, 47676, 34, 9803, 57520
1483, 9, 0, 49006, 34, 8471, 57520
1489, 10, 0, 50432, 35, 7043, 57520
1495, 10, 0, 49997, 10, 7503, 57520
1501, 9, 0, 50360, 11, 7140, 57520
1507, 10, 0, 28832, 15, 28663, 57520
1513, 8, 0, 30639, 16, 26857, 57520
1519, 8, 0, 37747, 16, 19749, 57520
1525, 8, 0, 43103, 15, 14394, 57520
1531, 8, 0, 45349, 15, 12148, 57520
1537, 8, 0, 47498, 19, 9995, 57520
1543, 6, 0, 49713, 25, 7776, 57520
1549, 4, 0, 51135, 30, 6351, 57520
1555, 4, 0, 51745, 30, 5741, 57520
1561, 4, 0, 52399, 30, 5087, 57520
1567, 3, 0, 53084, 34, 4399, 57520
1573, 2, 0, 53589, 34, 3895, 57520
1579, 4, 0, 53449, 31, 4036, 57520
1585, 4, 0, 53355, 36, 4125, 57520
1591, 3, 0, 53896, 35, 3586, 57520
1597, 2, 0, 54250, 36, 3232, 57520
1603, 2, 0, 55033, 160, 2325, 57520
1609, 2, 0, 54129, 68, 3321, 57520
1615, 1, 0, 53719, 40, 3760, 57520
1621, 1, 0, 54114, 27, 3378, 57520
1627, 1, 0, 53851, 29, 3639, 57520
1633, 2, 0, 52896, 32, 4590, 57520
1639, 1, 0, 52000, 31, 5488, 57520
1645, 3, 0, 52148, 30, 5339, 57520
1651, 3, 0, 51740, 28, 5749, 57520
1657, 3, 0, 51526, 29, 5962, 57520
1663, 5, 0, 51169, 25, 6321, 57520
1669, 2, 0, 51892, 26, 5600, 57520
1675, 4, 0, 52537, 26, 4953, 57520
1681, 6, 0, 52314, 28, 5172, 57520
1687, 6, 0, 52022, 28, 5464, 57520
1693, 6, 0, 52330, 29, 5155, 57520
1699, 5, 0, 51651, 29, 5835, 57520
1705, 6, 0, 51374, 246, 5894, 57520
1711, 7, 0, 51252, 249, 6012, 57520
1717, 5, 0, 51994, 332, 5189, 57520
1723, 4, 0, 53138, 191, 4187, 57520
1729, 8, 0, 53643, 149, 3720, 57520
1735, 8, 0, 12742, 350, 44420, 57520
1741, 8, 0, 14007, 321, 43184, 57520
1747, 8, 0, 26821, 163, 30528, 57520
1753, 10, 0, 36024, 165, 21321, 57520
1759, 10, 0, 39701, 135, 17674, 57520
1765, 8, 0, 12234, 483, 44795, 57520
1771, 6, 0, 15533, 392, 41589, 57520
1777, 8, 0, 22849, 391, 34272, 57520
1783, 8, 0, 31614, 301, 25597, 57520
1789, 9, 0, 36804, 26, 20681, 57520
1795, 9, 0, 42994, 27, 14490, 57520
1801, 8, 0, 44685, 137, 12690, 57520
1807, 9, 0, 45173, 107, 12231, 57520
1813, 10, 0, 47388, 77, 10045, 57520
1819, 9, 0, 48426, 77, 9008, 57520
1825, 9, 0, 49348, 81, 8082, 57520
1831, 8, 0, 51587, 26, 5899, 57520
1837, 7, 0, 25372, 39, 32102, 57520
1843, 6, 0, 26303, 37, 31174, 57520
1849, 5, 0, 30860, 41, 26614, 57520
1855, 6, 0, 36724, 40, 20750, 57520
1861, 6, 0, 40009, 42, 17463, 57520
1867, 7, 0, 43133, 39, 14341, 57520
1873, 6, 0, 47044, 30, 10440, 57520
1879, 5, 0, 49905, 31, 7579, 57520
1885, 5, 0, 52365, 33, 5117, 57520
1891, 6, 0, 53075, 32, 4407, 57520
1897, 7, 0, 53444, 31, 4038, 57520
1903, 7, 0, 26695, 39, 30779, 57520
1909, 8, 0, 27389, 39, 30084, 57520
1915, 9, 0, 35649, 28, 21834, 57520
1921, 9, 0, 38411, 30, 19070, 57520
1927, 8, 0, 44470, 31, 13011, 57520
1933, 9, 0, 12818, 62, 44631, 57520
1939, 8, 0, 16822, 62, 40628, 57520
1945, 8, 0, 28222, 62, 29228, 57520
1951, 6, 0, 31841, 32, 25641, 57520
1957, 8, 0, 36552, 34, 20926, 57520
1963, 8, 0, 41425, 119, 15968, 57520
1969, 8, 0, 44513, 124, 12875, 57520
