ts, default broker, COLDPower18, AgentUDE, total
1159, 13400, 0, 44115, 57515
1165, 11979, 0, 45536, 57515
1171, 11813, 0, 45702, 57515
1177, 10044, 0, 47471, 57515
1183, 9919, 0, 47596, 57515
1189, 9418, 0, 48097, 57515
1195, 9007, 0, 48508, 57515
1201, 8664, 0, 48851, 57515
1207, 7579, 0, 49936, 57515
1213, 7273, 0, 50242, 57515
1219, 7187, 0, 50328, 57515
1225, 7159, 0, 50356, 57515
1231, 7149, 0, 50366, 57515
1237, 7137, 0, 50378, 57515
1243, 10894, 0, 46621, 57515
1249, 7817, 0, 49698, 57515
1255, 7312, 0, 50203, 57515
1261, 7187, 0, 50328, 57515
1267, 7155, 0, 50360, 57515
1273, 7158, 0, 50357, 57515
1279, 7145, 0, 50370, 57515
1285, 7923, 0, 49592, 57515
1291, 7631, 0, 49884, 57515
1297, 7628, 0, 49887, 57515
1303, 7507, 0, 50008, 57515
1309, 7377, 0, 50138, 57515
1315, 7317, 0, 50198, 57515
1321, 7255, 0, 50260, 57515
1327, 9118, 0, 48397, 57515
1333, 8711, 0, 48804, 57515
1339, 8657, 0, 48858, 57515
1345, 8139, 0, 49376, 57515
1351, 8107, 0, 49408, 57515
1357, 7775, 0, 49740, 57515
1363, 8179, 0, 49336, 57515
1369, 9504, 0, 48011, 57515
1375, 9471, 0, 48044, 57515
1381, 8905, 0, 48610, 57515
1387, 8394, 0, 49121, 57515
1393, 7846, 0, 49669, 57515
1399, 7719, 0, 49796, 57515
1405, 7445, 0, 50070, 57515
1411, 8577, 0, 48938, 57515
1417, 8443, 0, 49072, 57515
1423, 8247, 0, 49268, 57515
1429, 8019, 0, 49496, 57515
1435, 8063, 0, 49452, 57515
1441, 7765, 0, 49750, 57515
1447, 8878, 0, 48637, 57515
1453, 10832, 0, 46683, 57515
1459, 10320, 0, 47195, 57515
1465, 9904, 0, 47611, 57515
1471, 9344, 0, 48171, 57515
1477, 8530, 0, 48985, 57515
1483, 8254, 0, 49261, 57515
1489, 7916, 0, 49599, 57515
1495, 9829, 0, 47686, 57515
1501, 9408, 0, 48107, 57515
1507, 8638, 0, 48877, 57515
1513, 8155, 0, 49360, 57515
1519, 7953, 0, 49562, 57515
1525, 7532, 0, 49983, 57515
1531, 7380, 0, 50135, 57515
1537, 7304, 0, 50211, 57515
1543, 7263, 0, 50252, 57515
1549, 7239, 0, 50276, 57515
1555, 7207, 0, 50308, 57515
1561, 7146, 0, 50369, 57515
1573, 7145, 0, 50370, 57515
1579, 7458, 0, 50057, 57515
1585, 7425, 0, 50090, 57515
1591, 7364, 0, 50151, 57515
1597, 7354, 0, 50161, 57515
1603, 7294, 0, 50221, 57515
1609, 7233, 0, 50282, 57515
1615, 7141, 0, 50374, 57515
1621, 7319, 0, 50196, 57515
1627, 7455, 0, 50060, 57515
1633, 7424, 0, 50091, 57515
1639, 7392, 0, 50123, 57515
1645, 7351, 0, 50164, 57515
1651, 7294, 0, 50221, 57515
1657, 7297, 0, 50218, 57515
1663, 7269, 0, 50246, 57515
1669, 7208, 0, 50307, 57515
1675, 7205, 0, 50310, 57515
1681, 7206, 0, 50309, 57515
1687, 7208, 0, 50307, 57515
1693, 7205, 0, 50310, 57515
1699, 7175, 0, 50340, 57515
1705, 7179, 0, 50336, 57515
1711, 7178, 0, 50337, 57515
1717, 7177, 0, 50338, 57515
1723, 7145, 0, 50370, 57515
1729, 7145, 0, 50370, 57515
1735, 7144, 0, 50371, 57515
1741, 7132, 0, 50383, 57515
1747, 8045, 0, 49470, 57515
1753, 7827, 0, 49688, 57515
